city,name,address,site
台北,台北信義威秀,台北市信義區松壽路16、18號,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0006|TP&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=
台北,台北京站威秀,台北市大同區市民大道一段209號5樓,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0009|QS&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=
台北,台北日新威秀,台北市萬華區武昌街二段87號,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0008|XM&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=
新北,板橋大遠百威秀影城,新北市板橋區新站路28號10樓,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0010|BQ&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=
新竹,新竹大遠百威秀影城,新竹市東區西大路323號8樓,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0005|HS&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=
新竹,新竹市東區民權路176號4樓之3,新竹市東區民權路176號4樓之3,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0012|BC&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=
苗栗,頭份尚順威秀影城,苗栗縣頭份鎮中央路105號7樓,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0014|TF&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=
台中,台中老虎城威秀,台中市西屯區河南路三段120-1號4-6樓及1號3樓,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0011|TZ&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=
台中,台中大遠百威秀影城台中市西屯區台中港路二段105號13樓,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0011|TZ&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=
台中,台中新時代威秀,台中市東區復興路四段186號 4-5 樓,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0003|TD&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=
台南,台南大遠百威秀影城,台南市公園路60號8樓,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0004|TN&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=
台南,台南南紡夢時代威秀影城,台南市中華東路一段366號6-7樓,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0013|NF&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=
高雄,高雄威秀,高雄市苓雅區三多四路21號13樓,http://sales.vscinemas.com.tw/ticketing/visPrintShowTimes.aspx?visCinemaID=0001|KS&visMultiCinema=Y&visLang=2&ReturnURL=&visEventCode=
台北,國賓微風影城,台北市松山區復興南路一段39號,http://www.ambassador.com.tw/showtime_list.html?theaterid=5c2d4697-7f54-4955-800c-7b3ad782582c
台北,國賓長春影城,台北市中山區長春路176號,http://www.ambassador.com.tw/showtime_list.html?theaterid=453b2966-f7c2-44a9-b2eb-687493855d0e
新北,國賓林口昕境廣場,新北市林口區文化三路一段402巷2號4F,http://www.ambassador.com.tw/showtime_list.html?theaterid=9383c5fa-b4f3-4ba8-ba7a-c25c7df95fd0
新北,國賓環球影城,新北市中和區中山路三段122號4樓,http://www.ambassador.com.tw/showtime_list.html?theaterid=357633f4-36a4-428d-8ac8-dee3428a5919
新北,國賓新莊晶冠廣場影城,新北市新莊區五工路66號3、4F,http://www.ambassador.com.tw/showtime_list.html?theaterid=3301d822-b385-4aa8-a9eb-aa59d58e95c9
台北,國賓戲院,台北市萬華區成都路88號,http://www.ambassador.com.tw/showtime_list.html?theaterid=84b87b82-b936-4a39-b91f-e88328d33b4e
新竹,新竹世博國賓影城,新竹市東區公道五路三段8號1樓,http://www.ambassador.com.tw/showtime_list.html?theaterid=38897fa9-094f-4e63-9d6d-c52408438cb6
