調查日期,鄉鎮市區,村里,調查地區分類,布氏指數,布氏級數,成蟲指數(埃及斑蚊),成蟲指數(白線斑蚊),住宅指數,住宅級數,容器級數,Latitude,Longitude,color
2015/8/1,中西區,大南里,住宅,8,2,0,0,6,2,6,22.9847358,120.2029453,darkgreen
2015/8/1,中西區,赤嵌里,住宅,2,1,0,0,2,1,2,22.9972549,120.2072739,darkgreen
2015/8/1,中西區,民權里,住宅,16,3,0,0,14,3,5,22.9969861,120.1957308,darkpurple
2015/8/1,中西區,民權里,住宅,10,3,0,0,6,2,4,22.9969861,120.1957308,darkpurple
2015/8/1,中西區,民生里,住宅,4,1,0,0,4,2,3,22.989425,120.1917626,darkgreen
2015/8/1,中西區,民生里,住宅,4,1,0,0,4,2,3,22.989425,120.1917626,darkgreen
2015/8/2,中西區,民主里,住宅,4,1,0,0,4,2,3,22.9923288,120.1939271,darkgreen
2015/8/2,中西區,天后里,住宅,6,2,0,0,4,2,4,22.9975318,120.2011417,darkgreen
2015/8/2,中西區,元安里,住宅,9,2,0,0,9,3,6,22.9885194,120.1960915,darkgreen
2015/8/2,中西區,協和里,住宅,4,1,0,0,4,2,4,23.0016179,120.1928448,darkgreen
2015/8/1,北　區,大山里,住宅,10,3,0,0,4,2,9,23.0090596,120.2134058,darkpurple
2015/8/1,南　區,文華里,住宅,6,2,0,0,6,2,3,22.98611,120.1899588,darkgreen
2015/8/3,安平區,漁光里,住宅,2,1,0,0,2,1,4,22.9801396,120.1574869,darkgreen
2015/8/3,南　區,新生里,住宅,2,1,0,0,2,1,2,22.9775543,120.2116023,darkgreen
2015/8/3,南　區,同安里,住宅,11,3,0,0,7,2,5,22.9224836,120.1892373,darkpurple
2015/8/3,北　區,正覺里,住宅,0,1,0,0,0,1,1,23.0151428,120.2116023,darkgreen
2015/8/3,北　區,正覺里,住宅,2,1,0,0,2,1,2,23.0151428,120.2116023,darkgreen
2015/8/3,東　區,裕聖里,住宅,12,3,0,0,10,3,9,22.9802195,120.2469457,darkpurple
2015/8/3,東　區,裕農里,住宅,2,1,0,0,2,1,3,22.9886954,120.2289146,darkgreen
2015/8/3,東　區,後甲里,機關,37,5,0,0,37,5,9,22.9927707,120.2382911,darkpurple
2015/8/3,中西區,小西里,住宅,4,1,0,0,4,2,4,22.9883267,120.1986166,darkgreen
2015/8/3,中西區,西賢里,住宅,14,3,0,0,12,3,8,23.0039814,120.1719199,darkpurple
2015/8/3,中西區,民權里,住宅,2,1,0,0,2,1,4,22.9969861,120.1957308,darkgreen
2015/8/3,中西區,民生里,住宅,3,1,0,0,2,1,3,22.989425,120.1917626,darkgreen
2015/8/3,中西區,民主里,住宅,1,1,0,0,1,1,2,22.9923288,120.1939271,darkgreen
2015/8/3,安南區,淵東里,住宅,1,1,0,0,1,1,2,23.0564843,120.1776926,darkgreen
2015/8/3,安南區,淵西里,住宅,8,2,0,0,8,3,5,23.0562175,120.1661469,darkgreen
2015/8/3,永康區,安康里,住宅,5,2,0,0,5,2,3,23.0158435,120.227472,darkgreen
2015/8/3,永康區,安康里,住宅,8,2,0,0,7,2,8,23.0158435,120.227472,darkgreen
2015/8/3,永康區,安康里,住宅,5,2,0,0,4,2,4,23.0158435,120.227472,darkgreen
2015/8/3,永康區,尚頂里,住宅,8,2,0,0,8,3,4,23.0263645,120.225308,darkgreen
2015/8/3,北　區,大港里,住宅,6,2,0,0,6,2,3,23.0104452,120.1827435,darkgreen
2015/8/3,北　區,五福里,住宅,43,5,0,0,14,3,9,23.0004351,120.2033061,darkpurple
2015/8/3,北　區,中樓里,住宅,21,4,0,0,17,3,8,23.0034966,120.2159306,darkpurple
2015/8/4,安平區,國平里,住宅,2,1,0,0,2,1,4,22.9793723,120.1675902,darkgreen
2015/8/4,中西區,民權里,住宅,4,1,0,0,4,2,3,22.9969861,120.1957308,darkgreen
2015/8/4,中西區,普濟里,住宅,8,2,0,0,8,3,5,22.9991764,120.1996988,darkgreen
2015/8/4,南　區,荔宅里,住宅,16,3,0,0,14,3,7,22.9749009,120.1986166,darkpurple
2015/8/4,南　區,竹溪里,住宅,2,1,0,0,2,1,3,22.9779397,120.2065525,darkgreen
2015/8/4,南　區,大林里,住宅,8,2,0,0,8,3,4,22.9733919,120.2058311,darkgreen
2015/8/4,南　區,明興里,住宅,6,2,0,0,4,2,6,22.9629831,120.1914018,darkgreen
2015/8/4,南　區,日新里,住宅,2,1,0,0,2,1,1,22.974026,120.1899588,darkgreen
2015/8/4,南　區,明興里,住宅,4,1,0,0,4,2,4,22.9629831,120.1914018,darkgreen
2015/8/4,南　區,鯤鯓里,住宅,8,2,0,0,2,1,4,22.9566809,120.1733631,darkgreen
2015/8/4,東　區,崇德里,住宅,2,1,0,0,2,1,5,22.9745344,120.2260293,darkgreen
2015/8/4,東　區,和平里,住宅,32,4,0,0,4,2,9,22.9745842,120.2354061,darkpurple
2015/8/4,東　區,自強里,住宅,4,1,0,0,2,1,5,22.9824198,120.2332423,darkgreen
2015/8/4,東　區,後甲里,住宅,2,1,0,0,2,1,4,22.9927707,120.2382911,darkgreen
2015/8/4,永康區,西勢里,住宅,3,1,0,0,3,1,3,23.0154649,120.2772325,darkgreen
2015/8/5,北　區,正覺里,住宅,4,1,0,0,4,2,8,23.0151428,120.2116023,darkgreen
2015/8/5,北　區,成功里,住宅,10,3,0,0,10,3,8,23.0202949,120.2094381,darkpurple
2015/8/5,永康區,五王里,住宅,4,1,0,0,4,2,4,23.0116465,120.2346848,darkgreen
2015/8/5,永康區,西勢里,住宅,4,1,0,0,4,2,3,23.0154649,120.2772325,darkgreen
