編號,醫療院所名稱,區別,里別,地址,電話,緯度,經度
1,臺南市東區衛生所,東區,龍山里,林森路１段４１８號,06-2674085,22.9849348,120.2219427
2,臺南市北區衛生所,北區,公園里,西華街５０號,06-2252404,23.0001146,120.2108379
3,臺南市中西區衛生所,西區,安海里,環河街９４號,06-2252403,22.995876,120.192395
4,臺南市南區衛生所,南區,南都里,南和路６號,06-2618578,22.9606621,120.187913
5,臺南市安平區衛生所,安平區,平通里,育平路３１０號,06-2996885,22.9943652,120.1682577
6,臺南市安南區衛生所,安南區,淵東里,仁安路７０號２樓,06-2567406,23.0498419,120.1757919
7,臺南市新營區衛生所,新營區,大宏里,三民路７２號,06-6355696,23.307466,120.317153
8,臺南市鹽水區衛生所,鹽水區,中境里,武廟路１號,06-6521041,23.3202036,120.2653704
9,臺南市白河區衛生所,白河區,永安里,國光路５號,06-6852024,23.352012,120.415777
10,臺南市柳營區衛生所,柳營區,士林里,５４之５號,06-6220464,23.2754352,120.3103958
11,臺南市後壁區衛生所,後壁區,後壁里,３號,06-6872624,23.367781,120.363133
12,臺南市東山區衛生所,東山區,東山里,２３６號,06-6802618,23.3282152,120.4026318
13,臺南市麻豆區衛生所,麻豆區,巷口里,興國路１１一１號,06-5722215,23.1826449,120.248478
14,臺南市下營區衛生所,下營區,營前里,中山路二段１３７號,06-6892149,23.2295783,120.2632777
15,臺南市六甲區衛生所,六甲區,二甲里,中華路１１０號,06-6982013,23.2245477,120.3473103
16,臺南市官田區衛生所,官田區,隆田里,中山路一段１２８號,06-5791493,23.1928276,120.3162812
17,臺南市大內區衛生所,大內區,大內里,2號,06-5761044,23.118461,120.362049
18,臺南市佳里區衛生所,佳里區,東寧里,進學路１５９號,06-7224106,23.1635269,120.177701
19,臺南市學甲區衛生所,學甲區,仁得里,建國路３８號１樓,06-7833359,23.2302094,120.1817447
20,臺南市西港區衛生所,西港區,西港里,中山路３６８號,06-7952338,23.1623059,120.176793
21,臺南市七股區衛生所,七股區,大埕里,３７９號,06-7872277,23.1453614,120.144496
22,臺南市將軍區衛生所,將軍區,忠興里,１８５－６號,06-7942007,23.2018481,120.1632603
23,臺南市北門區衛生所,北門區,永隆里,５０號,06-7862043,23.276035,120.1170664
24,臺南市新化區衛生所,新化區,豐榮里,健康路十三鄰１４３號,06-5905398,23.0277534,120.3017453
25,臺南市善化區衛生所,善化區,光文里,中山路２００號,06-5837035,23.132715,120.30018
26,臺南市新市區衛生所,新市區,新市里,中興街１２號,06-5992504,23.0786097,120.2948881
27,臺南市山上區衛生所,山上區,山上里,３５－２號,06-5781013,23.101435,120.3594043
28,臺南市玉井區衛生所,玉井區,玉田里,中正路５號,06-5742275,23.1217741,120.4592867
29,臺南市楠西區衛生所,楠西區,楠西里,中正路２２６號,06-5751006,23.1744223,120.4863952
30,臺南市南化區衛生所,南化區,南化里,２２６－１號,06-5771139,23.0426147,120.478965
31,臺南市左鎮區衛生所,左鎮區,中正里,１７２之１５號,06-5731114,23.0679769,120.409835
32,臺南市仁德區衛生所,仁德區,仁德里,中山路６０６巷２號,06-2704153,22.9722266,120.251273
33,臺南市歸仁區衛生所,歸仁區,後市里,中正北路１段１號,06-2393309,22.9675408,120.293622
34,臺南市關廟區衛生所,關廟區,山西里,中正路１０００號,06-5952395,22.962749,120.3276666
35,臺南市龍崎區衛生所,龍崎區,崎頂里,新市子１５８號,06-5941397,22.966918,120.359124
36,臺南市永康區衛生所,永康區,永康里,文化路５１號,06-2326507,23.0168517,120.2612183
37,臺南市安定區衛生所,安定區,安定里,５９－１號,06-5922022,23.1115672,120.2541575
38,衛生福利部胸腔病院,東區,大同里,大同路一段69號,06-2705911,22.9872059,120.2114051
39,德東診所,東區,大智里,德東街93-1號1、2樓,06-2899616,22.9617895,120.2302552
40,謝明憲內科診所,東區,中西里,長榮路２段９３號,06-2086360,22.9905342,120.2205846
41,徐慶鐘小兒科診所,東區,中西里,長榮路二段３０６號,06-2369954,22.9913948,120.2216202
42,石荃小兒科診所,東區,文聖里,裕農一街155號,06-3363558,22.9843232,120.2384791
43,路加小兒科診所,東區,自強里,中華東路二段１８５巷２６，２８號,06-2698925,22.985016,120.2333
44,佳一家庭診所,東區,東光里,東光路１段１３２號１樓,06-2360513,22.9947107,120.2313806
45,喜樂小兒科診所,東區,東光里,東光路１段１０６號,06-2757958,22.9940909,120.2313302
46,王正賜小兒科診所,東區,東明里,東安路１００號,06-2008992,22.9933051,120.2266687
47,林信常診所,東區,東明里,東安路５０號,06-2362853,22.9920839,120.2264699
48,呂怡璋小兒科診所,東區,東門里,前鋒路４１號,06-2748014,22.9902789,120.2126198
49,幼馨診所,東區,東聖里,裕農路５８４之２號,06-2680207,22.988258,120.234654
50,臺灣基督長老教會新樓醫療財團法人臺南新樓醫院,東區,泉北里,東門路１段５７號,06-2748316,22.98133,120.2224227
51,臺南市立醫院,東區,崇成里,崇德路６７０號,06-2609926,22.9687059,120.2268128
52,寶泰診所,東區,崇信里,東門路二段４３４號,06-2896568,22.9815462,120.2284195
53,葉正傑家醫科診所,東區,崇信里,崇學路１４４號,06-2689599,22.9810492,120.2246549
54,侯世婷小兒科診所,東區,崇善里,崇善路５１１號１樓,06-3369131,22.9616636,120.2365187
55,陳勃旭耳鼻喉科診所,東區,崇德里,崇善路４３８號１樓,06-3358868,22.9734312,120.2292736
56,王肇陽皮膚科診所,東區,德光里,崇明路７９號,06-2891634,22.980412,120.2172266
57,良田蔡明峻小兒科診所,東區,德光里,崇明路２０１號１樓,06-2607698,22.978365,120.219873
58,黃三元耳鼻喉科診所,東區,德光里,崇明路7號,06-2606169,22.9819041,120.216404
59,林泰盟耳鼻喉科診所,仁德區,仁義里,中山路３６４號,06-2495278,22.9710259,120.2575709
60,慈安診所,仁德區,太子里,太子路３５２－１號,06-2739003,22.9915144,120.257393
61,林孟津小兒科診所,南區,文南里,建南路１１９號,06-2610883,22.9848641,120.190676
62,林黑潮小兒科診所,南區,日新里,金華路一段３７７號,06-2656789,22.9697371,120.190168
63,泰立診所,南區,府南里,西門路一段１９９號１樓之８,06-2636629,22.9747711,120.19744
64,唐勳樟診所,南區,明興里,金華路一段１６０號１樓,06-2642266,22.9652827,120.1899579
65,林大傑耳鼻喉科診所,南區,金華里,金華路二段１７１號,06-2915660,22.9812734,120.191253
66,張祐禎家庭醫學科診所,南區,郡南里,中華南路二段７２號,06-2920909,22.9621829,120.1938138
67,民安診所,南區,喜南里,喜樹路２７２號,06-2622143,22.9400576,120.177978
68,祥泰診所,南區,開南里,新建路37巷2號之2、2號之3,06-2617119,22.9687201,120.1857623
69,王日榮耳鼻喉科診所,南區,新生里,大同路二段１０２號,06-2149955,22.9806469,120.2121824
70,張士澎內科家醫科診所,南區,新昌里,西門路一段６１１號,06-2216216,22.9853488,120.1970808
71,葉太原診所,南區,新興里,夏林路１７２號,06-2633011,22.9805035,120.1947928
72,霍永惠診所,南區,新興里,健康路二段３５號,06-2658666,22.9812664,120.1965291
73,文賢內科診所,北區,大和里,文賢路６２９號１、２樓及６３１號１樓,06-2502588,23.013398,120.1936513
74,傅耳鼻喉科診所,北區,大港里,文賢路８７７號,06-2507089,23.017795,120.1930645
75,曾內科診所,北區,大道里,和緯路１段５２號１樓,06-2522293,23.0095598,120.2150794
76,蘇耳鼻喉科診所,北區,大豐里,文賢路２６３號１樓,06-2092820,23.0055113,120.1934242
77,邱泉正耳鼻喉科診所,北區,大豐里,文賢路291號,06-2501686,23.0061062,120.1934078
78,國立成功大學醫學院附設醫院,北區,仁愛里,勝利路138號,06-2353535,23.0021803,120.2189867
79,王克生小兒科診所,北區,元寶里,開元路４７９號１樓,06-2362201,23.0100882,120.2245543
80,德幼小兒科診所,北區,文元里,和緯路３段３２２號１樓,06-2584000,23.0101369,120.1957441
81,海安小兒科診所,北區,文元里,海安路３段７６１、７６１－１號１樓,06-2820566,23.0129791,120.2003165
82,王界三小兒科診所,北區,文元里,文賢路１０６８號,06-3583770,23.014927,120.1936533
83,第一聯合診所,北區,中樓里,勝利路421號,06-2350116,23.0047351,120.218715
84,陳文峰耳鼻喉科診所,北區,正覺里,公園路７０３號,06-2833398,23.0166966,120.2145553
85,邱盈禎診所,北區,正覺里,公園路６３５號,06-2520056,23.0154046,120.2134981
86,張金石小兒科診所,北區,玉皇里,公園路１９１號,06-2216695,22.9995724,120.2076503
87,惠幼小兒科診所,北區,玉皇里,公園路１６７號,06-2251179,22.9987909,120.2072085
88,幼之園小兒科診所,北區,玉皇里,忠義路３段２４號１樓,06-2213434,22.9993374,120.2053646
89,大道診所,北區,光武里,長榮路５段３０５號１樓,06-2526863,23.0127472,120.216667
90,安康耳鼻喉科診所,北區,成功里,海安路３段７１８號,06-2525889,23.014974,120.2005884
91,鄭光傑骨外科診所,北區,成功里,北安路１段１７８號,06-2512936,23.017757,120.2083924
92,邱聯合診所,北區,成德里,西門路四段３４７號,06-2512789,23.015295,120.209903
93,柯中文皮膚科診所,北區,和順里,公園南路３５６號,06-2289333,23.0030993,120.2022512
