id,city,basin,riverName,siteName,date,RPI,WT,PH,EC,NH3N,Ch,Temperature,SS,DO,COD,DOS,BOD,CG
1,臺北市,淡水河流域,基隆河,中山橋,2015/04/09,5.5,20.9,7.4,320,2.98,26.8,18.5,21.8,1.4,23.7,15.7,3.8,380000
2,臺北市,淡水河流域,基隆河,南湖大橋,2015/04/09,2.8,18,7.5,248,1.17,19.100000000000001,17.8,10.4,5.5,17.7,58,2.6,46000
3,臺北市,淡水河流域,基隆河,大直橋,2015/04/09,4.5,19.7,7.4,330,1.98,28.4,18.3,22.5,2.5,20.5,27.3,3.2,57000
4,臺北市,淡水河流域,基隆河,成美橋,2015/04/09,2.5,18.100000000000001,7.4,255,0.97,19.399999999999999,18.100000000000001,18.100000000000001,4.5999999999999996,18.2,48.4,3.3,83000
5,臺北市,淡水河流域,基隆河,民權大橋,2015/04/09,4.5,19,7.4,285,1.39,23.5,18.8,20.7,3,22.9,32.1,3.9,210000
6,臺北市,淡水河流域,基隆河,百齡橋,2015/04/09,5.5,21.5,7.4,338,2.73,32,18.100000000000001,23.6,0.9,21.9,9.9,4.5999999999999996,410000
7,臺北市,淡水河流域,新店溪,華江大橋,2015/04/11,7.3,19.399999999999999,7.3,384,4.2,33.700000000000003,16.600000000000001,22.1,0.5,25.4,5.8,8.6,310000
8,臺北市,淡水河流域,景美溪,寶橋,2015/04/11,2.8,18.3,7.5,211,1.5,-,17.8,8.8000000000000007,6.3,15.4,66.7,2.7,48000
9,臺北市,淡水河流域,景美溪,萬壽橋,2015/04/11,2.8,18.3,7.5,218,1.07,-,17.899999999999999,12.7,6.2,13.9,65.400000000000006,2.5,38000
10,臺北市,淡水河流域,淡水河本流,重陽大橋,2015/04/11,7.3,20.5,7.2,3270,7.2,935,16.899999999999999,31.3,1.6,29.7,17.7,7.5,22000
11,新北市,淡水河流域,三峽河,三峽大橋,2015/04/09,2.8,17.399999999999999,7.6,278,0.94,-,16.2,7.3,7.1,29.9,74.2,12.3,160000
12,新北市,淡水河流域,三峽河,三峽河抽水站(取代醒心橋),2015/04/09,1,17.8,7.9,178,0.01,-,15.3,2.4,8.5,6.5,89.9,<1.0,1900
13,新北市,淡水河流域,基隆河,介壽橋,2015/04/09,1,17.399999999999999,7.6,160,0.13,-,16.5,5.4,9.5,8,99.2,<1.0,24000
14,新北市,淡水河流域,基隆河,侯硐車站,2015/04/09,1,17.3,7.6,160,<0.01,-,15.9,1.9,9.6999999999999993,4.2,101.9,<1.0,1400
15,新北市,淡水河流域,基隆河,江北橋,2015/04/09,1.5,18.3,7.5,224,0.32,-,19.600000000000001,8.8000000000000007,6.2,9,66.900000000000006,1.3,61000
16,新北市,淡水河流域,基隆河,貂嶺車站,2015/04/09,1,17.2,7.3,153,<0.01,-,16.399999999999999,2.4,9.8000000000000007,<4.0,102.1,<1.0,1900
17,新北市,淡水河流域,大漢溪,三鶯大橋,2015/04/09,1,20.100000000000001,8.3000000000000007,418,0.06,-,20.3,15,9.1,16.5,101,2.7,650
18,新北市,淡水河流域,大漢溪,新海大橋,2015/04/09,7.3,20.8,7.4,716,8.69,73.400000000000006,17.100000000000001,22.2,0.5,52.9,5,14.3,1500000
19,新北市,淡水河流域,大漢溪,板新取水口,2015/04/09,2,18.399999999999999,8.1,348,0.56999999999999995,-,20.8,29.9,8.1999999999999993,10,88.4,2.6,2200
20,新北市,淡水河流域,大漢溪,柑園大橋(取代後村圳取水口),2015/04/09,3.8,18.899999999999999,7.9,624,3.34,-,20,18,7.2,22.4,77.099999999999994,3.2,4800
21,新北市,淡水河流域,大漢溪,浮洲橋,2015/04/09,6.8,19.899999999999999,7.4,774,5.55,82.7,17.7,15.2,1.2,31.4,13.1,6.5,710000
22,新北市,淡水河流域,新店溪,中正橋,2015/04/11,4,19.100000000000001,7.2,248,2.5299999999999998,14.1,17.100000000000001,14.6,3.2,16.899999999999999,34.1,4.5999999999999996,66000
23,新北市,淡水河流域,新店溪,廣興橋(取代屈尺堰),2015/04/11,1,17.600000000000001,7.2,125,0.01,-,17.600000000000001,1,9.3000000000000007,6.8,97,<1.0,1900
24,新北市,淡水河流域,新店溪,直潭堰取水口,2015/04/11,1,17.5,7.2,103,<0.01,-,17.399999999999999,1.7,9.8000000000000007,6.3,102.5,<1.0,590
25,新北市,淡水河流域,新店溪,碧潭吊橋(取代碧潭大橋),2015/04/11,1,18.5,7.2,123,0.09,-,17.399999999999999,3.5,8.5,4.3,91.1,1.1000000000000001,2000
