id,city,basin,riverName,siteName,date,RPI,WT,PH,EC,NH3N,Ch,Temperature,SS,DO,COD,DOS,BOD,CG
﻿序號,縣市,流域,河川,測點,採樣日期,RPI指標,一般項目,,,,,,,,,,,
,,,,,,"RPI River Pollution Index","水溫 Water Temperature (℃)","酸鹼值 pH","導電度 Conductivity (μmho/cm25℃)","氨氮 NH3-N (mg/L)","氯鹽 Chloride (mg/L)","氣溫 Temperature (℃)","懸浮固體 Suspended Solid (mg/L)","溶氧(電極法) Dissolved Oxygen (mg/L)","化學需氧量 Chemical Oxygen Demand (mg/L)","溶氧飽和度 Dissolved Oxygen Saturation (%)","生化需氧量 Biochemical Oxygen Demand (mg/L)","大腸桿菌群 Coliform Group (CFU/100mL)"
1,臺北市,淡水河流域,基隆河,中山橋,2017/02/09,5.0,18.2,7.0,273,1.37,24.7,11.7,8.1,0.7,22.1,7.5,4.5,"440,000"
2,臺北市,淡水河流域,基隆河,南湖大橋,2017/02/09,3.5,16.4,7.3,256,1.57,21.8,12.1,9.6,4.2,13.4,42.5,3.0,"26,000"
3,臺北市,淡水河流域,基隆河,大直橋,2017/02/09,6.8,18.0,7.0,271,3.65,22.6,11.9,7.5,0.3,17.1,3.1,5.9,"540,000"
4,臺北市,淡水河流域,基隆河,成美橋,2017/02/09,3.5,16.9,7.2,252,1.65,19.2,14.7,10.4,3.4,10.9,35.2,2.9,"28,000"
5,臺北市,淡水河流域,基隆河,民權大橋,2017/02/09,4.0,17.4,7.1,257,2.47,20.2,11.8,7.8,2.2,12.2,22.7,4.1,"74,000"
6,臺北市,淡水河流域,基隆河,百齡橋,2017/02/09,5.0,18.5,7.1,292,1.49,30.4,12.1,6.4,0.8,15.0,8.7,4.3,"250,000"
7,臺北市,淡水河流域,新店溪,華江大橋,2017/02/10,6.8,16.6,7.1,286,4.32,25.0,10.4,13.8,1.1,13.5,11.1,5.7,"410,000"
8,臺北市,淡水河流域,景美溪,寶橋,2017/02/10,2.3,14.3,7.4,229,1.2,-,13.1,3.8,7.1,8.5,69.0,3.0,"33,000"
9,臺北市,淡水河流域,景美溪,萬壽橋,2017/02/10,2.3,14.1,7.5,225,1.03,-,12.1,2.8,7.6,8.8,73.6,2.1,"27,000"
10,臺北市,淡水河流域,淡水河本流,重陽大橋,2017/02/10,5.5,16.5,7.4,"3,280",7.29,933,10.8,16.1,1.4,8.7,14.7,2.7,"41,000"
11,新北市,淡水河流域,三峽河,三峽大橋,2017/02/09,4.0,15.0,7.6,307,1.79,-,12.1,6.9,6.3,23.1,62.6,12.1,"240,000"
12,新北市,淡水河流域,三峽河,三峽河抽水站(取代醒心橋),2017/02/09,1.0,14.6,8.1,181,<0.01,-,11.9,3.6,9.9,<4.0,97.7,<1.0,"1,800"
13,新北市,淡水河流域,基隆河,介壽橋,2017/02/09,1.0,14.6,7.5,155,0.13,-,11.8,6.2,10.0,8.2,98.2,<1.0,"13,000"
14,新北市,淡水河流域,基隆河,侯硐車站,2017/02/09,1.0,14.7,7.5,136,0.06,-,11.3,9.6,9.9,7.9,97.9,<1.0,"8,900"
15,新北市,淡水河流域,基隆河,江北橋,2017/02/09,2.0,15.9,7.4,246,0.85,-,14.2,8.0,6.1,7.5,60.9,2.6,"110,000"
16,新北市,淡水河流域,基隆河,貂嶺車站,2017/02/09,1.0,15.1,7.4,123,<0.01,-,12.0,13.1,9.7,7.3,97.4,<1.0,"6,400"
17,新北市,淡水河流域,大漢溪,三鶯大橋,2017/02/09,1.0,16.4,7.9,336,0.22,-,11.9,15.2,9.0,7.7,92.3,2.0,200
18,新北市,淡水河流域,大漢溪,新海大橋,2017/02/09,6.8,16.9,7.4,722,10.4,70.3,18.5,19.3,1.5,41.8,15.2,14.1,"3,900,000"
19,新北市,淡水河流域,大漢溪,板新取水口,2017/02/09,1.0,15.5,9.0,258,0.03,-,11.7,13.9,11.0,5.1,110.1,2.5,740
20,新北市,淡水河流域,大漢溪,柑園大橋(取代後村圳取水口),2017/02/09,3.3,14.9,7.8,569,3.66,-,11.9,11.2,7.1,11.6,70.6,2.7,"1,900"
21,新北市,淡水河流域,大漢溪,浮洲橋,2017/02/09,6.8,15.9,7.4,767,6.62,78.2,16.7,13.0,1.8,26.9,18.0,8.6,"280,000"
22,新北市,淡水河流域,新店溪,中正橋,2017/02/10,4.5,16.0,7.1,217,2.17,12.8,9.9,20.9,3.9,10.7,39.4,3.3,"92,000"
23,新北市,淡水河流域,新店溪,廣興橋(取代屈尺堰),2017/02/10,1.0,14.1,7.5,122,0.04,-,11.6,2.4,9.9,<4.0,95.4,<1.0,"4,400"
24,新北市,淡水河流域,新店溪,直潭堰取水口,2017/02/10,1.0,16.5,7.4,85,<0.01,-,10.3,4.6,9.6,<4.0,97.4,<1.0,880
25,新北市,淡水河流域,新店溪,碧潭吊橋(取代碧潭大橋),2017/02/10,1.0,15.5,7.4,116,0.14,-,13.1,11.3,9.2,<4.0,91.8,<1.0,"14,000"
26,新北市,淡水河流域,新店溪,秀朗橋,2017/02/10,1.5,14.5,7.4,162,0.87,8.0,12.1,12.8,7.6,5.5,73.5,1.9,"33,000"
27,新北市,淡水河流域,新店溪,華中大橋,2017/02/10,4.5,16.3,7.1,218,2.75,13.2,10.2,27.8,3.2,10.4,32.4,4.1,"62,000"
28,新北市,淡水河流域,新店溪,青潭堰,2017/02/10,1.0,16.4,7.5,105,<0.01,-,12.0,11.0,8.6,<4.0,88.0,<1.0,"1,900"
29,新北市,淡水河流域,景美溪,昇高大橋(取代深坑中正橋),2017/02/10,1.0,13.6,8.0,185,0.4,-,12.9,6.2,9.7,5.2,93.0,2.0,"19,000"
30,新北市,淡水河流域,景美溪,楓林橋,2017/02/10,1.0,13.8,8.1,172,0.1,-,13.1,2.0,10.6,<4.0,101.6,<1.0,"12,000"
31,新北市,淡水河流域,淡水河本流,忠孝大橋,2017/02/10,6.8,16.4,7.3,906,7.71,158,10.5,17.6,0.4,27.9,3.9,8.2,"490,000"
32,新北市,淡水河流域,淡水河本流,淡水河口,2017/02/10,3.3,16.4,7.8,"32,400",2.4,"11,200",10.5,24.1,5.8,10.5,67.2,2.1,"9,600"
33,新北市,淡水河流域,淡水河本流,關渡大橋,2017/02/10,5.0,16.8,7.2,"11,200",3.62,"3,210",10.6,28.5,3.5,11.2,37.7,1.9,"21,000"
34,新北市,磺溪流域,磺溪,上磺溪橋,2017/02/09,1.0,12.7,2.9,925,0.03,-,11.5,5.8,9.7,4.1,95.8,<1.0,<10
35,新北市,磺溪流域,磺溪,四十號橋,2017/02/09,1.0,15.0,4.2,247,0.01,-,11.5,3.2,9.5,<4.0,94.1,<1.0,250
36,新北市,磺溪流域,磺溪,磺溪橋,2017/02/09,1.0,14.9,4.3,248,0.01,-,11.3,3.2,9.5,<4.0,93.9,<1.0,80
37,新北市,雙溪流域,雙溪,新寮大橋,2017/02/10,1.0,13.3,7.3,99,0.06,-,11.8,1.1,10.0,<4.0,95.5,1.5,"12,000"
38,新北市,雙溪流域,雙溪,貢寮大橋,2017/02/10,1.0,13.7,7.2,114,0.01,-,11.7,1.4,10.2,<4.0,97.0,<1.0,"4,200"
39,臺中市,大安溪流域,大安溪,大安溪橋,2017/02/09,3.3,16.9,8.3,629,0.06,-,15.2,142,9.8,14.4,101.3,3.0,750
40,臺中市,大安溪流域,大安溪,西濱快速道路(取代大安溪出海口),2017/02/09,-,-,-,-,-,-,-,-,-,-,-,-,-
41,臺中市,大甲溪流域,大甲溪,后豐大橋,2017/02/07,1.0,19.3,8.7,265,0.08,-,20.2,8.6,10.8,<4.0,120.1,<1.0,390
42,臺中市,大甲溪流域,大甲溪,大甲溪橋,2017/02/07,1.5,21.1,8.7,447,0.07,17.2,21.3,24.1,10.3,11.8,116.1,2.8,300
43,臺中市,大甲溪流域,大甲溪,朴子口,2017/02/07,1.0,18.4,8.4,244,0.08,-,20.1,3.8,10.4,<4.0,114.2,<1.0,"8,500"
44,臺中市,大甲溪流域,大甲溪,東勢大橋(原名東豐大橋),2017/02/07,1.0,19.2,8.4,246,0.02,-,24.2,6.2,9.5,<4.0,107.1,<1.0,190
45,臺中市,大甲溪流域,大甲溪,松鶴橋(原為長青橋),2017/02/07,1.0,18.4,8.5,225,0.03,-,23.0,2.7,10.0,<4.0,114.5,<1.0,500
46,臺中市,大甲溪流域,大甲溪,迎賓橋,2017/02/07,1.0,8.5,8.2,316,0.01,-,2.8,<1.0,9.5,<4.0,99.8,<1.0,30
