year,month,day,weight,price
2015,1,1,118702.0,31.0
2015,1,2,120202.0,31.2
2015,1,3,121911.5,30.9
2015,1,4,77766.0,33.8
2015,1,5,66702.0,21.1
2015,1,6,183869.0,27.1
2015,1,7,157276.0,25.1
2015,1,8,176324.0,22.9
2015,1,9,137647.0,24.1
2015,1,10,151417.0,23.7
2015,1,11,103742.0,25.8
2015,1,12,104727.5,14.7
2015,1,13,248906.0,19.2
2015,1,14,224148.0,17.1
2015,1,15,231336.0,15.4
2015,1,16,226130.0,15.4
2015,1,17,246489.0,15.0
2015,1,18,168585.0,16.2
2015,1,19,127870.5,12.2
2015,1,20,312156.0,13.8
2015,1,21,283946.0,12.1
2015,1,22,288966.0,11.6
2015,1,23,267710.5,11.5
2015,1,24,273406.0,11.3
2015,1,25,159199.0,13.0
2015,1,26,139073.0,9.8
2015,1,27,303191.5,11.1
2015,1,28,270529.0,10.1
2015,1,29,254811.0,10.2
2015,1,30,208366.0,10.8
2015,1,31,235614.5,10.3
2015,2,1,179108.0,11.1
2015,2,2,165339.5,7.3
2015,2,3,286642.0,10.0
2015,2,4,253813.0,9.1
2015,2,5,225822.0,9.1
2015,2,6,187670.0,10.8
2015,2,7,167455.0,13.2
2015,2,8,89608.0,16.0
2015,2,9,110872.0,12.8
2015,2,10,189201.0,15.5
2015,2,11,154088.0,16.8
2015,2,12,142132.0,18.4
2015,2,13,179934.0,17.6
2015,2,14,168380.0,18.8
2015,2,15,170830.0,19.8
2015,2,16,205111.0,19.4
2015,2,17,231204.0,19.4
2015,2,18,92691.0,18.8
2015,2,19,92691.0,18.8
2015,2,20,27133.0,8.0
2015,2,21,18605.0,10.2
2015,2,22,21327.0,10.3
2015,2,23,67037.0,11.9
2015,2,24,169140.0,16.4
2015,2,25,134288.0,17.3
2015,2,26,140196.0,17.8
2015,2,27,97211.0,15.5
2015,2,28,178360.0,15.5
2015,3,1,128937.0,14.3
2015,3,2,106729.0,10.7
2015,3,3,206411.0,13.1
2015,3,4,214743.0,11.8
2015,3,5,175201.0,13.0
2015,3,6,183674.0,13.4
2015,3,7,144658.0,9.4
2015,3,8,51260.0,9.5
2015,3,9,122299.5,9.7
2015,3,10,244524.0,13.2
2015,3,11,173274.0,14.3
2015,3,12,152679.0,14.5
2015,3,13,130143.0,17.0
2015,3,14,177671.5,16.5
2015,3,15,129315.0,17.1
2015,3,16,117460.0,10.6
2015,3,17,259194.0,12.5
2015,3,18,249228.0,11.3
2015,3,19,234564.0,11.1
2015,3,20,211190.5,11.1
2015,3,21,211254.0,11.4
2015,3,22,141061.0,12.2
2015,3,23,122087.0,9.3
2015,3,24,190548.0,13.0
2015,3,25,160015.0,14.4
2015,3,26,131144.0,17.1
2015,3,27,130884.0,18.6
2015,3,28,127004.0,19.9
2015,3,29,73084.0,22.8
2015,3,30,74593.0,17.8
2015,3,31,138020.0,23.2
2015,4,1,100744.0,24.3
2015,4,2,104623.0,24.2
2015,4,3,105866.0,24.0
2015,4,4,119299.0,24.5
2015,4,5,29627.0,24.6
2015,4,6,62296.0,20.2
2015,4,7,137459.0,20.1
2015,4,8,134838.0,18.9
2015,4,9,131282.0,18.3
2015,4,10,115184.0,19.5
2015,4,11,163341.0,17.0
2015,4,12,76426.0,20.3
2015,4,13,89801.0,13.8
2015,4,14,150374.0,20.1
2015,4,15,119097.0,21.9
