year,month,day,weight,price
2015,1,1,36090.0,30.5
2015,1,2,32901.0,33.4
2015,1,3,44437.0,31.4
2015,1,4,28613.0,30.6
2015,1,5,10342.0,36.2
2015,1,6,51367.0,30.8
2015,1,7,40910.0,30.5
2015,1,8,43633.0,29.6
2015,1,9,43101.0,28.7
2015,1,10,49185.0,27.6
2015,1,11,34597.0,25.5
2015,1,12,16787.0,25.2
2015,1,13,54671.0,25.0
2015,1,14,49689.0,24.1
2015,1,15,41829.0,25.3
2015,1,16,43471.0,25.3
2015,1,17,44607.0,25.1
2015,1,18,34664.0,23.3
2015,1,19,13784.0,26.6
2015,1,20,56678.0,23.8
2015,1,21,47080.0,23.9
2015,1,22,47225.0,23.4
2015,1,23,47743.0,21.4
2015,1,24,52344.0,21.5
2015,1,25,29103.0,20.5
2015,1,26,19185.0,21.6
2015,1,27,60295.0,20.9
2015,1,28,55102.0,20.0
2015,1,29,52088.0,18.8
2015,1,30,54730.0,17.8
2015,1,31,55365.0,18.2
2015,2,1,46832.0,16.4
2015,2,2,18834.0,19.4
2015,2,3,67235.0,17.5
2015,2,4,61968.0,16.5
2015,2,5,52547.0,16.1
2015,2,6,53289.0,16.3
2015,2,7,59528.0,15.3
2015,2,8,40906.0,14.9
2015,2,9,17471.0,18.7
2015,2,10,63810.0,16.6
2015,2,11,46972.0,19.0
2015,2,12,41693.0,23.6
2015,2,13,47645.0,23.8
2015,2,14,50232.0,25.1
2015,2,15,44347.0,25.4
2015,2,16,59042.0,25.0
2015,2,17,69637.0,23.2
2015,2,18,31982.0,17.0
2015,2,19,31982.0,17.0
2015,2,20,192.0,20.0
2015,2,21,767.0,23.0
2015,2,22,1383.0,17.8
2015,2,23,22439.0,17.3
2015,2,24,105614.0,12.7
2015,2,25,89648.0,11.9
2015,2,26,83810.0,12.3
2015,2,27,34940.0,14.7
2015,2,28,90475.0,11.1
2015,3,1,57069.0,10.7
2015,3,2,27825.0,11.1
2015,3,3,85605.0,11.5
2015,3,4,75242.0,12.2
2015,3,5,67126.0,13.4
2015,3,6,74682.0,14.2
2015,3,7,33029.0,12.6
2015,3,8,5895.0,11.4
2015,3,9,24731.0,13.5
2015,3,10,106717.0,13.9
2015,3,11,77047.0,14.0
2015,3,12,72525.0,13.5
2015,3,13,71978.0,14.3
2015,3,14,72474.0,14.8
2015,3,15,51192.0,14.9
2015,3,16,22377.0,15.0
2015,3,17,91625.0,14.3
2015,3,18,90180.0,13.1
2015,3,19,82973.0,12.8
2015,3,20,81456.0,12.9
2015,3,21,105815.0,11.4
2015,3,22,74390.0,10.5
2015,3,23,33628.0,11.0
2015,3,24,137173.0,10.0
2015,3,25,98913.0,10.4
2015,3,26,92135.0,11.0
2015,3,27,84328.0,12.1
2015,3,28,85124.0,13.1
2015,3,29,58654.0,14.3
2015,3,30,30310.0,14.0
2015,3,31,101610.0,14.8
2015,4,1,80364.0,15.2
2015,4,2,83969.0,15.1
2015,4,3,88758.0,15.5
2015,4,4,122158.0,13.6
2015,4,5,24440.0,16.7
2015,4,6,34635.0,14.0
2015,4,7,126678.0,11.6
2015,4,8,131771.0,10.5
2015,4,9,106156.0,11.0
2015,4,10,97391.0,11.4
2015,4,11,96851.0,12.1
2015,4,12,63578.0,12.7
2015,4,13,34469.0,12.0
2015,4,14,96147.0,13.9
2015,4,15,72104.0,16.2
2015,4,16,67492.0,18.1
2015,4,17,61495.0,19.6
2015,4,18,64740.5,21.2
2015,4,19,65098.0,19.5
2015,4,20,27658.0,19.9
2015,4,21,105453.5,16.5
2015,4,22,84951.0,15.8
2015,4,23,89682.0,15.4
2015,4,24,81804.0,15.3
2015,4,25,95287.0,15.0
2015,4,26,74384.0,13.7
2015,4,27,35816.0,14.6
2015,4,28,114070.0,14.0
2015,4,29,79652.0,15.1
2015,4,30,89021.0,14.7
2015,5,1,75582.0,15.5
2015,5,2,99294.0,14.9
2015,5,3,76206.0,13.3
2015,5,4,36345.0,14.5
2015,5,5,136698.0,12.6
2015,5,6,104533.0,12.0
2015,5,7,101661.0,11.7
2015,5,8,99738.0,12.8
2015,5,9,99478.0,13.2
2015,5,10,82058.0,12.2
2015,5,11,39787.0,12.5
2015,5,12,129025.0,10.9
2015,5,13,92800.0,11.8
2015,5,14,109587.5,11.3
2015,5,15,104352.5,10.6
2015,5,16,99336.0,10.6
2015,5,17,79267.0,10.5
2015,5,18,41857.0,9.8
2015,5,19,105947.0,11.5
2015,5,20,85067.0,13.6
2015,5,21,85285.0,14.4
2015,5,22,76107.0,16.1
2015,5,23,84522.0,15.4
2015,5,24,60935.0,14.6
2015,5,25,36487.0,15.4
2015,5,26,90911.0,16.4
2015,5,27,81126.0,16.1
2015,5,28,67538.0,18.2
2015,5,29,62186.0,20.6
2015,5,30,66589.0,21.6
2015,5,31,44236.0,24.3
2015,6,1,24837.0,22.3
2015,6,2,82589.0,23.7
2015,6,3,65400.0,22.9
2015,6,4,70667.0,23.3
2015,6,5,63573.0,24.6
2015,6,6,80219.0,23.4
2015,6,7,63560.0,23.5
2015,6,8,29368.0,20.2
2015,6,9,114403.0,19.9
2015,6,10,91765.0,18.6
2015,6,11,101005.0,17.3
2015,6,12,86988.0,16.6
2015,6,13,98669.0,15.7
2015,6,14,75279.0,15.1
2015,6,15,39094.0,14.2
2015,6,16,121891.0,13.6
2015,6,17,111116.0,12.9
2015,6,18,108075.0,11.7
2015,6,19,98259.0,12.0
2015,6,20,86524.0,10.8
2015,6,21,1922.0,12.0
2015,6,22,38518.0,12.3
2015,6,23,131427.0,11.1
2015,6,24,101162.5,10.8
2015,6,25,91174.0,11.1
2015,6,26,90871.0,11.7
2015,6,27,90231.0,12.1
2015,6,28,65523.0,11.6
2015,6,29,37032.0,12.2
2015,6,30,111177.0,11.8
2015,7,1,91313.0,12.0
2015,7,2,88040.0,11.9
2015,7,3,76548.0,13.1
2015,7,4,83161.5,14.3
2015,7,5,66123.0,17.0
2015,7,6,37690.0,19.7
2015,7,7,118433.0,18.4
2015,7,8,92704.0,17.4
2015,7,9,96971.5,15.5
2015,7,10,104662.0,15.5
2015,7,11,102937.5,14.1
2015,7,12,76129.0,12.0
2015,7,13,37683.0,16.3
2015,7,14,132578.5,11.5
2015,7,15,90716.0,12.2
2015,7,16,100335.0,12.3
2015,7,17,84583.5,12.5
2015,7,18,83149.0,13.3
2015,7,19,74779.0,12.5
2015,7,20,37520.0,14.2
2015,7,21,134092.0,11.6
2015,7,22,117449.0,11.5
2015,7,23,99167.0,11.9
2015,7,24,95679.5,12.1
2015,7,25,108577.0,12.3
2015,7,26,74827.0,12.3
2015,7,27,35826.5,12.7
2015,7,28,119478.0,12.1
2015,7,29,92709.0,12.7
2015,7,30,96013.5,12.5
2015,7,31,82859.0,12.9
2015,8,1,97854.0,13.5
2015,8,2,71576.0,12.9
2015,8,3,33086.0,13.5
2015,8,4,110990.0,13.4
2015,8,5,90405.0,17.8
2015,8,6,96121.5,22.0
2015,8,7,106167.0,22.1
2015,8,8,75050.0,15.9
2015,8,9,18581.0,22.3
2015,8,10,28459.0,24.7
2015,8,11,93359.5,20.0
2015,8,12,64618.0,20.3
2015,8,13,45897.0,23.2
2015,8,14,45347.0,23.9
2015,8,15,49638.0,25.6
2015,8,16,38565.0,25.2
2015,8,17,21575.0,26.7
2015,8,18,49843.0,33.0
2015,8,19,42436.0,37.9
2015,8,20,45954.0,38.3
2015,8,21,44696.0,40.2
2015,8,22,42567.0,41.2
2015,8,23,32940.0,40.0
2015,8,24,16686.0,40.3
2015,8,25,52670.0,40.7
2015,8,26,49070.0,40.3
2015,8,27,55690.0,43.1
2015,8,28,39951.0,43.9
2015,8,29,12879.0,44.7
2015,8,30,3095.0,38.6
2015,8,31,18859.0,40.8
2015,9,1,63578.0,42.0
2015,9,2,51266.5,41.5
2015,9,3,38903.0,46.3
2015,9,4,44588.5,47.2
2015,9,5,49766.0,46.9
2015,9,6,33546.0,45.3
2015,9,7,20639.0,44.8
2015,9,8,57379.0,46.4
