year,month,day,weight,price
2015,1,1,34452.0,8.5
2015,1,2,33384.0,9.1
2015,1,3,31677.0,8.9
2015,1,4,23728.0,9.1
2015,1,5,10296.0,9.7
2015,1,6,31764.0,10.1
2015,1,7,27379.0,9.8
2015,1,8,33208.0,9.9
2015,1,9,26573.0,9.9
2015,1,10,37000.0,10.4
2015,1,11,24470.0,9.2
2015,1,12,11620.0,9.6
2015,1,13,35031.0,9.7
2015,1,14,37948.0,9.5
2015,1,15,35746.0,9.3
2015,1,16,41234.0,9.0
2015,1,17,29812.0,9.3
2015,1,18,27355.0,9.6
2015,1,19,13075.0,9.7
2015,1,20,30793.0,9.3
2015,1,21,30699.0,8.8
2015,1,22,28258.0,9.1
2015,1,23,33910.0,10.2
2015,1,24,32232.0,9.7
2015,1,25,25178.0,9.4
2015,1,26,13474.0,8.4
2015,1,27,29718.0,9.9
2015,1,28,22143.0,10.1
2015,1,29,26132.0,9.7
2015,1,30,30320.0,9.0
2015,1,31,30911.0,9.8
2015,2,1,20071.0,9.3
2015,2,2,7862.0,10.5
2015,2,3,28084.0,10.2
2015,2,4,27025.0,10.2
2015,2,5,22446.0,10.0
2015,2,6,22988.0,10.3
2015,2,7,26009.0,10.4
2015,2,8,13872.0,10.0
2015,2,9,7334.0,12.7
2015,2,10,21035.0,11.9
2015,2,11,36037.0,11.1
2015,2,12,26315.0,11.7
2015,2,13,29319.0,11.7
2015,2,14,36659.0,11.8
2015,2,15,30075.0,12.6
2015,2,16,24130.0,13.0
2015,2,17,18853.0,12.7
2015,2,18,4802.0,13.4
2015,2,19,4802.0,13.4
2015,2,20,4802.0,13.4
2015,2,21,4802.0,13.4
2015,2,22,4802.0,13.4
2015,2,23,9468.0,13.6
2015,2,24,19206.0,13.3
2015,2,25,32264.0,12.7
2015,2,26,22069.0,13.0
2015,2,27,13530.0,15.2
2015,2,28,26499.0,13.2
2015,3,1,19239.0,13.7
2015,3,2,8423.0,14.8
2015,3,3,37870.0,13.5
2015,3,4,23629.0,13.2
2015,3,5,18514.0,13.8
2015,3,6,21986.0,14.3
2015,3,7,8860.0,13.9
2015,3,8,380.0,12.0
2015,3,9,8198.0,14.0
2015,3,10,41359.0,15.1
2015,3,11,29977.0,14.2
2015,3,12,25220.0,13.9
2015,3,13,19404.0,13.9
2015,3,14,30713.0,14.7
2015,3,15,11739.0,14.0
2015,3,16,8882.0,14.0
2015,3,17,28167.0,14.4
2015,3,18,21448.0,14.1
2015,3,19,45734.0,14.5
2015,3,20,26707.0,13.1
2015,3,21,34838.0,13.8
2015,3,22,19164.0,13.3
2015,3,23,10136.0,13.9
2015,3,24,30375.0,14.2
2015,3,25,29606.0,13.6
2015,3,26,40102.0,12.5
2015,3,27,23353.0,13.4
2015,3,28,30984.0,13.5
2015,3,29,16798.0,12.7
2015,3,30,13366.0,13.3
2015,3,31,49498.0,14.2
2015,4,1,44541.0,14.1
2015,4,2,41099.0,13.9
2015,4,3,38454.0,12.4
2015,4,4,45639.0,12.4
2015,4,5,6435.0,13.1
2015,4,6,12698.0,13.2
2015,4,7,33184.0,12.6
2015,4,8,45740.0,11.5
2015,4,9,39501.0,12.8
2015,4,10,51885.0,11.2
2015,4,11,51253.0,11.7
2015,4,12,22708.0,9.9
2015,4,13,16187.0,11.4
2015,4,14,48039.0,12.1
2015,4,15,41962.0,12.4
2015,4,16,38372.0,11.4
2015,4,17,49699.0,11.6
2015,4,18,43403.0,11.8
2015,4,19,30715.0,12.0
2015,4,20,18822.0,11.4
2015,4,21,63006.0,11.8
2015,4,22,42623.0,12.2
2015,4,23,44316.0,12.2
2015,4,24,41198.0,11.8
2015,4,25,66244.0,12.2
2015,4,26,33728.0,10.9
2015,4,27,23315.0,12.0
2015,4,28,71331.0,11.2
2015,4,29,70772.0,10.0
2015,4,30,53240.0,10.6
2015,5,1,55476.0,9.7
2015,5,2,72227.0,10.1
2015,5,3,31268.0,9.3
2015,5,4,21226.0,11.2
2015,5,5,76256.0,9.7
2015,5,6,69437.0,9.1
2015,5,7,57327.0,9.6
2015,5,8,66923.0,9.7
2015,5,9,69100.0,8.9
2015,5,10,35886.0,8.2
2015,5,11,26350.0,10.5
2015,5,12,58324.0,9.7
2015,5,13,45265.0,11.3
2015,5,14,50787.0,10.5
2015,5,15,52895.0,10.6
2015,5,16,59227.0,9.8
2015,5,17,42483.0,9.0
2015,5,18,20497.0,11.6
2015,5,19,77690.0,9.4
2015,5,20,75410.0,9.2
2015,5,21,73189.0,9.7
2015,5,22,61874.0,9.3
2015,5,23,64410.0,9.0
2015,5,24,49124.0,7.0
2015,5,25,23732.0,11.8
2015,5,26,55347.0,10.1
2015,5,27,65837.0,9.9
2015,5,28,70635.0,9.0
2015,5,29,77985.0,9.5
2015,5,30,78697.0,9.0
2015,5,31,61452.0,7.8
2015,6,1,22571.0,11.4
2015,6,2,63263.0,9.6
2015,6,3,81072.0,9.7
2015,6,4,100521.0,9.5
2015,6,5,78852.0,9.8
2015,6,6,96719.0,9.3
2015,6,7,65709.0,8.3
2015,6,8,29755.0,11.2
2015,6,9,86616.0,9.2
2015,6,10,81682.0,9.6
2015,6,11,73763.0,9.2
2015,6,12,86020.0,9.2
2015,6,13,66226.0,9.9
2015,6,14,42506.0,8.5
2015,6,15,24960.0,12.5
2015,6,16,78096.0,9.9
2015,6,17,75063.0,10.1
2015,6,18,70709.0,10.6
2015,6,19,68880.0,10.2
2015,6,20,35792.0,9.5
2015,6,21,35792.0,9.5
2015,6,22,26022.0,12.1
2015,6,23,71708.0,10.1
2015,6,24,62328.0,10.6
2015,6,25,56538.0,10.7
2015,6,26,67545.0,10.7
2015,6,27,51795.0,10.9
2015,6,28,28653.0,11.3
2015,6,29,24572.0,11.7
2015,6,30,70664.0,10.6
2015,7,1,52689.0,11.3
2015,7,2,48964.0,11.6
2015,7,3,54695.0,11.8
2015,7,4,54901.0,11.7
2015,7,5,28714.0,12.2
2015,7,6,23011.0,14.1
2015,7,7,92158.0,12.4
2015,7,8,69945.0,12.7
2015,7,9,60470.0,12.2
2015,7,10,65967.0,12.6
2015,7,11,47857.0,12.8
2015,7,12,29534.0,11.1
2015,7,13,24009.0,15.2
2015,7,14,66133.0,12.1
2015,7,15,53221.0,13.1
2015,7,16,49129.0,12.1
2015,7,17,54518.0,12.4
2015,7,18,53044.0,12.5
2015,7,19,30842.0,10.8
2015,7,20,21293.0,15.4
2015,7,21,43213.0,13.4
2015,7,22,43930.0,13.8
2015,7,23,57710.0,13.5
2015,7,24,57306.0,13.5
2015,7,25,55329.0,12.6
2015,7,26,38092.0,12.0
2015,7,27,24189.0,14.6
2015,7,28,54268.0,13.5
2015,7,29,58074.0,13.1
2015,7,30,51464.0,13.6
2015,7,31,60271.0,13.4
2015,8,1,47762.0,13.5
2015,8,2,31550.0,13.4
2015,8,3,26366.0,14.0
2015,8,4,58798.0,13.2
2015,8,5,57088.0,14.3
2015,8,6,59511.0,14.9
2015,8,7,60031.0,14.9
2015,8,8,35806.0,13.5
2015,8,9,12503.0,14.2
2015,8,10,19397.0,16.2
2015,8,11,56748.0,15.5
2015,8,12,60394.0,15.0
2015,8,13,50968.0,14.5
2015,8,14,52421.0,14.1
2015,8,15,46599.0,14.9
2015,8,16,35872.0,14.8
2015,8,17,19980.0,17.4
2015,8,18,58244.0,15.0
2015,8,19,51244.0,15.4
2015,8,20,49399.0,15.7
2015,8,21,62989.0,16.5
2015,8,22,57270.0,16.0
2015,8,23,32145.0,15.1
2015,8,24,22765.0,18.2
2015,8,25,68830.0,16.4
2015,8,26,53994.0,16.9
2015,8,27,49194.0,17.9
2015,8,28,24959.0,19.1
2015,8,29,16627.0,19.9
2015,8,30,2997.0,18.7
2015,8,31,21320.0,20.0
2015,9,1,70138.0,19.1
2015,9,2,52252.5,19.4
2015,9,3,50287.0,21.4
2015,9,4,60546.0,21.2
2015,9,5,65530.0,21.6
2015,9,6,32792.0,21.6
2015,9,7,26423.0,22.6
2015,9,8,55949.0,21.2
2015,9,9,65887.0,21.7
2015,9,10,55645.0,21.0
2015,9,11,47505.0,21.7
2015,9,12,48173.0,21.8
2015,9,13,32280.0,21.2
2015,9,14,23682.0,23.0
2015,9,15,64943.0,21.9
2015,9,16,45957.0,22.0
2015,9,17,42995.0,21.7
2015,9,18,54633.0,22.4
