year,month,day,weight,price
2015,1,1,32102.0,38.2
2015,1,2,28530.0,39.7
2015,1,3,35242.0,39.0
2015,1,4,26064.0,37.9
2015,1,5,8294.5,46.2
2015,1,6,50534.0,35.4
2015,1,7,41240.0,32.1
2015,1,8,52456.0,26.3
2015,1,9,47091.0,26.7
2015,1,10,42901.0,26.9
2015,1,11,36072.0,25.2
2015,1,12,17330.0,24.6
2015,1,13,63055.0,24.0
2015,1,14,53179.0,23.4
2015,1,15,53785.0,21.8
2015,1,16,51115.0,21.6
2015,1,17,53604.0,21.5
2015,1,18,39831.0,20.0
2015,1,19,17892.0,21.7
2015,1,20,71724.0,20.0
2015,1,21,53162.0,20.8
2015,1,22,53342.0,19.9
2015,1,23,51817.0,20.3
2015,1,24,48741.0,20.3
2015,1,25,36291.0,20.2
2015,1,26,17136.0,20.7
2015,1,27,73739.0,17.9
2015,1,28,61565.0,17.1
2015,1,29,57593.0,15.7
2015,1,30,52308.0,16.8
2015,1,31,62559.0,16.7
2015,2,1,40761.0,16.5
2015,2,2,18767.0,16.6
2015,2,3,81844.0,15.7
2015,2,4,61891.0,14.5
2015,2,5,56858.0,13.9
2015,2,6,55290.0,14.3
2015,2,7,48926.0,15.2
2015,2,8,35237.0,16.5
2015,2,9,17016.0,14.6
2015,2,10,52241.0,19.8
2015,2,11,34158.0,25.2
2015,2,12,35762.0,26.6
2015,2,13,36044.0,29.5
2015,2,14,39482.0,30.3
2015,2,15,44829.0,28.2
2015,2,16,59662.0,23.4
2015,2,17,65311.0,22.3
2015,2,18,36559.0,15.1
2015,2,19,36559.0,15.1
2015,2,20,36559.0,15.1
2015,2,21,36559.0,15.1
2015,2,22,36559.0,15.1
2015,2,23,17820.0,15.8
2015,2,24,88043.0,14.4
2015,2,25,68959.0,14.9
2015,2,26,63200.0,17.5
2015,2,27,24798.0,17.6
2015,2,28,94100.0,15.4
2015,3,1,54680.0,14.6
2015,3,2,24555.0,18.9
2015,3,3,87996.0,17.7
2015,3,4,62014.0,20.6
2015,3,5,66318.0,20.2
2015,3,6,72741.0,20.3
2015,3,7,22044.0,23.0
2015,3,8,1175.0,18.3
2015,3,9,20542.0,23.9
2015,3,10,113181.0,16.8
2015,3,11,74357.0,18.3
2015,3,12,59376.0,19.8
2015,3,13,49697.0,24.1
2015,3,14,45174.0,28.6
2015,3,15,34086.0,31.9
2015,3,16,13635.0,37.8
2015,3,17,59936.0,32.4
2015,3,18,52505.0,29.8
2015,3,19,51241.0,29.0
2015,3,20,51634.0,29.0
2015,3,21,58609.0,28.3
2015,3,22,46980.0,26.4
2015,3,23,29034.0,24.5
2015,3,24,101916.0,22.2
2015,3,25,75782.0,22.0
2015,3,26,73274.0,22.3
2015,3,27,63306.0,23.2
2015,3,28,70804.0,25.3
2015,3,29,50322.0,27.8
2015,3,30,24462.0,27.5
2015,3,31,114211.0,27.8
2015,4,1,90948.0,27.5
2015,4,2,93968.0,26.3
2015,4,3,98410.0,27.4
2015,4,4,117326.0,27.0
2015,4,5,9364.0,28.5
2015,4,6,34908.0,23.7
2015,4,7,193690.5,19.7
2015,4,8,151266.5,18.0
2015,4,9,118530.0,17.9
2015,4,10,99821.0,21.3
2015,4,11,99972.0,22.7
2015,4,12,80906.0,21.3
2015,4,13,38808.0,25.0
2015,4,14,162903.0,22.2
2015,4,15,116554.0,24.1
2015,4,16,105846.0,25.9
2015,4,17,132822.5,26.4
2015,4,18,138931.0,26.6
2015,4,19,117277.0,24.5
2015,4,20,53893.0,21.2
2015,4,21,260844.0,16.5
2015,4,22,166518.0,17.7
2015,4,23,161276.5,17.3
2015,4,24,148789.0,18.3
2015,4,25,162409.0,18.8
2015,4,26,126380.0,17.5
2015,4,27,58548.0,17.0
2015,4,28,219482.0,16.7
2015,4,29,180557.5,16.6
2015,4,30,176084.0,15.5
2015,5,1,173127.0,16.3
2015,5,2,176050.0,17.2
2015,5,3,133948.0,18.0
2015,5,4,62568.0,14.6
2015,5,5,236013.0,16.6
2015,5,6,174898.5,15.6
2015,5,7,155190.0,16.0
2015,5,8,161134.5,16.4
2015,5,9,174867.0,17.2
2015,5,10,152425.0,15.0
2015,5,11,68622.0,14.2
2015,5,12,303656.5,11.7
2015,5,13,212737.0,11.8
2015,5,14,202130.0,11.8
2015,5,15,173249.5,12.8
2015,5,16,180951.0,14.1
2015,5,17,129584.0,14.6
2015,5,18,60292.5,14.9
2015,5,19,208643.0,15.8
2015,5,20,145830.0,19.0
2015,5,21,146937.0,19.2
2015,5,22,127434.0,21.0
2015,5,23,145976.0,21.1
2015,5,24,137557.0,18.5
2015,5,25,57956.0,19.7
2015,5,26,212938.0,18.5
2015,5,27,171948.0,19.0
2015,5,28,161824.5,19.7
2015,5,29,152078.0,21.6
2015,5,30,144606.0,23.0
2015,5,31,89825.0,25.3
2015,6,1,36752.0,30.1
2015,6,2,108691.0,33.0
2015,6,3,56767.0,43.5
2015,6,4,44330.0,48.9
2015,6,5,42031.0,53.8
2015,6,6,40862.0,60.6
2015,6,7,44169.0,53.4
2015,6,8,24889.0,48.7
2015,6,9,110577.0,42.4
2015,6,10,102975.0,35.2
2015,6,11,152140.0,27.2
2015,6,12,174105.0,22.2
2015,6,13,196559.0,20.6
2015,6,14,169806.0,18.9
2015,6,15,78169.0,17.3
2015,6,16,293327.0,15.3
2015,6,17,237513.0,13.3
2015,6,18,248066.0,11.5
2015,6,19,252382.0,10.9
2015,6,20,190853.0,12.3
2015,6,21,7245.0,10.2
2015,6,22,83404.0,10.4
2015,6,23,312337.5,10.6
2015,6,24,195938.5,11.1
2015,6,25,167590.0,12.3
2015,6,26,151108.5,14.4
2015,6,27,141676.0,16.8
2015,6,28,103357.0,17.5
2015,6,29,68601.0,16.2
2015,6,30,197400.0,17.3
2015,7,1,140059.0,17.6
2015,7,2,135732.0,17.7
2015,7,3,147972.0,17.2
2015,7,4,160146.5,18.7
2015,7,5,120807.0,20.5
2015,7,6,74600.5,21.1
2015,7,7,244461.0,22.1
2015,7,8,191843.0,18.1
2015,7,9,185544.5,16.6
2015,7,10,183603.0,16.4
2015,7,11,169995.0,16.2
2015,7,12,124921.0,14.5
2015,7,13,73673.0,13.9
2015,7,14,201749.0,14.6
2015,7,15,154978.0,14.5
2015,7,16,130824.5,15.4
2015,7,17,114790.5,17.8
2015,7,18,104924.0,21.8
2015,7,19,68806.0,23.7
2015,7,20,47254.5,26.0
2015,7,21,106575.0,29.4
2015,7,22,90417.5,29.8
2015,7,23,87521.5,31.1
2015,7,24,99425.0,29.1
2015,7,25,101902.0,28.7
2015,7,26,81917.0,27.1
2015,7,27,45306.0,25.4
2015,7,28,176795.5,21.5
2015,7,29,139163.0,19.7
2015,7,30,130215.0,21.2
2015,7,31,142442.5,20.4
2015,8,1,165077.0,20.1
2015,8,2,137015.0,17.4
2015,8,3,61414.0,17.2
2015,8,4,234474.0,15.6
2015,8,5,180454.5,21.5
2015,8,6,185181.0,25.2
2015,8,7,200949.0,23.2
2015,8,8,119555.0,16.0
2015,8,9,68964.0,20.6
2015,8,10,55984.0,26.8
2015,8,11,174098.0,22.0
2015,8,12,130270.0,21.9
2015,8,13,110056.0,22.7
2015,8,14,102637.0,24.0
2015,8,15,102264.0,26.0
2015,8,16,67014.0,27.8
2015,8,17,33851.0,33.2
2015,8,18,79445.5,38.1
2015,8,19,48145.5,47.6
