year,month,day,weight,price
2015,1,1,43502.0,39.2
2015,1,2,31641.0,42.3
2015,1,3,40577.0,42.6
2015,1,4,28749.0,45.1
2015,1,5,9310.0,54.0
2015,1,6,41163.0,47.1
2015,1,7,35245.0,47.2
2015,1,8,36409.0,45.1
2015,1,9,28801.0,49.1
2015,1,10,35988.0,48.3
2015,1,11,26938.0,45.9
2015,1,12,9970.0,49.9
2015,1,13,36931.0,51.5
2015,1,14,28679.0,51.8
2015,1,15,29049.0,50.7
2015,1,16,28193.0,52.9
2015,1,17,30594.0,50.8
2015,1,18,26038.0,45.9
2015,1,19,8715.0,53.7
2015,1,20,37762.0,50.1
2015,1,21,32478.5,50.2
2015,1,22,29442.0,49.8
2015,1,23,25436.0,50.7
2015,1,24,30758.0,50.0
2015,1,25,21343.0,50.0
2015,1,26,7895.0,59.0
2015,1,27,30718.0,53.5
2015,1,28,25144.0,53.0
2015,1,29,25502.0,55.1
2015,1,30,26089.0,53.6
2015,1,31,25440.0,54.7
2015,2,1,22037.0,52.0
2015,2,2,7040.0,64.9
2015,2,3,27920.0,57.9
2015,2,4,22049.0,59.0
2015,2,5,18370.0,64.4
2015,2,6,19406.0,67.7
2015,2,7,21560.0,60.3
2015,2,8,16743.0,58.7
2015,2,9,6578.0,73.6
2015,2,10,24583.0,64.5
2015,2,11,21646.0,65.8
2015,2,12,20367.0,63.8
2015,2,13,22926.0,61.6
2015,2,14,25550.0,62.4
2015,2,15,27341.0,54.6
2015,2,16,29988.0,47.3
2015,2,17,29320.0,46.9
2015,2,18,14443.0,36.8
2015,2,19,14443.0,36.8
2015,2,20,14443.0,36.8
2015,2,21,14443.0,36.8
2015,2,22,14443.0,36.8
2015,2,23,7482.0,54.5
2015,2,24,47821.0,36.4
2015,2,25,36926.0,37.8
2015,2,26,40073.0,37.9
2015,2,27,20784.0,39.7
2015,2,28,42757.0,36.7
2015,3,1,33652.0,32.9
2015,3,2,10270.0,39.8
2015,3,3,52691.0,32.8
2015,3,4,43622.0,31.6
2015,3,5,42953.0,33.1
2015,3,6,47928.0,34.2
2015,3,7,10191.0,44.2
2015,3,8,1490.0,27.3
2015,3,9,6070.0,52.9
2015,3,10,57450.0,33.9
2015,3,11,42451.0,34.1
2015,3,12,42635.0,33.0
2015,3,13,40390.0,34.7
2015,3,14,37943.0,36.7
2015,3,15,34378.0,35.8
2015,3,16,9587.0,42.3
2015,3,17,52745.5,35.9
2015,3,18,51641.0,34.4
2015,3,19,48181.0,33.5
2015,3,20,52529.0,34.8
2015,3,21,49448.0,35.3
2015,3,22,42611.0,32.7
2015,3,23,12400.0,39.9
2015,3,24,67494.0,31.5
2015,3,25,52521.0,32.7
2015,3,26,43225.5,33.7
2015,3,27,48845.0,34.3
2015,3,28,52100.0,34.5
2015,3,29,42006.0,35.2
2015,3,30,15345.0,39.1
2015,3,31,71921.5,35.0
2015,4,1,66866.0,31.9
2015,4,2,67185.0,31.5
2015,4,3,64746.0,32.6
2015,4,4,80212.0,31.2
2015,4,5,10589.0,37.1
2015,4,6,18438.0,35.4
2015,4,7,87529.0,29.1
2015,4,8,82951.5,28.8
2015,4,9,72921.5,28.5
2015,4,10,62276.5,31.8
2015,4,11,67298.0,31.1
2015,4,12,63693.0,27.4
2015,4,13,24510.0,37.0
2015,4,14,89767.0,30.3
2015,4,15,71301.0,32.8
2015,4,16,57659.0,37.1
2015,4,17,61389.5,38.2
2015,4,18,72005.0,36.1
2015,4,19,70843.0,30.0
2015,4,20,26038.0,33.4
2015,4,21,122506.5,24.5
2015,4,22,101201.0,25.1
2015,4,23,96554.5,25.7
2015,4,24,92111.0,25.9
2015,4,25,95591.0,27.0
2015,4,26,78471.0,25.1
2015,4,27,34539.0,28.6
2015,4,28,126105.0,24.4
2015,4,29,113551.0,23.1
2015,4,30,111358.0,21.6
2015,5,1,98102.0,22.7
2015,5,2,116268.0,20.7
2015,5,3,91177.0,19.1
2015,5,4,36487.0,24.9
2015,5,5,133457.0,19.3
2015,5,6,110658.0,19.1
2015,5,7,117749.0,19.0
2015,5,8,103067.5,20.7
2015,5,9,129836.0,19.6
2015,5,10,110006.0,17.3
2015,5,11,48473.0,17.6
2015,5,12,162523.0,15.0
2015,5,13,141162.5,14.9
2015,5,14,130990.0,14.5
2015,5,15,120777.5,15.1
2015,5,16,124735.0,16.3
2015,5,17,105680.0,16.9
2015,5,18,45470.5,15.4
2015,5,19,160574.0,15.8
2015,5,20,130922.5,17.6
2015,5,21,137905.0,17.4
2015,5,22,114372.0,17.5
2015,5,23,130717.0,16.7
2015,5,24,106003.0,15.2
2015,5,25,51735.0,17.2
2015,5,26,130650.0,17.0
2015,5,27,94285.0,19.2
2015,5,28,82622.5,24.1
2015,5,29,70159.0,26.8
2015,5,30,75391.0,29.8
2015,5,31,53051.0,33.7
2015,6,1,24536.0,37.4
2015,6,2,81770.0,38.1
2015,6,3,63702.0,38.8
2015,6,4,60054.5,42.9
2015,6,5,54979.0,43.8
2015,6,6,65107.0,44.9
2015,6,7,61295.0,42.6
2015,6,8,29408.0,41.6
2015,6,9,83321.0,42.7
2015,6,10,50571.0,45.2
2015,6,11,50307.0,47.5
2015,6,12,51175.0,48.5
2015,6,13,54791.0,49.3
2015,6,14,46029.0,50.5
2015,6,15,27107.0,47.4
2015,6,16,85696.0,45.6
