year,month,day,weight,price
2015,1,1,39718.0,32.5
2015,1,2,35173.0,33.5
2015,1,3,36042.0,35.5
2015,1,4,27616.0,36.1
2015,1,5,11504.0,38.0
2015,1,6,47350.0,36.3
2015,1,7,44633.0,34.4
2015,1,8,45771.0,32.2
2015,1,9,46803.0,29.5
2015,1,10,52686.0,27.9
2015,1,11,43060.0,25.1
2015,1,12,12788.0,27.9
2015,1,13,55148.0,25.7
2015,1,14,52517.0,24.5
2015,1,15,43390.0,23.5
2015,1,16,47953.0,22.7
2015,1,17,56066.0,20.8
2015,1,18,43047.0,18.4
2015,1,19,12295.0,22.9
2015,1,20,49145.0,21.4
2015,1,21,55548.5,19.9
2015,1,22,47869.0,20.0
2015,1,23,47102.0,20.4
2015,1,24,45564.0,21.7
2015,1,25,29030.0,24.2
2015,1,26,14614.0,22.3
2015,1,27,47967.0,23.8
2015,1,28,38782.0,24.2
2015,1,29,40526.0,23.9
2015,1,30,44191.0,22.7
2015,1,31,46628.0,22.2
2015,2,1,37616.0,21.0
2015,2,2,9035.5,25.8
2015,2,3,48266.0,22.8
2015,2,4,52472.0,20.2
2015,2,5,41798.0,20.4
2015,2,6,41559.0,19.3
2015,2,7,42420.5,20.1
2015,2,8,32736.0,20.5
2015,2,9,7188.0,22.2
2015,2,10,41798.0,24.7
2015,2,11,36345.0,25.0
2015,2,12,33666.0,27.1
2015,2,13,33481.0,25.9
2015,2,14,37584.0,24.4
2015,2,15,44572.0,21.3
2015,2,16,41054.0,20.9
2015,2,17,55112.0,18.4
2015,2,18,20516.0,13.6
2015,2,19,20516.0,13.6
2015,2,20,20516.0,13.6
2015,2,21,20516.0,13.6
2015,2,22,20516.0,13.6
2015,2,23,7092.0,18.9
2015,2,24,69409.0,14.0
2015,2,25,72752.0,12.4
2015,2,26,84106.0,10.4
2015,2,27,23815.0,12.7
2015,2,28,68587.0,10.7
2015,3,1,49125.0,10.6
2015,3,2,11527.0,13.1
2015,3,3,69096.0,9.4
2015,3,4,56943.0,10.5
2015,3,5,57933.0,13.1
2015,3,6,53125.0,14.4
2015,3,7,12937.0,13.8
2015,3,8,1141.0,19.2
2015,3,9,8981.5,16.5
2015,3,10,75513.0,14.4
2015,3,11,62327.0,14.5
2015,3,12,57762.0,13.1
2015,3,13,50507.0,14.2
2015,3,14,44978.0,16.6
2015,3,15,34563.0,17.7
2015,3,16,6038.0,24.9
2015,3,17,48166.0,21.0
2015,3,18,47404.0,20.9
2015,3,19,46190.0,19.0
2015,3,20,46848.5,19.4
2015,3,21,45644.5,22.0
2015,3,22,31185.0,21.3
2015,3,23,9034.0,25.4
2015,3,24,51529.0,23.7
2015,3,25,51013.0,22.7
2015,3,26,49446.0,20.2
2015,3,27,44118.0,20.6
2015,3,28,45257.0,22.9
2015,3,29,33803.0,24.1
2015,3,30,9751.0,28.7
2015,3,31,60887.5,24.6
2015,4,1,57145.0,23.5
2015,4,2,53677.5,25.0
2015,4,3,53269.5,24.5
2015,4,4,62276.0,23.3
2015,4,5,10921.0,20.5
2015,4,6,10767.0,28.4
2015,4,7,53327.0,24.9
2015,4,8,68191.5,21.8
2015,4,9,58613.0,21.4
2015,4,10,50759.0,21.5
2015,4,11,49739.5,23.6
2015,4,12,35920.0,23.4
2015,4,13,12488.0,30.8
2015,4,14,57535.0,25.2
2015,4,15,50670.0,26.7
2015,4,16,43252.0,29.9
2015,4,17,40469.0,31.9
2015,4,18,48274.0,32.6
2015,4,19,43587.0,29.9
2015,4,20,12521.0,35.2
2015,4,21,71245.0,28.1
2015,4,22,69025.0,24.7
2015,4,23,66193.0,23.7
2015,4,24,65251.0,22.0
2015,4,25,68260.0,21.1
2015,4,26,56551.0,18.6
2015,4,27,16849.0,27.8
2015,4,28,78048.5,20.5
2015,4,29,76897.0,19.2
2015,4,30,69261.0,18.5
2015,5,1,72359.0,18.8
2015,5,2,76017.0,18.6
2015,5,3,53574.0,15.7
2015,5,4,19739.0,24.6
2015,5,5,81198.0,18.5
2015,5,6,72300.0,18.3
2015,5,7,74562.0,17.5
2015,5,8,70537.5,17.8
2015,5,9,71708.0,18.8
2015,5,10,51158.0,16.5
2015,5,11,20470.0,22.3
2015,5,12,78482.0,17.9
2015,5,13,80099.0,17.2
2015,5,14,77053.5,15.5
2015,5,15,76386.0,15.6
2015,5,16,80299.0,16.0
2015,5,17,55922.0,14.8
2015,5,18,24722.5,19.3
2015,5,19,82425.0,17.9
2015,5,20,66932.0,20.8
2015,5,21,62675.0,21.5
2015,5,22,61634.0,21.9
2015,5,23,69973.0,22.8
2015,5,24,50890.0,20.6
2015,5,25,20482.0,28.2
2015,5,26,70336.0,24.7
2015,5,27,73591.0,24.6
2015,5,28,63877.0,25.1
2015,5,29,46433.0,30.1
2015,5,30,57807.0,32.2
2015,5,31,38618.0,34.1
2015,6,1,16139.0,37.7
2015,6,2,66494.0,38.4
2015,6,3,71448.0,35.0
2015,6,4,64000.0,34.6
2015,6,5,58650.0,34.9
2015,6,6,71550.0,34.2
2015,6,7,42942.0,34.1
2015,6,8,21659.0,35.9
2015,6,9,78422.0,33.4
2015,6,10,71047.0,32.8
2015,6,11,53796.0,35.8
2015,6,12,47428.0,36.0
2015,6,13,49367.0,38.4
2015,6,14,30039.0,43.5
2015,6,15,15741.0,46.7
2015,6,16,54128.0,52.2
2015,6,17,63100.5,46.7
2015,6,18,62773.0,49.3
2015,6,19,77086.5,53.9
2015,6,20,41552.0,57.6
2015,6,21,41552.0,57.6
2015,6,22,19056.0,57.7
