year,month,day,weight,price
2015,1,1,112939.0,26.6
2015,1,2,89442.0,28.6
2015,1,3,113007.0,28.8
2015,1,4,90111.0,29.9
2015,1,5,20976.5,23.5
2015,1,6,134593.0,27.8
2015,1,7,103651.0,27.4
2015,1,8,107638.5,26.0
2015,1,9,104573.5,25.8
2015,1,10,119504.0,25.5
2015,1,11,103665.0,23.5
2015,1,12,25053.5,23.4
2015,1,13,176493.5,22.9
2015,1,14,145753.5,20.8
2015,1,15,144785.0,19.6
2015,1,16,136786.5,19.0
2015,1,17,174910.0,16.7
2015,1,18,140970.0,14.9
2015,1,19,38427.0,17.3
2015,1,20,188532.5,15.8
2015,1,21,158098.0,14.5
2015,1,22,146732.5,14.2
2015,1,23,134806.0,14.4
2015,1,24,145693.5,14.7
2015,1,25,104048.0,14.5
2015,1,26,34871.5,14.0
2015,1,27,155816.0,14.5
2015,1,28,109175.0,14.3
2015,1,29,114855.0,14.5
2015,1,30,104031.0,15.0
2015,1,31,129488.0,14.9
2015,2,1,100688.0,14.5
2015,2,2,26047.5,14.3
2015,2,3,148109.0,15.9
2015,2,4,111708.0,14.7
2015,2,5,106508.0,14.7
2015,2,6,97110.5,16.1
2015,2,7,108974.0,15.8
2015,2,8,81931.0,17.0
2015,2,9,18594.5,18.2
2015,2,10,128053.0,19.4
2015,2,11,97187.0,21.8
2015,2,12,104714.0,22.2
2015,2,13,105902.0,21.9
2015,2,14,129018.0,22.4
2015,2,15,120167.0,22.1
2015,2,16,123252.0,23.0
2015,2,17,131831.0,22.9
2015,2,18,41445.0,23.1
2015,2,19,41445.0,23.1
2015,2,20,1251.0,20.0
2015,2,21,1393.0,24.0
2015,2,22,3169.0,20.3
2015,2,23,23416.0,20.3
2015,2,24,163320.0,19.2
2015,2,25,150794.0,19.5
2015,2,26,161044.0,17.8
2015,2,27,49212.0,18.9
2015,2,28,197636.0,15.9
2015,3,1,135794.5,14.3
2015,3,2,39434.0,14.9
2015,3,3,182817.0,14.9
2015,3,4,150805.0,15.1
2015,3,5,160725.0,15.6
2015,3,6,127540.0,15.2
2015,3,7,37393.0,14.7
2015,3,8,13016.0,16.4
2015,3,9,35234.0,14.5
2015,3,10,209568.0,14.2
2015,3,11,159792.0,12.5
2015,3,12,137682.0,12.4
2015,3,13,110551.0,13.9
2015,3,14,111552.0,17.4
2015,3,15,86257.0,17.6
2015,3,16,21112.0,16.1
2015,3,17,135065.0,17.2
2015,3,18,106638.0,16.2
2015,3,19,112150.5,16.0
2015,3,20,104894.5,16.0
2015,3,21,105806.5,17.8
2015,3,22,80458.0,17.8
2015,3,23,23083.5,16.6
2015,3,24,126442.5,18.5
2015,3,25,108471.0,18.7
2015,3,26,108070.5,19.6
2015,3,27,106815.0,18.7
2015,3,28,120197.0,19.2
2015,3,29,104758.0,18.4
2015,3,30,22108.5,17.8
2015,3,31,129924.0,20.2
2015,4,1,118932.0,18.9
2015,4,2,116242.0,18.6
2015,4,3,117978.5,18.0
2015,4,4,141790.0,16.2
2015,4,5,21173.0,20.2
2015,4,6,17448.0,19.2
2015,4,7,126051.0,16.3
2015,4,8,119601.0,15.5
2015,4,9,119404.0,15.3
2015,4,10,114662.5,15.7
2015,4,11,137301.0,15.5
