year,month,day,weight,price
2015,1,1,52276.0,33.7
2015,1,2,45405.0,36.5
2015,1,3,45192.5,39.3
2015,1,4,28927.0,42.7
2015,1,5,10063.0,34.1
2015,1,6,49054.0,41.6
2015,1,7,44165.0,41.0
2015,1,8,42080.0,40.5
2015,1,9,45039.0,38.2
2015,1,10,48745.0,37.7
2015,1,11,36851.0,38.1
2015,1,12,10742.0,38.0
2015,1,13,55211.5,37.1
2015,1,14,46448.0,37.3
2015,1,15,41565.0,38.8
2015,1,16,40275.0,37.8
2015,1,17,46878.0,36.0
2015,1,18,39725.0,35.9
2015,1,19,9092.0,33.4
2015,1,20,47461.0,35.5
2015,1,21,44995.0,34.1
2015,1,22,46698.0,33.3
2015,1,23,47775.0,31.7
2015,1,24,48799.0,31.1
2015,1,25,39958.0,32.9
2015,1,26,9982.0,31.2
2015,1,27,45612.0,33.6
2015,1,28,45994.0,34.6
2015,1,29,56696.0,34.9
2015,1,30,53087.0,33.4
2015,1,31,64903.0,30.4
2015,2,1,49248.0,30.0
2015,2,2,11266.0,23.6
2015,2,3,61610.0,30.3
2015,2,4,57412.0,27.8
2015,2,5,54166.0,27.6
2015,2,6,62682.5,25.9
2015,2,7,62797.0,26.0
2015,2,8,43873.0,28.4
2015,2,9,12137.0,22.5
2015,2,10,58360.0,29.5
2015,2,11,58992.0,33.3
2015,2,12,64545.0,34.5
2015,2,13,72122.0,34.9
2015,2,14,79835.0,34.9
2015,2,15,75162.0,36.1
2015,2,16,73775.0,35.9
2015,2,17,74988.0,42.5
2015,2,18,24496.0,47.0
2015,2,19,24496.0,47.0
2015,2,20,24496.0,47.0
2015,2,21,24496.0,47.0
2015,2,22,24496.0,47.0
2015,2,23,9918.0,24.8
2015,2,24,55205.0,39.6
2015,2,25,56561.0,33.4
2015,2,26,68710.0,29.5
2015,2,27,22891.0,25.8
2015,2,28,78609.0,24.1
2015,3,1,61449.0,22.5
2015,3,2,13432.0,21.7
2015,3,3,78837.0,23.1
2015,3,4,79243.0,20.8
2015,3,5,80401.0,21.6
2015,3,6,56205.0,21.7
2015,3,7,14164.0,16.5
2015,3,8,2160.0,16.1
2015,3,9,11006.0,19.1
2015,3,10,73014.0,23.1
2015,3,11,71160.0,21.2
2015,3,12,68831.0,19.8
2015,3,13,63583.0,20.3
2015,3,14,66185.0,21.0
2015,3,15,53356.0,22.2
2015,3,16,12164.0,17.9
2015,3,17,64379.0,23.9
2015,3,18,61825.0,21.8
2015,3,19,57336.0,22.1
2015,3,20,64831.0,20.8
2015,3,21,60554.0,21.3
2015,3,22,47378.0,20.2
2015,3,23,11469.0,21.6
2015,3,24,61731.0,22.7
2015,3,25,56451.0,22.3
2015,3,26,56909.0,22.6
2015,3,27,58235.0,22.4
2015,3,28,60415.0,22.7
2015,3,29,45101.0,23.4
2015,3,30,11628.5,22.0
2015,3,31,66657.0,25.5
2015,4,1,59608.0,25.1
2015,4,2,55649.0,25.7
2015,4,3,57759.0,25.4
2015,4,4,55164.0,26.2
2015,4,5,11025.0,27.2
2015,4,6,9203.0,29.9
2015,4,7,45963.0,32.4
2015,4,8,51556.5,28.2
2015,4,9,57758.0,27.5
2015,4,10,57387.5,27.1
2015,4,11,62019.5,26.4
2015,4,12,46938.0,25.5
2015,4,13,10296.0,27.7
2015,4,14,66483.0,29.5
2015,4,15,55092.0,28.8
2015,4,16,54416.0,29.9
2015,4,17,54711.0,29.4
2015,4,18,59021.0,28.3
2015,4,19,48261.0,27.2
2015,4,20,10545.0,30.5
2015,4,21,58061.0,27.5
2015,4,22,43258.0,30.1
2015,4,23,53511.5,29.2
2015,4,24,55663.0,27.1
2015,4,25,60919.0,25.9
2015,4,26,52877.0,22.9
2015,4,27,12705.5,27.5
2015,4,28,67887.0,24.6
2015,4,29,66125.5,22.4
2015,4,30,73494.0,20.7
2015,5,1,63648.0,20.8
2015,5,2,69357.0,21.3
2015,5,3,51477.0,22.4
2015,5,4,14358.0,17.3
2015,5,5,73202.0,20.2
2015,5,6,76887.0,18.5
2015,5,7,68945.0,19.2
2015,5,8,70650.0,19.4
2015,5,9,74233.0,19.9
2015,5,10,60167.0,18.0
2015,5,11,15363.0,15.5
2015,5,12,68335.0,18.8
2015,5,13,62404.0,18.5
2015,5,14,66067.0,18.8
2015,5,15,67191.5,17.9
2015,5,16,68649.5,18.3
2015,5,17,57654.0,17.3
2015,5,18,13702.0,14.4
2015,5,19,70634.0,20.3
2015,5,20,64644.0,19.2
2015,5,21,61014.0,20.4
2015,5,22,49517.0,25.2
2015,5,23,63813.0,21.8
2015,5,24,59291.0,18.3
2015,5,25,12683.0,25.3
2015,5,26,61161.0,23.4
2015,5,27,68421.0,22.0
2015,5,28,62465.5,24.4
2015,5,29,64684.0,25.4
2015,5,30,53067.0,28.0
2015,5,31,42768.0,28.5
2015,6,1,8926.0,35.8
2015,6,2,52778.0,34.5
2015,6,3,49442.0,36.7
2015,6,4,47483.0,40.0
2015,6,5,48169.0,41.0
2015,6,6,52421.0,40.5
2015,6,7,43146.0,38.2
2015,6,8,8970.0,45.1
2015,6,9,53308.0,39.4
2015,6,10,48785.0,39.6
2015,6,11,54140.0,37.5
2015,6,12,46318.0,37.6
2015,6,13,46630.0,38.1
2015,6,14,37543.0,37.2
2015,6,15,10728.0,42.7
2015,6,16,42961.0,42.2
2015,6,17,44391.5,43.6
2015,6,18,49637.5,42.4
2015,6,19,57454.0,37.7
2015,6,20,44780.0,33.7
2015,6,21,44780.0,33.7
2015,6,22,9636.5,51.3
2015,6,23,42777.0,38.9
2015,6,24,37518.0,43.5
2015,6,25,39299.5,43.3
2015,6,26,39682.5,43.6
2015,6,27,43501.0,42.7
2015,6,28,31628.0,42.7
