year,month,day,weight,price
2015,1,1,21267.0,79.9
2015,1,2,17856.0,82.5
2015,1,3,22962.0,81.2
2015,1,4,24368.0,78.5
2015,1,5,5384.5,79.1
2015,1,6,35473.0,71.8
2015,1,7,36133.0,62.6
2015,1,8,30270.5,56.9
2015,1,9,32505.0,57.9
2015,1,10,37483.0,55.8
2015,1,11,36198.0,53.5
2015,1,12,7697.0,52.1
2015,1,13,42997.5,50.5
2015,1,14,40980.5,47.7
2015,1,15,40926.5,44.7
2015,1,16,45704.0,45.0
2015,1,17,46086.0,44.1
2015,1,18,45447.0,41.8
2015,1,19,7230.5,45.5
2015,1,20,47155.0,42.7
2015,1,21,40075.5,42.1
2015,1,22,39976.5,42.1
2015,1,23,43504.0,42.9
2015,1,24,45224.0,40.5
2015,1,25,40136.0,40.9
2015,1,26,8683.5,47.2
2015,1,27,45537.5,40.6
2015,1,28,44276.0,39.5
2015,1,29,45088.0,40.1
2015,1,30,42671.0,40.2
2015,1,31,46106.5,41.3
2015,2,1,45980.0,39.9
2015,2,2,12460.0,44.9
2015,2,3,57096.0,41.1
2015,2,4,54921.0,37.7
2015,2,5,43669.0,39.0
2015,2,6,39912.0,40.6
2015,2,7,35996.0,44.9
2015,2,8,36868.0,47.6
2015,2,9,9208.5,76.3
2015,2,10,40036.0,70.4
2015,2,11,43527.0,74.8
2015,2,12,48041.5,76.5
2015,2,13,53788.0,75.8
2015,2,14,70736.0,74.6
2015,2,15,77649.0,69.6
2015,2,16,72597.5,71.7
2015,2,17,90644.5,70.1
2015,2,18,59128.0,58.6
2015,2,19,59128.0,58.6
2015,2,20,4131.0,46.0
2015,2,21,9738.0,37.5
2015,2,22,9115.0,37.3
2015,2,23,11383.0,36.9
2015,2,24,61731.0,32.7
2015,2,25,48266.0,33.7
2015,2,26,46130.0,32.4
2015,2,27,14530.0,38.4
2015,2,28,47631.0,32.1
2015,3,1,39478.0,33.1
2015,3,2,8271.0,37.6
2015,3,3,42233.0,32.0
2015,3,4,35082.0,34.5
2015,3,5,35161.0,37.6
2015,3,6,26036.0,42.9
2015,3,7,7470.0,43.0
2015,3,8,7344.0,43.1
2015,3,9,6233.0,46.5
2015,3,10,39959.5,36.6
2015,3,11,31304.0,37.9
2015,3,12,24791.0,38.4
2015,3,13,20344.0,46.3
2015,3,14,27715.0,49.1
2015,3,15,21495.0,48.7
2015,3,16,3672.0,68.6
2015,3,17,24558.0,52.7
2015,3,18,22001.5,49.7
2015,3,19,22984.0,44.6
2015,3,20,22092.5,46.9
2015,3,21,22323.0,45.3
2015,3,22,19890.0,43.8
2015,3,23,4585.0,60.5
2015,3,24,20717.5,47.2
2015,3,25,18534.0,49.8
2015,3,26,15949.5,50.3
2015,3,27,15682.5,54.9
2015,3,28,16155.0,56.1
2015,3,29,15738.0,52.8
2015,3,30,3420.5,78.1
2015,3,31,16667.5,59.3
2015,4,1,17104.0,63.8
2015,4,2,15751.5,65.0
2015,4,3,16840.0,54.7
2015,4,4,17576.5,56.8
2015,4,5,2973.0,63.7
2015,4,6,1639.0,88.9
2015,4,7,11266.0,57.5
2015,4,8,11998.0,60.8
2015,4,9,8076.0,63.3
2015,4,10,9467.0,62.5
2015,4,11,11098.0,61.5
2015,4,12,9612.0,66.9
2015,4,13,1331.0,91.3
2015,4,14,10809.0,65.1
2015,4,15,7139.0,72.5
2015,4,16,6667.0,71.8
2015,4,17,6740.5,71.0
2015,4,18,9066.0,71.1
2015,4,19,6012.0,60.0
2015,4,20,1388.0,97.6
2015,4,21,7636.0,65.6
2015,4,22,5801.0,68.8
2015,4,23,5852.5,73.4
2015,4,24,6235.5,71.2
2015,4,25,6283.0,69.3
2015,4,26,5814.0,88.0
2015,4,27,1390.0,96.9
2015,4,28,6609.0,72.6
2015,4,29,5289.0,74.9
2015,4,30,7148.0,65.4
2015,5,1,5035.0,81.1
2015,5,2,5882.0,73.4
2015,5,3,4050.0,67.2
2015,5,4,924.0,114.0
2015,5,5,4181.0,88.7
2015,5,6,4716.0,76.4
2015,5,7,4275.0,83.7
2015,5,8,4479.0,92.2
2015,5,9,6867.0,84.3
2015,5,10,4114.0,82.5
2015,5,11,1016.0,109.0
2015,5,12,4025.0,91.7
2015,5,13,4159.0,96.0
2015,5,14,5034.0,85.8
2015,5,15,3815.0,92.7
2015,5,16,4738.0,87.8
2015,5,17,5171.0,62.6
2015,5,18,1100.0,109.0
2015,5,19,4724.0,84.4
2015,5,20,3352.0,100.7
2015,5,21,4619.0,86.1
2015,5,22,5037.0,77.8
2015,5,23,4909.0,84.2
2015,5,24,3735.0,86.1
2015,5,25,1076.0,109.0
2015,5,26,4442.0,94.7
2015,5,27,6361.0,87.7
2015,5,28,6990.0,85.1
2015,5,29,6404.0,80.1
2015,5,30,7520.0,88.5
2015,5,31,4288.0,87.8
2015,6,1,1116.0,109.0
2015,6,2,6192.0,89.9
2015,6,3,7590.0,85.8
2015,6,4,4883.0,90.5
2015,6,5,5677.0,91.2
2015,6,6,4421.0,100.4
2015,6,7,4631.0,91.7
2015,6,8,1032.0,119.0
2015,6,9,4008.0,107.0
2015,6,10,3968.0,108.1
2015,6,11,4105.0,97.0
2015,6,12,3704.0,104.5
