year,month,day,weight,price
2015,1,1,32655.0,73.5
2015,1,2,29324.5,80.3
2015,1,3,29237.5,83.6
2015,1,4,26040.0,72.4
2015,1,5,7822.0,110.0
2015,1,6,41788.5,78.0
2015,1,7,35047.5,73.4
2015,1,8,33563.0,73.1
2015,1,9,33453.0,70.2
2015,1,10,33656.0,67.5
2015,1,11,27022.0,60.5
2015,1,12,9388.0,84.6
2015,1,13,36366.5,73.6
2015,1,14,34409.0,69.5
2015,1,15,33755.5,66.1
2015,1,16,35925.0,61.9
2015,1,17,35776.0,60.4
2015,1,18,25993.0,55.4
2015,1,19,10357.5,74.7
2015,1,20,41791.0,60.2
2015,1,21,31076.5,65.7
2015,1,22,28891.5,67.8
2015,1,23,33229.0,63.9
2015,1,24,32718.5,64.3
2015,1,25,21891.0,60.8
2015,1,26,9234.5,74.5
2015,1,27,38579.0,63.4
2015,1,28,36790.0,60.2
2015,1,29,40128.0,53.2
2015,1,30,38139.5,53.2
2015,1,31,36740.0,55.1
2015,2,1,23816.0,50.8
2015,2,2,11627.0,57.7
2015,2,3,42234.5,54.9
2015,2,4,36978.0,51.9
2015,2,5,34535.0,51.3
2015,2,6,34413.5,52.3
2015,2,7,32051.0,55.4
2015,2,8,28510.0,56.2
2015,2,9,9100.0,70.8
2015,2,10,36102.0,71.5
2015,2,11,30175.0,74.6
2015,2,12,27624.5,79.4
2015,2,13,27208.0,82.9
2015,2,14,30015.0,86.0
2015,2,15,30939.5,87.9
2015,2,16,34225.0,88.1
2015,2,17,37341.0,78.2
2015,2,18,28999.0,54.6
2015,2,19,28999.0,54.6
2015,2,20,28999.0,54.6
2015,2,21,202.0,53.0
2015,2,22,316.0,48.3
2015,2,23,14890.0,45.2
2015,2,24,64338.0,40.1
2015,2,25,55646.0,39.2
2015,2,26,54929.0,42.0
2015,2,27,17821.0,49.7
2015,2,28,57051.0,41.0
2015,3,1,35528.0,36.5
2015,3,2,15011.0,51.5
2015,3,3,54540.0,42.4
2015,3,4,43447.0,45.3
2015,3,5,38138.0,44.6
2015,3,6,40314.0,46.1
2015,3,7,12535.0,48.5
2015,3,8,1885.0,42.7
2015,3,9,12996.5,49.0
2015,3,10,63457.5,41.4
2015,3,11,48043.5,40.1
2015,3,12,41198.5,41.1
2015,3,13,37343.0,46.5
2015,3,14,38363.0,48.8
2015,3,15,31482.0,47.1
2015,3,16,11874.0,50.8
2015,3,17,58854.0,44.2
2015,3,18,56110.5,40.5
2015,3,19,53381.0,37.1
2015,3,20,50466.0,38.4
2015,3,21,52999.5,37.4
2015,3,22,48630.0,30.5
2015,3,23,14338.0,46.3
2015,3,24,73539.5,33.2
2015,3,25,54951.0,36.2
2015,3,26,43636.0,38.3
2015,3,27,41091.5,41.7
2015,3,28,38636.5,45.9
2015,3,29,32502.0,47.3
2015,3,30,10191.0,62.4
2015,3,31,48314.5,52.0
2015,4,1,41615.0,51.6
2015,4,2,42360.5,52.6
2015,4,3,45142.5,53.3
2015,4,4,51546.0,50.5
2015,4,5,6482.0,50.9
2015,4,6,10654.0,68.7
2015,4,7,70013.5,45.0
2015,4,8,59598.0,41.1
2015,4,9,48083.0,44.0
2015,4,10,40220.5,49.9
2015,4,11,35857.5,57.4
2015,4,12,28913.0,56.3
2015,4,13,9720.0,75.9
2015,4,14,40363.0,63.6
2015,4,15,29487.0,70.2
2015,4,16,23655.0,81.7
2015,4,17,23658.0,96.6
2015,4,18,27359.5,96.8
2015,4,19,27341.0,81.5
2015,4,20,11800.5,77.8
2015,4,21,57154.0,61.7
2015,4,22,45859.0,55.9
2015,4,23,50587.5,49.7
2015,4,24,41558.0,51.8
2015,4,25,42063.0,54.9
2015,4,26,37815.0,47.6
2015,4,27,12059.5,69.7
2015,4,28,48300.5,55.0
2015,4,29,42494.5,53.2
2015,4,30,38811.0,55.4
2015,5,1,37180.0,56.7
2015,5,2,37091.0,57.2
2015,5,3,30795.0,50.4
2015,5,4,11796.0,70.0
2015,5,5,50698.0,51.2
2015,5,6,43035.5,48.5
2015,5,7,37765.5,52.4
2015,5,8,32436.0,57.2
2015,5,9,33994.0,62.7
2015,5,10,26729.0,55.0
2015,5,11,10503.0,63.7
2015,5,12,42282.0,53.6
2015,5,13,39884.0,52.5
2015,5,14,39519.5,51.6
2015,5,15,32740.0,53.5
2015,5,16,35967.0,54.0
2015,5,17,28444.0,52.8
2015,5,18,12158.5,58.9
2015,5,19,42673.0,50.6
2015,5,20,37356.0,53.0
2015,5,21,33131.0,54.4
2015,5,22,34458.0,55.2
2015,5,23,36038.0,51.4
2015,5,24,25064.0,50.4
2015,5,25,11869.0,59.8
2015,5,26,34162.0,58.6
2015,5,27,31183.0,62.2
2015,5,28,25891.0,69.5
2015,5,29,23406.0,79.2
2015,5,30,21189.0,84.4
2015,5,31,17830.0,81.3
2015,6,1,7924.0,86.1
2015,6,2,31372.0,79.3
