year,month,day,weight,price
2015,1,1,8228.0,47.5
2015,1,2,5919.0,50.5
2015,1,3,5937.0,52.6
2015,1,4,5927.0,51.4
2015,1,5,5927.0,51.4
2015,1,6,6026.0,55.3
2015,1,7,7582.0,51.0
2015,1,8,7348.0,48.9
2015,1,9,6068.0,48.6
2015,1,10,6087.0,49.4
2015,1,11,6237.0,46.7
2015,1,12,6237.0,46.7
2015,1,13,4673.0,53.8
2015,1,14,4476.0,53.4
2015,1,15,3852.0,58.3
2015,1,16,4215.0,61.1
2015,1,17,5383.0,60.3
2015,1,18,3100.0,62.6
2015,1,19,3100.0,62.6
2015,1,20,2737.0,69.5
2015,1,21,3117.0,66.6
2015,1,22,2297.0,73.1
2015,1,23,3056.0,72.2
2015,1,24,3653.0,70.1
2015,1,25,3306.0,70.4
2015,1,26,3306.0,70.4
2015,1,27,3008.0,69.1
2015,1,28,3719.0,66.2
2015,1,29,4214.0,63.3
2015,1,30,5649.0,56.5
2015,1,31,5497.0,54.8
2015,2,1,5765.0,51.1
2015,2,2,5765.0,51.1
2015,2,3,4488.0,57.7
2015,2,4,4886.0,54.3
2015,2,5,4866.0,51.2
2015,2,6,4518.0,50.4
2015,2,7,6526.0,48.0
2015,2,8,6454.0,47.9
2015,2,9,6454.0,47.9
2015,2,10,5177.0,53.5
2015,2,11,5152.0,57.0
2015,2,12,6284.0,58.8
2015,2,13,6894.0,61.9
2015,2,14,7376.0,64.3
2015,2,15,8991.0,60.0
2015,2,16,9714.0,52.0
2015,2,17,11067.0,48.6
2015,2,18,5719.0,32.1
2015,2,19,5719.0,32.1
2015,2,20,5719.0,32.1
2015,2,21,5719.0,32.1
2015,2,22,5719.0,32.1
2015,2,23,5719.0,32.1
2015,2,24,8875.0,36.5
2015,2,25,14309.0,26.4
2015,2,26,10296.0,24.9
2015,2,27,1169.0,32.0
2015,2,28,9181.0,27.7
2015,3,1,7911.0,27.1
2015,3,2,7911.0,27.1
