year,month,day,weight,price
2015,1,1,2631.0,66.3
2015,1,2,2397.0,75.0
2015,1,3,2802.0,71.8
2015,1,4,2571.0,73.7
2015,1,5,2571.0,73.7
2015,1,6,2254.0,75.7
2015,1,7,2146.0,75.2
2015,1,8,1842.0,77.0
2015,1,9,1977.0,78.9
2015,1,10,2060.0,79.7
2015,1,11,2199.0,77.3
2015,1,12,2199.0,77.3
2015,1,13,2033.0,80.1
2015,1,14,1426.0,78.3
2015,1,15,1502.0,79.7
2015,1,16,1271.0,79.9
2015,1,17,1200.0,80.1
2015,1,18,1167.0,81.2
2015,1,19,1167.0,81.2
2015,1,20,818.0,80.9
2015,1,21,776.0,84.8
2015,1,22,996.0,79.1
2015,1,23,1011.0,81.5
2015,1,24,966.0,83.3
2015,1,25,826.0,80.4
2015,1,26,826.0,80.4
2015,1,27,806.0,88.5
2015,1,28,816.0,89.4
2015,1,29,759.0,83.8
2015,1,30,837.0,85.0
2015,1,31,754.0,85.8
2015,2,1,564.0,97.0
2015,2,2,564.0,97.0
2015,2,3,443.0,107.0
2015,2,4,475.0,100.1
2015,2,5,482.0,97.3
2015,2,6,290.0,125.9
2015,2,7,220.0,123.6
2015,2,8,278.0,121.5
2015,2,9,278.0,121.5
2015,2,10,386.0,121.8
2015,2,11,372.0,125.0
2015,2,12,444.0,114.2
2015,2,13,275.0,126.5
2015,2,14,348.0,130.0
2015,2,15,352.0,109.6
2015,2,16,174.0,140.9
2015,2,17,230.0,144.3
2015,2,18,100.0,160.0
2015,2,19,100.0,160.0
2015,2,20,100.0,160.0
2015,2,21,100.0,160.0
2015,2,22,100.0,160.0
2015,2,23,100.0,160.0
2015,2,24,270.0,140.4
2015,2,25,440.0,118.6
2015,2,26,556.0,113.3
2015,2,27,130.0,159.2
2015,2,28,490.0,116.9
2015,3,1,619.0,114.7
2015,3,2,619.0,114.7
2015,3,3,718.0,112.6
2015,3,4,902.0,106.8
2015,3,5,1170.0,100.4
2015,3,6,1108.0,100.7
2015,3,7,1108.0,100.7
2015,3,8,1108.0,100.7
2015,3,9,1108.0,100.7
2015,3,10,821.0,108.3
2015,3,11,838.0,108.5
2015,3,12,654.0,112.4
2015,3,13,1024.0,100.1
2015,3,14,1246.0,94.0
2015,3,15,1075.0,97.4
2015,3,16,1075.0,97.4
2015,3,17,1070.0,96.0
2015,3,18,911.0,89.8
2015,3,19,775.0,104.1
2015,3,20,855.0,94.8
2015,3,21,661.0,95.6
2015,3,22,1263.0,95.4
2015,3,23,1263.0,95.4
2015,3,24,976.0,92.7
2015,3,25,997.0,96.3
2015,3,26,911.0,91.8
2015,3,27,1065.0,92.8
2015,3,28,1164.0,92.9
2015,3,29,1405.0,90.9
2015,3,30,1405.0,90.9
2015,3,31,1338.0,96.4
2015,4,1,1696.0,93.7
2015,4,2,1785.0,88.6
2015,4,3,2011.0,89.0
2015,4,4,2168.0,81.0
2015,4,5,265.0,117.0
2015,4,6,265.0,117.0
2015,4,7,1849.0,82.3
2015,4,8,1665.0,89.1
2015,4,9,1601.0,93.1
2015,4,10,1827.0,86.7
2015,4,11,1987.0,85.2
2015,4,12,2113.0,84.8
2015,4,13,2113.0,84.8
2015,4,14,1813.0,84.4
2015,4,15,2112.0,80.3
2015,4,16,1787.0,86.2
2015,4,17,1911.0,78.8
2015,4,18,2702.0,74.5
2015,4,19,2992.0,71.0
2015,4,20,2992.0,71.0
2015,4,21,2139.0,64.6
2015,4,22,3519.0,74.2
2015,4,23,2886.0,68.8
2015,4,24,3188.0,70.0
2015,4,25,2935.0,62.8
2015,4,26,2887.0,68.6
2015,4,27,2887.0,68.6
2015,4,28,2942.0,76.7
2015,4,29,2391.0,75.2
2015,4,30,2178.0,72.2
2015,5,1,2669.0,75.7
2015,5,2,2979.0,72.5
2015,5,3,3309.0,71.2
2015,5,4,3309.0,71.2
2015,5,5,3703.0,64.9
2015,5,6,3008.0,63.5
2015,5,7,2308.0,54.2
2015,5,8,2733.0,58.3
2015,5,9,2967.0,62.9
2015,5,10,3030.0,61.2
2015,5,11,3030.0,61.2
2015,5,12,3569.0,52.2
2015,5,13,3659.0,49.5
2015,5,14,3489.0,52.3
2015,5,15,4075.0,46.0
2015,5,16,3853.0,53.6
2015,5,17,3779.0,60.8
2015,5,18,3779.0,60.8
