year,month,day,weight,price
2015,1,1,51693.0,14.5
2015,1,2,47082.0,15.0
2015,1,3,46481.0,15.2
2015,1,4,39021.0,18.5
2015,1,5,739.0,16.8
2015,1,6,54542.0,18.4
2015,1,7,53079.0,17.9
2015,1,8,48053.0,16.7
2015,1,9,44909.0,17.4
2015,1,10,50878.0,17.0
2015,1,11,38056.0,15.9
2015,1,12,1194.0,17.7
2015,1,13,44819.0,17.5
2015,1,14,39924.0,17.0
2015,1,15,34408.0,17.4
2015,1,16,41739.0,17.8
2015,1,17,42175.0,17.5
2015,1,18,33676.0,16.9
2015,1,19,1716.0,14.9
2015,1,20,37996.0,18.8
2015,1,21,39108.0,18.0
2015,1,22,35155.0,19.1
2015,1,23,44944.0,17.8
2015,1,24,42910.0,18.3
2015,1,25,34455.0,19.4
2015,1,26,3507.0,17.0
2015,1,27,34330.0,19.6
2015,1,28,37309.0,19.6
2015,1,29,36832.0,20.7
2015,1,30,41335.0,20.0
2015,1,31,47067.0,18.8
2015,2,1,38034.0,18.6
2015,2,2,1366.0,15.7
2015,2,3,38931.0,19.1
2015,2,4,37512.0,19.2
2015,2,5,37678.0,19.9
2015,2,6,32401.0,20.1
2015,2,7,38706.0,20.8
2015,2,8,34380.0,18.8
2015,2,9,1226.0,27.5
2015,2,10,40521.0,21.7
2015,2,11,39628.0,21.1
2015,2,12,42211.0,22.4
2015,2,13,46794.0,23.3
2015,2,14,40390.0,23.1
2015,2,15,38759.0,23.5
2015,2,16,29170.0,23.1
2015,2,17,29543.0,21.5
2015,2,18,11125.0,18.1
2015,2,19,11125.0,18.1
2015,2,20,11125.0,18.1
2015,2,21,11125.0,18.1
2015,2,22,11125.0,18.1
2015,2,23,400.0,27.5
2015,2,24,21994.0,21.0
2015,2,25,25323.0,23.1
2015,2,26,35442.0,24.0
2015,2,27,8173.0,22.1
2015,2,28,48655.0,24.1
2015,3,1,37010.0,24.9
2015,3,2,1308.0,22.4
2015,3,3,45287.0,24.3
2015,3,4,52205.0,22.7
2015,3,5,48456.5,23.3
2015,3,6,34499.0,24.4
2015,3,7,5358.0,19.5
2015,3,8,1541.0,20.6
2015,3,9,3245.0,20.8
2015,3,10,52459.0,22.8
2015,3,11,46759.0,23.1
2015,3,12,35281.0,24.7
2015,3,13,38928.0,24.5
2015,3,14,38601.0,24.3
2015,3,15,36171.0,23.5
2015,3,16,36171.0,23.5
2015,3,17,40735.0,23.0
2015,3,18,39970.0,23.0
2015,3,19,33060.0,23.1
2015,3,20,33917.0,23.7
2015,3,21,35039.0,23.1
2015,3,22,26591.0,26.1
2015,3,23,2971.0,22.7
2015,3,24,38463.0,25.3
2015,3,25,33455.0,25.8
2015,3,26,35046.0,26.6
2015,3,27,37026.0,27.7
2015,3,28,41257.0,26.8
2015,3,29,30063.0,28.6
2015,3,30,4159.0,20.7
2015,3,31,39233.0,29.4
2015,4,1,38973.0,28.8
2015,4,2,41961.0,28.8
2015,4,3,46877.0,28.2
2015,4,4,48415.0,25.4
2015,4,5,4379.0,27.8
2015,4,6,646.0,16.0
2015,4,7,46411.0,24.4
2015,4,8,59304.0,23.4
2015,4,9,57092.0,22.1
2015,4,10,62215.0,21.9
2015,4,11,58680.0,20.8
2015,4,12,46827.0,22.5
2015,4,13,5779.0,14.6
2015,4,14,43229.0,24.1
2015,4,15,44348.0,23.5
2015,4,16,44218.0,23.9
2015,4,17,44221.0,24.1
2015,4,18,50578.0,24.0
2015,4,19,39423.0,25.7
2015,4,20,9210.0,13.3
2015,4,21,54215.0,23.6
2015,4,22,47100.0,22.9
2015,4,23,49217.0,23.3
2015,4,24,47110.0,23.2
2015,4,25,65861.0,21.0
2015,4,26,47728.0,22.8
2015,4,27,8989.5,13.3
2015,4,28,59511.0,21.8
2015,4,29,55949.0,20.7
2015,4,30,56057.0,20.4
2015,5,1,70124.0,18.3
2015,5,2,59539.0,18.8
2015,5,3,44144.0,19.0
2015,5,4,9867.0,8.2
2015,5,5,75544.0,16.9
2015,5,6,65101.0,16.0
2015,5,7,56229.0,17.3
2015,5,8,53758.0,18.2
2015,5,9,59974.0,17.0
2015,5,10,53047.0,15.9
2015,5,11,10590.0,8.0
2015,5,12,61519.0,14.2
2015,5,13,57596.0,14.6
2015,5,14,57282.0,14.0
2015,5,15,59466.0,14.6
2015,5,16,66813.0,12.8
2015,5,17,54501.0,12.8
2015,5,18,10035.0,11.1
2015,5,19,77521.0,12.7
2015,5,20,71589.0,13.3
2015,5,21,66136.0,13.5
2015,5,22,48417.0,14.9
2015,5,23,49877.0,14.4
2015,5,24,47780.0,14.7
2015,5,25,10921.0,6.8
2015,5,26,47991.0,16.5
2015,5,27,57669.0,16.3
2015,5,28,64466.0,15.4
2015,5,29,57797.0,16.2
2015,5,30,69475.0,15.2
2015,5,31,69212.0,14.0
2015,6,1,6037.0,9.6
2015,6,2,69990.0,14.9
2015,6,3,88790.5,14.1
2015,6,4,86195.0,14.0
2015,6,5,77754.0,14.5
2015,6,6,87462.0,13.9
2015,6,7,72472.0,14.8
2015,6,8,3994.0,13.4
2015,6,9,86368.0,13.5
2015,6,10,58773.0,14.2
2015,6,11,64881.0,13.3
2015,6,12,59438.0,14.2
2015,6,13,53621.0,14.5
2015,6,14,49796.0,14.4
2015,6,15,2110.0,12.0
2015,6,16,58259.0,13.7
2015,6,17,56117.0,13.0
2015,6,18,52480.0,13.4
2015,6,19,53173.0,13.7
2015,6,20,39499.0,15.1
2015,6,21,370.0,12.0
2015,6,22,5458.0,8.0
2015,6,23,56167.0,14.0
2015,6,24,52255.0,14.4
2015,6,25,53148.0,15.5
2015,6,26,49702.0,15.5
2015,6,27,52481.0,15.4
2015,6,28,39424.0,16.3
2015,6,29,6261.0,10.0
2015,6,30,51188.0,14.9
2015,7,1,42004.0,15.0
2015,7,2,37643.0,15.5
2015,7,3,40232.0,16.0
2015,7,4,40450.0,17.7
2015,7,5,32812.0,19.4
2015,7,6,7268.0,13.4
2015,7,7,52351.0,18.5
2015,7,8,46331.0,19.1
2015,7,9,45689.0,19.1
2015,7,10,37892.0,19.3
2015,7,11,32075.0,20.1
2015,7,12,30919.0,21.0
2015,7,13,2990.0,13.2
2015,7,14,40322.0,19.8
2015,7,15,34634.0,19.6
2015,7,16,41768.0,19.1
2015,7,17,37472.0,17.6
2015,7,18,36049.5,20.0
2015,7,19,27561.0,22.0
2015,7,20,3249.0,10.3
2015,7,21,34030.0,23.0
2015,7,22,27044.0,23.3
2015,7,23,33604.0,22.1
2015,7,24,32920.0,23.0
2015,7,25,34888.0,23.0
2015,7,26,27539.0,24.3
2015,7,27,2141.0,18.3
2015,7,28,38442.0,24.8
2015,7,29,38455.0,22.8
2015,7,30,31843.0,24.4
2015,7,31,34185.0,23.4
2015,8,1,33388.0,25.4
2015,8,2,28010.0,26.7
2015,8,3,28010.0,26.7
2015,8,4,37169.0,27.2
2015,8,5,30904.0,30.1
2015,8,6,42849.0,31.8
2015,8,7,51417.0,28.3
2015,8,8,22631.0,29.5
2015,8,9,10957.0,29.2
2015,8,10,3400.0,22.2
2015,8,11,31583.0,31.2
2015,8,12,37496.0,29.8
2015,8,13,45771.0,26.6
2015,8,14,37463.0,27.6
2015,8,15,44194.0,26.1
2015,8,16,38698.0,27.9
2015,8,17,5626.0,19.0
2015,8,18,41703.0,28.6
2015,8,19,40555.0,29.8
2015,8,20,50296.0,30.4
2015,8,21,47354.0,30.1
2015,8,22,51223.0,29.6
2015,8,23,35324.0,30.2
2015,8,24,6926.0,14.4
2015,8,25,43280.0,30.1
2015,8,26,42491.0,28.1
2015,8,27,42120.0,29.8
2015,8,28,41681.0,29.2
2015,8,29,41681.0,29.2
2015,8,30,1855.0,14.5
2015,8,31,5054.0,14.4
2015,9,1,41213.0,30.8
2015,9,2,38443.5,28.1
2015,9,3,40581.0,31.6
2015,9,4,42586.0,33.5
2015,9,5,50789.0,29.7
2015,9,6,36614.0,32.6
2015,9,7,4168.0,18.3
2015,9,8,35665.0,34.7
2015,9,9,31542.0,33.8
2015,9,10,35838.5,36.3
2015,9,11,31923.0,36.6
2015,9,12,29279.0,39.2
2015,9,13,30671.0,37.3
2015,9,14,2997.0,28.6
2015,9,15,33763.0,39.8
2015,9,16,31248.0,37.9
2015,9,17,32933.0,36.9
2015,9,18,29242.0,38.0
2015,9,19,33310.0,35.6
2015,9,20,25175.0,34.2
2015,9,21,2069.0,34.4
2015,9,22,31376.0,37.1
2015,9,23,33522.0,36.4
2015,9,24,36725.0,34.9
2015,9,25,39720.0,33.0
2015,9,26,32318.0,34.8
2015,9,27,26320.0,31.7
2015,9,28,26320.0,31.7
2015,9,29,105.0,39.6
2015,9,30,15871.0,40.8
2015,10,1,32938.5,38.6
2015,10,2,40286.0,37.1
2015,10,3,47373.0,33.7
2015,10,4,29274.0,37.8
2015,10,5,3508.0,36.5
2015,10,6,48180.0,37.5
2015,10,7,37362.0,37.7
2015,10,8,43032.5,35.8
2015,10,9,47950.5,37.1
2015,10,10,39771.0,39.5
2015,10,11,33080.0,36.2
2015,10,12,4505.0,34.6
2015,10,13,38803.0,40.3
2015,10,14,37642.0,38.6
2015,10,15,38414.0,39.8
2015,10,16,35850.0,40.4
2015,10,17,31412.0,47.5
2015,10,18,30655.0,45.3
2015,10,19,2201.0,38.3
2015,10,20,31754.0,50.4
2015,10,21,33128.0,49.2
2015,10,22,29087.0,45.0
2015,10,23,24647.5,44.6
2015,10,24,41093.0,41.8
2015,10,25,41532.0,39.1
