year,month,day,weight,price
2015,1,1,15268.5,36.9
2015,1,2,13801.0,40.5
2015,1,3,12516.5,43.0
2015,1,4,10399.0,40.8
2015,1,5,2850.0,45.0
2015,1,6,15334.5,42.0
2015,1,7,13951.5,42.1
2015,1,8,15391.5,41.0
2015,1,9,15119.5,43.0
2015,1,10,14751.5,40.4
2015,1,11,13380.0,37.5
2015,1,12,3952.0,43.6
2015,1,13,17103.5,39.5
2015,1,14,17457.0,37.3
2015,1,15,13812.0,39.5
2015,1,16,14654.0,37.6
2015,1,17,15860.0,37.4
2015,1,18,12796.0,35.5
2015,1,19,3900.0,39.8
2015,1,20,15032.0,40.0
2015,1,21,14243.0,44.1
2015,1,22,13094.0,49.3
2015,1,23,15223.0,47.1
2015,1,24,15538.0,43.0
2015,1,25,11797.0,40.6
2015,1,26,3931.5,43.9
2015,1,27,14604.0,43.0
2015,1,28,13791.0,43.9
2015,1,29,12919.0,46.3
2015,1,30,15626.5,46.2
2015,1,31,15190.0,45.5
2015,2,1,13038.0,39.9
2015,2,2,2540.0,49.0
2015,2,3,15223.0,45.0
2015,2,4,14206.5,48.9
2015,2,5,12758.0,51.3
2015,2,6,13357.5,52.9
2015,2,7,12436.0,54.8
2015,2,8,9672.0,56.6
2015,2,9,2484.0,68.9
2015,2,10,13910.0,61.1
2015,2,11,13104.5,81.7
2015,2,12,12595.0,98.3
2015,2,13,14306.0,98.6
2015,2,14,15003.0,93.1
2015,2,15,14796.0,92.4
2015,2,16,13342.0,96.1
2015,2,17,14658.5,99.9
2015,2,18,6063.0,103.0
2015,2,19,6063.0,103.0
2015,2,20,6063.0,103.0
2015,2,21,6063.0,103.0
2015,2,22,109.0,126.7
2015,2,23,3072.2,109.6
2015,2,24,17667.0,77.4
2015,2,25,20366.0,64.5
2015,2,26,21571.0,51.5
2015,2,27,5964.0,56.7
2015,2,28,23448.0,39.8
2015,3,1,14099.0,37.5
2015,3,2,4470.0,48.1
2015,3,3,20536.5,39.1
2015,3,4,19087.0,39.6
2015,3,5,15565.0,42.8
2015,3,6,15886.0,39.8
2015,3,7,5045.0,41.3
2015,3,8,143.0,42.4
2015,3,9,5258.5,41.8
2015,3,10,23910.0,37.5
2015,3,11,19230.5,36.8
2015,3,12,16343.5,40.2
2015,3,13,14808.5,42.3
2015,3,14,15953.0,40.5
2015,3,15,10497.0,39.8
2015,3,16,3470.0,48.0
2015,3,17,13956.0,43.2
2015,3,18,13828.0,46.5
2015,3,19,13584.0,48.0
2015,3,20,13772.5,48.8
2015,3,21,14417.5,45.9
2015,3,22,9670.0,47.5
2015,3,23,3732.5,52.1
2015,3,24,15267.0,49.3
2015,3,25,14463.0,48.6
2015,3,26,14134.0,48.4
2015,3,27,14137.0,47.4
2015,3,28,14897.5,43.4
2015,3,29,10153.0,43.4
2015,3,30,3604.5,53.2
2015,3,31,15540.5,45.3
2015,4,1,14610.0,48.7
2015,4,2,14360.5,47.7
2015,4,3,14722.0,48.3
2015,4,4,16151.0,45.5
2015,4,5,2096.0,37.8
2015,4,6,3000.0,58.7
2015,4,7,13922.0,48.3
2015,4,8,15984.5,50.0
2015,4,9,15232.5,48.2
2015,4,10,15697.0,45.3
2015,4,11,16461.5,47.0
2015,4,12,13644.0,40.3
2015,4,13,3207.0,64.9
2015,4,14,17062.0,45.0
2015,4,15,17834.0,40.2
2015,4,16,16047.0,41.1
2015,4,17,15514.5,38.7
2015,4,18,14792.5,42.3
2015,4,19,11326.0,40.6
2015,4,20,4977.0,42.8
2015,4,21,15684.0,40.8
2015,4,22,13468.0,51.6
2015,4,23,12528.5,54.8
2015,4,24,15280.0,49.4
2015,4,25,17216.0,45.1
2015,4,26,15612.0,38.0
2015,4,27,4413.0,48.5
2015,4,28,17916.0,41.6
2015,4,29,17986.5,40.0
2015,4,30,18272.0,38.2
2015,5,1,16459.0,35.4
2015,5,2,16988.0,36.2
2015,5,3,11393.0,34.2
2015,5,4,4461.5,42.5
2015,5,5,18786.5,36.4
2015,5,6,18421.0,36.4
2015,5,7,16433.0,36.7
2015,5,8,18453.0,39.3
2015,5,9,17468.0,39.9
2015,5,10,13241.0,33.7
2015,5,11,4855.0,33.6
2015,5,12,18527.5,33.1
2015,5,13,17293.0,33.3
2015,5,14,15886.0,33.1
2015,5,15,18622.0,31.6
2015,5,16,18615.5,30.0
2015,5,17,14192.0,32.5
2015,5,18,3659.0,37.2
2015,5,19,17549.0,35.1
2015,5,20,15975.5,39.7
2015,5,21,15331.0,39.4
2015,5,22,11894.0,43.2
2015,5,23,13166.0,44.1
2015,5,24,9983.0,39.8
2015,5,25,4195.0,48.6
2015,5,26,13779.0,45.2
2015,5,27,11143.0,50.4
2015,5,28,11667.0,47.9
2015,5,29,13222.0,48.9
2015,5,30,15311.0,48.2
2015,5,31,13163.0,41.8
2015,6,1,3000.0,64.6
2015,6,2,12817.5,53.2
2015,6,3,15032.0,53.3
2015,6,4,15888.0,52.2
2015,6,5,17255.0,51.6
2015,6,6,17207.0,50.3
2015,6,7,12424.5,47.7
2015,6,8,4077.0,55.8
2015,6,9,15833.0,52.1
2015,6,10,15306.5,53.3
2015,6,11,14837.0,51.2
2015,6,12,14883.0,52.4
2015,6,13,15544.0,52.7
2015,6,14,12307.0,49.9
2015,6,15,3584.0,62.0
2015,6,16,17363.0,51.1
2015,6,17,16853.0,50.2
2015,6,18,14488.0,50.2
2015,6,19,15049.0,53.2
2015,6,20,12913.0,45.5
2015,6,21,12913.0,45.5
2015,6,22,3955.0,57.5
2015,6,23,17144.0,51.5
2015,6,24,15747.0,53.4
2015,6,25,14274.0,53.5
2015,6,26,13217.5,53.6
2015,6,27,14899.0,54.5
2015,6,28,12296.0,49.9
2015,6,29,3647.0,57.7
2015,6,30,16555.5,50.7
2015,7,1,14358.5,53.5
2015,7,2,13951.5,55.0
2015,7,3,13620.5,54.4
2015,7,4,14296.0,57.4
2015,7,5,9917.0,61.2
2015,7,6,3871.5,62.2
2015,7,7,16595.0,72.0
2015,7,8,13998.5,73.4
2015,7,9,13445.5,77.7
2015,7,10,13716.5,79.9
2015,7,11,13240.0,71.8
2015,7,12,11044.0,64.0
2015,7,13,1894.0,125.1
2015,7,14,15524.0,73.4
2015,7,15,13194.0,69.9
2015,7,16,14118.0,71.5
2015,7,17,13296.5,72.6
2015,7,18,19357.0,73.5
2015,7,19,12589.0,62.0
2015,7,20,4214.5,89.7
2015,7,21,15752.0,70.9
2015,7,22,17772.5,65.8
2015,7,23,16226.0,61.5
2015,7,24,16619.0,58.5
2015,7,25,17599.3,56.6
2015,7,26,13696.5,51.4
2015,7,27,4637.5,63.4
2015,7,28,19108.5,49.1
2015,7,29,17389.5,50.6
2015,7,30,14814.5,50.6
2015,7,31,14843.0,50.4
2015,8,1,14374.0,52.5
2015,8,2,11207.0,57.1
2015,8,3,3050.0,52.9
2015,8,4,18290.5,60.1
2015,8,5,17229.5,62.7
2015,8,6,18930.0,63.5
2015,8,7,21725.0,61.4
2015,8,8,11873.5,65.1
2015,8,9,5266.0,67.9
2015,8,10,3302.0,66.4
2015,8,11,13952.5,64.3
2015,8,12,15905.5,58.3
2015,8,13,13910.0,57.2
2015,8,14,13808.5,58.1
2015,8,15,13419.5,57.8
2015,8,16,10744.0,57.6
2015,8,17,3496.5,59.1
2015,8,18,19838.5,56.4
2015,8,19,13759.0,69.8
2015,8,20,14408.0,70.1
2015,8,21,13819.5,68.9
2015,8,22,11395.0,73.3
2015,8,23,9951.0,67.5
2015,8,24,2257.0,68.2
2015,8,25,12626.5,70.6
2015,8,26,12170.5,71.6
2015,8,27,12200.5,70.5
2015,8,28,12892.0,58.3
2015,8,29,1597.0,61.1
2015,8,30,381.0,100.6
2015,8,31,2164.0,74.2
2015,9,1,13395.0,71.9
2015,9,2,14152.0,77.7
2015,9,3,13766.5,72.9
2015,9,4,13393.0,71.0
2015,9,5,12065.0,73.9
2015,9,6,8595.0,76.3
2015,9,7,2176.5,74.7
2015,9,8,10433.0,82.8
2015,9,9,8072.5,84.2
2015,9,10,8992.0,93.7
2015,9,11,8813.0,99.7
2015,9,12,10828.0,96.7
2015,9,13,8480.5,96.4
2015,9,14,1906.0,95.4
2015,9,15,10520.5,97.2
2015,9,16,11219.5,92.2
2015,9,17,9434.0,89.3
2015,9,18,10177.5,90.5
