year,month,day,weight,price
2015,1,1,116.0,206.6
2015,1,2,100.0,178.4
2015,1,3,98.0,203.1
2015,1,4,68.0,184.7
2015,1,5,68.0,184.7
2015,1,6,68.0,184.7
2015,1,7,68.0,177.6
2015,1,8,188.0,216.6
2015,1,9,68.0,169.4
2015,1,10,76.0,185.3
2015,1,11,76.0,170.5
2015,1,12,76.0,170.5
2015,1,13,76.0,167.9
2015,1,14,58.0,161.4
2015,1,15,193.0,243.7
2015,1,16,68.0,170.9
2015,1,17,108.0,187.6
2015,1,18,50.0,164.8
2015,1,19,50.0,164.8
2015,1,20,66.0,164.2
2015,1,21,68.0,152.6
2015,1,22,32.0,212.5
2015,1,23,223.0,227.3
2015,1,24,60.0,158.7
2015,1,25,60.0,174.7
2015,1,26,60.0,174.7
2015,1,27,86.0,213.0
2015,1,28,50.0,208.0
2015,1,29,70.0,237.7
2015,1,30,20.0,210.0
2015,1,31,22.0,218.2
2015,2,1,40.0,207.5
2015,2,2,40.0,207.5
2015,2,3,10.0,200.0
2015,2,4,20.0,200.0
2015,2,5,64.0,210.6
2015,2,6,306.0,225.8
2015,2,7,19.0,210.5
2015,2,8,50.0,218.0
2015,2,9,50.0,218.0
2015,2,10,60.0,213.3
2015,2,11,60.0,213.3
2015,2,12,20.0,200.0
2015,2,13,276.0,226.5
2015,2,14,554.0,221.1
2015,2,15,40.0,215.0
2015,2,16,104.0,225.4
2015,2,17,59.0,223.7
2015,2,18,70.0,221.4
2015,2,19,70.0,221.4
2015,2,20,70.0,221.4
2015,2,21,70.0,221.4
2015,2,22,70.0,221.4
2015,2,23,70.0,221.4
2015,2,24,204.0,222.8
2015,2,25,19.0,210.5
2015,2,26,19.0,210.5
2015,2,27,30.0,220.0
2015,2,28,50.0,220.0
2015,3,1,66.0,220.0
2015,3,2,66.0,220.0
2015,3,3,66.0,236.4
2015,3,4,84.0,224.3
2015,3,5,90.0,223.3
2015,3,6,30.0,220.0
2015,3,7,30.0,220.0
2015,3,8,30.0,220.0
2015,3,9,30.0,220.0
2015,3,10,60.0,225.0
2015,3,11,60.0,225.0
2015,3,12,246.0,227.3
2015,3,13,30.0,220.0
2015,3,14,30.0,220.0
2015,3,15,30.0,220.0
2015,3,16,30.0,220.0
2015,3,17,30.0,220.0
2015,3,18,30.0,220.0
2015,3,19,213.0,216.1
2015,3,20,70.0,220.0
2015,3,21,30.0,220.0
2015,3,22,30.0,220.0
2015,3,23,30.0,220.0
2015,3,24,30.0,220.0
2015,3,25,30.0,220.0
2015,3,26,210.0,220.0
2015,3,27,30.0,220.0
2015,3,28,60.0,220.0
2015,3,29,30.0,220.0
2015,3,30,30.0,220.0
2015,3,31,42.0,220.0
2015,4,1,30.0,220.0
2015,4,2,243.0,208.6
2015,4,3,74.0,221.4
2015,4,4,31.0,217.4
2015,4,5,30.0,220.0
2015,4,6,30.0,220.0
2015,4,7,2.0,150.0
2015,4,8,31.0,217.7
2015,4,9,101.0,211.2
