year,month,day,weight,price
2015,1,1,4426.0,57.6
2015,1,2,3206.0,57.7
2015,1,3,3339.0,58.0
2015,1,4,3004.0,57.6
2015,1,5,3004.0,57.6
2015,1,6,3221.0,61.5
2015,1,7,3344.0,56.3
2015,1,8,2393.0,58.6
2015,1,9,1742.0,56.5
2015,1,10,2027.0,60.9
2015,1,11,2892.0,60.8
2015,1,12,22.5,43.0
2015,1,13,2986.0,58.1
2015,1,14,2282.0,58.2
2015,1,15,1944.0,58.0
2015,1,16,1532.0,55.7
2015,1,17,1649.0,60.5
2015,1,18,2809.0,60.9
2015,1,19,2809.0,60.9
2015,1,20,2250.0,60.0
2015,1,21,1589.0,60.1
2015,1,22,2873.0,52.2
2015,1,23,1046.0,64.8
2015,1,24,1206.0,60.1
2015,1,25,1867.0,63.4
2015,1,26,1867.0,63.4
2015,1,27,1268.0,62.6
2015,1,28,1229.0,60.7
2015,1,29,1205.0,55.4
2015,1,30,720.0,58.4
2015,1,31,774.0,60.5
2015,2,1,1697.0,67.4
2015,2,2,1697.0,67.4
2015,2,3,932.0,62.9
2015,2,4,1585.0,72.3
2015,2,5,788.0,60.1
2015,2,6,564.0,67.2
2015,2,7,840.0,61.3
2015,2,8,882.0,64.4
2015,2,9,882.0,64.4
2015,2,10,1107.0,66.3
2015,2,11,906.0,67.0
2015,2,12,1262.0,68.7
2015,2,13,522.0,67.3
2015,2,14,1000.0,67.4
2015,2,15,783.0,69.7
2015,2,16,1131.0,81.0
2015,2,17,886.0,72.2
2015,2,18,472.0,61.6
2015,2,19,472.0,61.6
2015,2,20,472.0,61.6
2015,2,21,472.0,61.6
2015,2,22,472.0,61.6
2015,2,23,472.0,61.6
2015,2,24,884.0,64.6
2015,2,25,426.0,67.7
2015,2,26,340.0,68.6
2015,2,27,80.0,75.0
2015,2,28,472.0,60.8
2015,3,1,564.0,65.6
2015,3,2,564.0,65.6
2015,3,3,518.0,64.2
2015,3,4,801.0,70.3
2015,3,5,672.0,71.1
2015,3,6,426.0,61.5
2015,3,7,426.0,61.5
2015,3,8,426.0,61.5
2015,3,9,426.0,61.5
2015,3,10,260.0,72.5
2015,3,11,706.0,70.1
2015,3,12,459.0,69.0
2015,3,13,269.0,73.8
2015,3,14,366.0,68.5
2015,3,15,692.0,69.9
2015,3,16,692.0,69.9
2015,3,17,392.0,68.3
2015,3,18,493.0,64.0
2015,3,19,210.0,73.4
2015,3,20,343.0,70.1
2015,3,21,378.0,67.8
2015,3,22,450.0,66.8
2015,3,23,450.0,66.8
2015,3,24,402.0,67.2
2015,3,25,252.0,70.5
2015,3,26,278.0,70.3
2015,3,27,288.0,71.2
