year,month,day,weight,price
2015,1,1,599035.5,13.6
2015,1,2,577048.0,15.1
2015,1,3,661903.5,16.1
2015,1,4,437032.0,17.5
2015,1,5,256098.5,14.1
2015,1,6,702291.0,15.7
2015,1,7,657134.0,15.0
2015,1,8,553366.0,15.3
2015,1,9,607471.0,14.8
2015,1,10,648413.0,15.4
2015,1,11,438325.0,16.8
2015,1,12,238290.0,13.1
2015,1,13,624270.6,16.1
2015,1,14,646748.0,15.1
2015,1,15,580439.0,15.1
2015,1,16,694909.0,13.9
2015,1,17,732237.0,12.7
2015,1,18,483474.0,12.8
2015,1,19,240519.0,10.6
2015,1,20,717415.0,12.4
2015,1,21,719253.0,11.0
2015,1,22,747964.0,9.5
2015,1,23,773977.5,8.2
2015,1,24,716910.5,8.6
2015,1,25,419644.0,9.7
2015,1,26,250213.5,7.5
2015,1,27,683637.0,9.0
2015,1,28,701016.0,8.4
2015,1,29,755269.0,7.6
2015,1,30,751854.0,7.1
2015,1,31,836637.0,6.2
2015,2,1,554307.0,6.8
2015,2,2,301380.0,5.4
2015,2,3,855558.0,6.5
2015,2,4,805234.0,6.0
2015,2,5,791389.5,5.6
2015,2,6,784656.0,5.4
2015,2,7,792798.0,5.5
2015,2,8,413008.0,7.3
2015,2,9,303344.0,4.5
2015,2,10,753696.0,7.1
2015,2,11,805087.0,7.0
2015,2,12,857495.0,6.6
2015,2,13,927493.0,6.0
2015,2,14,895515.0,6.3
2015,2,15,906203.0,6.3
2015,2,16,983826.5,6.3
2015,2,17,893537.0,8.4
2015,2,18,331381.0,8.2
2015,2,19,331381.0,8.2
2015,2,20,13690.0,5.7
2015,2,21,6410.0,7.0
2015,2,22,35328.0,9.3
2015,2,23,265415.0,5.6
2015,2,24,794655.0,6.2
2015,2,25,815346.0,6.0
2015,2,26,861706.0,5.9
2015,2,27,397980.0,5.7
2015,2,28,816491.0,5.9
2015,3,1,580370.0,6.0
2015,3,2,310481.0,4.9
2015,3,3,909245.0,5.4
2015,3,4,835790.0,5.6
2015,3,5,788623.0,5.9
2015,3,6,820437.0,5.6
2015,3,7,351292.0,5.1
2015,3,8,88299.0,5.0
2015,3,9,325040.0,5.0
2015,3,10,812315.0,6.3
2015,3,11,852742.0,5.5
2015,3,12,870116.0,5.1
2015,3,13,850590.0,5.2
2015,3,14,959174.0,4.6
2015,3,15,611478.0,4.6
2015,3,16,331142.0,4.1
2015,3,17,783309.5,5.2
2015,3,18,826332.0,4.7
2015,3,19,856462.0,4.4
2015,3,20,822187.5,4.3
2015,3,21,834526.0,4.2
2015,3,22,512467.0,4.7
2015,3,23,378059.0,4.1
2015,3,24,712721.5,5.8
2015,3,25,690917.0,6.1
2015,3,26,683275.0,6.6
2015,3,27,694154.5,7.7
2015,3,28,702670.0,8.1
2015,3,29,411037.0,11.6
2015,3,30,237979.0,9.0
2015,3,31,781433.5,9.9
2015,4,1,757051.0,9.3
2015,4,2,702445.0,9.4
2015,4,3,840380.0,8.6
2015,4,4,800132.0,8.5
2015,4,5,134126.0,10.6
2015,4,6,238139.0,8.9
2015,4,7,588557.5,9.6
2015,4,8,552127.0,11.6
2015,4,9,582031.0,11.7
2015,4,10,599587.0,12.4
2015,4,11,598216.0,15.3
2015,4,12,387307.0,17.4
2015,4,13,241248.0,13.9
2015,4,14,643543.0,16.2
2015,4,15,667705.0,14.5
2015,4,16,637204.0,14.7
2015,4,17,632885.5,15.4
2015,4,18,713914.0,14.3
2015,4,19,472873.0,13.3
2015,4,20,270692.0,13.8
2015,4,21,637478.0,14.0
2015,4,22,542355.5,15.3
2015,4,23,545612.5,15.8
2015,4,24,654235.0,14.7
2015,4,25,647342.0,14.7
2015,4,26,425420.0,15.9
2015,4,27,231523.0,14.5
2015,4,28,625630.0,15.6
2015,4,29,592249.0,15.0
2015,4,30,551534.0,14.9
2015,5,1,555437.0,15.0
2015,5,2,594998.0,15.0
2015,5,3,310625.0,17.6
2015,5,4,233310.5,14.3
2015,5,5,545501.0,16.7
2015,5,6,538917.0,16.5
2015,5,7,492271.0,18.2
2015,5,8,598389.5,17.5
2015,5,9,606984.0,17.8
2015,5,10,399203.0,18.5
2015,5,11,213534.0,16.8
2015,5,12,659151.5,16.4
2015,5,13,613281.0,16.1
2015,5,14,676416.0,14.1
2015,5,15,705135.0,12.1
2015,5,16,649785.0,12.0
2015,5,17,363241.0,13.9
2015,5,18,272045.0,12.1
2015,5,19,667886.0,14.6
2015,5,20,643430.0,16.2
2015,5,21,645421.0,16.0
2015,5,22,675055.0,14.6
2015,5,23,704147.0,14.4
2015,5,24,511616.0,12.3
2015,5,25,298071.0,13.3
2015,5,26,776755.0,13.1
2015,5,27,787917.0,12.4
2015,5,28,764541.0,11.4
2015,5,29,768234.0,11.5
2015,5,30,766369.0,11.8
2015,5,31,410304.0,15.2
2015,6,1,268019.0,12.9
2015,6,2,681685.0,16.0
2015,6,3,753660.0,14.8
2015,6,4,717157.0,14.8
2015,6,5,759039.0,14.4
2015,6,6,800949.0,13.7
2015,6,7,455695.0,15.3
2015,6,8,288448.0,13.8
2015,6,9,788824.0,14.5
2015,6,10,770127.0,13.6
2015,6,11,806529.0,12.9
2015,6,12,741867.0,13.1
2015,6,13,705014.0,13.6
2015,6,14,403201.0,15.4
2015,6,15,302672.0,14.2
2015,6,16,693366.0,15.4
2015,6,17,738491.0,14.1
2015,6,18,710764.0,13.9
2015,6,19,690379.0,15.3
2015,6,20,410060.0,16.8
2015,6,21,2380.0,14.0
2015,6,22,258936.0,18.4
2015,6,23,637421.0,17.5
2015,6,24,609451.0,17.1
2015,6,25,567052.5,17.7
2015,6,26,609386.0,17.4
2015,6,27,678430.5,17.2
2015,6,28,415305.0,18.2
2015,6,29,282601.0,16.0
2015,6,30,778738.0,16.0
2015,7,1,727559.5,14.9
2015,7,2,680631.0,14.3
2015,7,3,641928.0,15.3
2015,7,4,686984.0,18.5
2015,7,5,375285.0,22.5
2015,7,6,305817.0,21.6
2015,7,7,893384.0,21.5
2015,7,8,919553.0,17.2
2015,7,9,737513.0,17.3
2015,7,10,709569.0,18.2
2015,7,11,719432.5,17.6
2015,7,12,355629.0,18.1
2015,7,13,277533.0,16.8
2015,7,14,784884.0,15.4
2015,7,15,700597.0,15.2
2015,7,16,644139.0,14.4
2015,7,17,632612.0,15.2
2015,7,18,687244.0,15.0
2015,7,19,383797.0,16.2
2015,7,20,244640.5,18.1
2015,7,21,572965.0,18.4
2015,7,22,595481.0,18.3
2015,7,23,621074.0,18.4
2015,7,24,568688.0,18.5
2015,7,25,683239.0,17.9
2015,7,26,457429.0,17.6
2015,7,27,229861.5,18.8
2015,7,28,691831.5,17.5
2015,7,29,708239.0,16.5
2015,7,30,637616.5,17.3
2015,7,31,610342.0,18.5
2015,8,1,671172.0,18.3
2015,8,2,379181.0,19.8
2015,8,3,222994.0,19.4
2015,8,4,605164.0,21.6
2015,8,5,548456.0,29.1
2015,8,6,729829.5,28.8
2015,8,7,800490.5,26.4
2015,8,8,357345.0,24.6
2015,8,9,185256.0,24.4
2015,8,10,121854.0,33.0
2015,8,11,547860.5,26.1
2015,8,12,645598.5,23.0
2015,8,13,587357.0,22.2
2015,8,14,560608.0,22.4
2015,8,15,569437.0,24.2
2015,8,16,406624.0,24.4
2015,8,17,249827.0,25.9
2015,8,18,702667.0,24.7
2015,8,19,678341.5,24.8
2015,8,20,692488.0,25.0
2015,8,21,726296.5,24.6
2015,8,22,712424.0,25.7
2015,8,23,386897.0,25.7
2015,8,24,242691.0,29.6
2015,8,25,644620.0,27.5
2015,8,26,626301.0,28.4
2015,8,27,671858.0,30.3
2015,8,28,486134.0,34.5
2015,8,29,151813.0,30.4
2015,8,30,8344.5,41.5
2015,8,31,246666.5,33.4
2015,9,1,772851.5,30.8
2015,9,2,686399.0,30.7
2015,9,3,665354.5,30.1
2015,9,4,709058.0,29.4
2015,9,5,751102.0,28.4
2015,9,6,494473.0,25.6
2015,9,7,245230.5,32.6
2015,9,8,603878.0,31.1
2015,9,9,592911.5,31.8
2015,9,10,535097.0,34.2
2015,9,11,544717.0,34.8
2015,9,12,559536.0,36.3
2015,9,13,365395.0,33.9
2015,9,14,197762.0,40.7
2015,9,15,494458.0,39.5
2015,9,16,481412.5,39.1
2015,9,17,530459.0,36.5
2015,9,18,485461.0,36.9
2015,9,19,501671.0,35.7
2015,9,20,252156.0,37.9
2015,9,21,162846.5,43.0
2015,9,22,475776.0,39.1
2015,9,23,468613.5,37.0
2015,9,24,476721.0,33.4
2015,9,25,516977.0,31.9
2015,9,26,570478.5,31.5
2015,9,27,298100.0,36.1
2015,9,28,102716.0,36.3
2015,9,29,16895.0,47.0
2015,9,30,321100.0,42.1
2015,10,1,408375.5,38.9
2015,10,2,441840.0,39.2
2015,10,3,589362.5,35.8
2015,10,4,359526.0,33.4
2015,10,5,186399.0,44.3
2015,10,6,536336.0,37.2
2015,10,7,496296.0,38.3
2015,10,8,483065.0,38.6
2015,10,9,509827.0,36.7
2015,10,10,490783.5,39.7
2015,10,11,370563.0,38.5
2015,10,12,167754.0,43.6
2015,10,13,517620.0,42.4
