year,month,day,weight,price
2015,1,1,56744.0,24.2
2015,1,2,53402.0,23.8
2015,1,3,59950.0,23.2
2015,1,4,43003.0,25.5
2015,1,5,18947.0,20.4
2015,1,6,56611.0,25.6
2015,1,7,62936.0,24.5
2015,1,8,75877.0,22.1
2015,1,9,73029.0,20.0
2015,1,10,82363.0,17.6
2015,1,11,54562.0,17.0
2015,1,12,24812.0,16.3
2015,1,13,77845.0,17.5
2015,1,14,79284.0,15.4
2015,1,15,84212.0,13.9
2015,1,16,93443.0,12.2
2015,1,17,96598.0,11.1
2015,1,18,60256.0,11.6
2015,1,19,34498.0,9.6
2015,1,20,95173.0,11.3
2015,1,21,90340.0,10.8
2015,1,22,87793.0,10.7
2015,1,23,85382.0,10.2
2015,1,24,89192.0,9.8
2015,1,25,60759.0,10.0
2015,1,26,34287.0,8.7
2015,1,27,93045.0,9.8
2015,1,28,96299.0,8.6
2015,1,29,92370.0,8.5
2015,1,30,84015.0,8.7
2015,1,31,85585.0,8.5
2015,2,1,57450.0,9.3
2015,2,2,33349.0,7.6
2015,2,3,84749.0,9.8
2015,2,4,84391.0,9.9
2015,2,5,79279.0,9.8
2015,2,6,81067.0,9.6
2015,2,7,81208.0,9.8
2015,2,8,56129.0,10.7
2015,2,9,29985.0,8.4
2015,2,10,86011.0,10.5
2015,2,11,81578.0,10.8
2015,2,12,72252.0,12.2
2015,2,13,78017.0,11.4
2015,2,14,72204.0,12.0
2015,2,15,59746.0,12.8
2015,2,16,70222.0,13.3
2015,2,17,69942.0,16.4
2015,2,18,29540.0,13.8
2015,2,19,29540.0,13.8
2015,2,20,29540.0,13.8
2015,2,21,29540.0,13.8
2015,2,22,29540.0,13.8
2015,2,23,17097.0,18.8
2015,2,24,73411.0,14.9
2015,2,25,83988.0,14.0
2015,2,26,83422.0,14.8
2015,2,27,31032.0,16.9
2015,2,28,92975.0,12.0
2015,3,1,60094.0,12.0
2015,3,2,26458.0,12.9
2015,3,3,91831.0,12.0
2015,3,4,91352.0,11.5
2015,3,5,97945.0,11.8
2015,3,6,85296.0,14.8
2015,3,7,23988.0,15.1
2015,3,8,868.0,25.0
2015,3,9,20258.0,17.6
2015,3,10,96754.0,14.8
2015,3,11,88632.0,14.5
2015,3,12,91497.0,11.4
2015,3,13,83880.0,12.1
2015,3,14,93829.0,11.2
2015,3,15,70178.0,11.0
2015,3,16,28959.0,12.1
2015,3,17,96051.0,11.5
2015,3,18,98501.0,10.0
2015,3,19,88594.0,9.7
2015,3,20,85274.0,10.0
2015,3,21,88786.0,10.2
2015,3,22,58704.0,10.5
2015,3,23,31231.0,10.6
2015,3,24,81016.0,13.1
2015,3,25,85229.0,12.9
2015,3,26,69863.0,15.3
2015,3,27,70346.0,16.3
2015,3,28,60951.0,19.8
2015,3,29,47397.0,22.9
