year,month,day,weight,price
2015,1,1,310446.0,12.9
2015,1,2,276617.0,13.9
2015,1,3,310211.0,13.6
2015,1,4,243527.0,13.3
2015,1,5,107696.0,11.2
2015,1,6,319240.0,13.0
2015,1,7,309706.0,12.1
2015,1,8,318932.0,11.2
2015,1,9,324797.0,10.8
2015,1,10,357349.0,10.2
2015,1,11,242390.0,10.3
2015,1,12,136468.0,8.4
2015,1,13,347086.0,9.9
2015,1,14,348102.0,9.3
2015,1,15,316084.0,9.3
2015,1,16,339324.0,8.7
2015,1,17,384226.0,8.0
2015,1,18,243899.0,7.8
2015,1,19,132773.0,6.7
2015,1,20,429105.0,7.2
2015,1,21,353548.0,7.0
2015,1,22,328499.0,7.2
2015,1,23,366985.0,7.1
2015,1,24,416241.5,6.6
2015,1,25,263838.0,6.2
2015,1,26,156882.0,5.4
2015,1,27,383391.0,6.8
2015,1,28,379118.0,6.2
2015,1,29,393248.0,5.8
2015,1,30,386569.0,5.8
2015,1,31,424919.0,5.1
2015,2,1,256985.0,6.1
2015,2,2,161245.0,3.4
2015,2,3,410791.0,5.4
2015,2,4,409400.0,5.1
2015,2,5,391375.0,4.8
2015,2,6,370504.0,4.9
2015,2,7,407902.0,5.0
2015,2,8,245249.0,6.2
2015,2,9,160355.0,3.4
2015,2,10,398376.0,6.3
2015,2,11,398627.0,6.6
2015,2,12,437807.0,6.8
2015,2,13,468676.0,6.2
2015,2,14,504915.0,6.2
2015,2,15,523017.0,6.6
2015,2,16,623498.0,6.5
2015,2,17,488735.0,10.1
2015,2,18,198946.0,11.1
2015,2,19,198946.0,11.1
2015,2,20,10280.0,7.5
2015,2,21,3920.0,7.0
2015,2,22,14083.0,10.3
2015,2,23,101386.0,6.9
2015,2,24,370738.0,6.9
2015,2,25,405246.0,6.6
2015,2,26,464181.0,5.6
2015,2,27,179754.0,5.4
2015,2,28,419259.0,5.5
2015,3,1,308592.5,5.5
2015,3,2,146499.0,4.4
2015,3,3,433820.0,5.2
2015,3,4,400883.0,5.4
2015,3,5,374955.0,5.5
2015,3,6,340656.0,5.9
2015,3,7,170024.0,4.4
2015,3,8,8958.0,7.7
2015,3,9,150657.0,4.6
2015,3,10,337348.5,7.2
2015,3,11,345557.0,6.9
2015,3,12,323620.0,7.0
2015,3,13,305693.0,7.2
2015,3,14,333070.0,6.8
2015,3,15,183478.0,7.6
2015,3,16,116542.0,6.6
2015,3,17,289535.0,7.6
2015,3,18,322188.0,7.0
2015,3,19,289688.0,7.3
2015,3,20,313021.0,7.0
2015,3,21,307115.0,7.1
2015,3,22,140564.0,9.5
2015,3,23,121114.5,5.7
2015,3,24,272577.0,8.6
2015,3,25,262751.0,9.1
2015,3,26,231361.0,9.5
2015,3,27,234928.5,9.9
2015,3,28,224185.0,10.4
