year,month,day,weight,price
2015,1,1,70460.0,23.4
2015,1,2,68673.0,22.2
2015,1,3,69601.0,22.3
2015,1,4,49453.0,23.8
2015,1,5,22597.0,23.5
2015,1,6,77652.0,23.9
2015,1,7,86180.0,21.2
2015,1,8,80445.0,19.4
2015,1,9,76502.0,18.1
2015,1,10,77771.0,16.9
2015,1,11,55612.0,15.4
2015,1,12,29728.0,16.0
2015,1,13,81357.0,15.3
2015,1,14,75255.0,13.7
2015,1,15,74642.0,13.0
2015,1,16,77429.0,12.1
2015,1,17,81982.0,11.0
2015,1,18,47874.0,12.2
2015,1,19,28504.0,9.5
2015,1,20,73142.0,11.7
2015,1,21,70836.0,11.1
2015,1,22,66937.0,11.0
2015,1,23,71801.0,9.5
2015,1,24,74814.0,9.6
2015,1,25,54293.0,10.1
2015,1,26,27449.0,7.9
2015,1,27,74109.0,10.4
2015,1,28,80129.0,8.5
2015,1,29,74889.0,8.7
2015,1,30,64012.0,9.2
2015,1,31,60682.0,10.3
2015,2,1,45042.0,11.1
2015,2,2,25097.0,7.5
2015,2,3,61721.0,10.2
2015,2,4,57569.0,10.6
2015,2,5,57478.0,10.4
2015,2,6,59171.0,10.5
2015,2,7,70140.0,10.7
2015,2,8,48188.0,12.3
2015,2,9,22748.0,7.6
2015,2,10,72791.0,10.8
2015,2,11,64943.0,11.2
2015,2,12,63876.0,11.3
2015,2,13,61276.0,11.0
2015,2,14,67714.0,11.3
2015,2,15,67456.0,11.3
2015,2,16,65796.0,14.2
2015,2,17,71075.0,18.6
2015,2,18,40538.0,20.3
2015,2,19,40538.0,20.3
2015,2,20,40538.0,20.3
2015,2,21,40538.0,20.3
2015,2,22,40538.0,20.3
2015,2,23,17690.0,16.8
2015,2,24,54192.0,17.6
2015,2,25,64606.0,17.0
2015,2,26,57943.0,18.1
2015,2,27,26564.0,16.1
2015,2,28,65831.0,15.9
2015,3,1,43818.0,15.6
2015,3,2,20163.0,14.0
2015,3,3,70134.0,15.7
2015,3,4,61241.0,15.1
2015,3,5,63485.0,17.3
2015,3,6,57473.0,20.7
2015,3,7,16664.0,19.1
2015,3,8,740.0,26.0
2015,3,9,13191.0,23.5
2015,3,10,74148.0,20.3
2015,3,11,61275.0,19.7
2015,3,12,59950.0,16.9
2015,3,13,56929.0,16.6
2015,3,14,61114.0,16.2
2015,3,15,51941.0,15.6
2015,3,16,21928.0,16.3
2015,3,17,75323.0,14.8
2015,3,18,71535.0,12.6
2015,3,19,73425.0,11.2
2015,3,20,63706.0,10.5
2015,3,21,59235.0,11.1
2015,3,22,37576.0,13.1
2015,3,23,23554.0,9.7
2015,3,24,64508.0,14.8
2015,3,25,55013.0,16.4
2015,3,26,48021.0,19.3
2015,3,27,44637.0,21.4
2015,3,28,46409.0,25.1
2015,3,29,33636.0,28.8
2015,3,30,15851.0,23.2
2015,3,31,58753.0,26.5
2015,4,1,63362.0,25.2
2015,4,2,54718.0,23.5
2015,4,3,53255.0,21.9
2015,4,4,55900.0,23.1
2015,4,5,8209.0,28.6
2015,4,6,19450.0,19.0
2015,4,7,63101.0,21.6
2015,4,8,76909.0,19.7
2015,4,9,73343.0,18.0
2015,4,10,69358.0,16.5
2015,4,11,75972.0,15.7
2015,4,12,40267.0,20.5
2015,4,13,23835.0,14.0
2015,4,14,86842.0,17.2
2015,4,15,77359.0,16.2
2015,4,16,67975.0,17.4
2015,4,17,69859.0,17.8
2015,4,18,77377.0,17.2
2015,4,19,41711.0,19.8
2015,4,20,24150.0,14.2
2015,4,21,63590.0,19.0
2015,4,22,60888.0,19.5
2015,4,23,73923.0,16.3
2015,4,24,74981.0,13.7
2015,4,25,80208.0,11.8
2015,4,26,53474.0,11.0
2015,4,27,25509.0,10.7
2015,4,28,87500.0,10.9
2015,4,29,73319.0,11.0
2015,4,30,75247.0,11.0
2015,5,1,80862.0,11.3
2015,5,2,74745.0,11.0
2015,5,3,48107.0,13.6
2015,5,4,26130.0,9.7
2015,5,5,83018.0,11.6
2015,5,6,73413.0,10.4
2015,5,7,85901.0,10.2
2015,5,8,74604.0,10.2
2015,5,9,74224.0,10.9
2015,5,10,49367.0,12.7
2015,5,11,27625.0,7.5
2015,5,12,84019.0,10.8
2015,5,13,67331.0,11.4
2015,5,14,76763.0,9.7
2015,5,15,75090.0,9.2
2015,5,16,72686.0,9.0
2015,5,17,44645.0,11.4
2015,5,18,26708.0,7.5
2015,5,19,67142.0,13.9
2015,5,20,54532.0,18.7
2015,5,21,46365.0,23.9
2015,5,22,57818.0,22.1
2015,5,23,65612.0,18.5
2015,5,24,45397.0,17.7
2015,5,25,21441.0,23.4
2015,5,26,58558.0,24.0
2015,5,27,39886.0,28.2
2015,5,28,34378.0,35.2
2015,5,29,33521.0,42.1
2015,5,30,37457.0,44.7
2015,5,31,23413.0,50.1
2015,6,1,8948.0,55.5
2015,6,2,31159.0,56.7
2015,6,3,32921.0,55.6
2015,6,4,35604.0,51.3
2015,6,5,37077.0,46.0
2015,6,6,44293.0,42.5
2015,6,7,28270.0,46.6
2015,6,8,14633.0,39.2
2015,6,9,56786.0,39.8
2015,6,10,52854.0,37.8
2015,6,11,52903.0,32.3
2015,6,12,52268.0,30.8
2015,6,13,50643.0,31.8
2015,6,14,25310.0,39.8
2015,6,15,20595.0,28.4
2015,6,16,49179.0,34.8
2015,6,17,49715.0,31.0
2015,6,18,58213.0,23.9
2015,6,19,63539.0,17.5
2015,6,20,42160.0,18.5
2015,6,21,42160.0,18.5
2015,6,22,25117.0,14.1
2015,6,23,84221.0,13.6
2015,6,24,77190.0,11.4
2015,6,25,65784.0,10.7
2015,6,26,56729.0,12.3
2015,6,27,56847.0,13.3
2015,6,28,33050.0,18.7
2015,6,29,20374.0,16.1
2015,6,30,64590.0,18.5
2015,7,1,51893.0,19.2
2015,7,2,50598.0,20.2
2015,7,3,51343.0,19.7
2015,7,4,51412.0,20.9
2015,7,5,37165.0,25.9
2015,7,6,22350.0,18.1
2015,7,7,67022.0,27.6
2015,7,8,59396.0,25.0
2015,7,9,56289.0,24.5
2015,7,10,69942.0,17.9
2015,7,11,68041.0,16.7
2015,7,12,44324.0,15.8
2015,7,13,24830.0,17.1
2015,7,14,69637.0,16.6
2015,7,15,59451.0,16.9
2015,7,16,60151.0,17.9
2015,7,17,57971.0,17.9
2015,7,18,63097.0,17.7
2015,7,19,47808.0,18.3
2015,7,20,19704.0,18.8
2015,7,21,69493.0,19.5
2015,7,22,84101.0,15.6
2015,7,23,72730.0,15.4
2015,7,24,85444.0,12.1
2015,7,25,76387.0,12.5
2015,7,26,49497.0,14.3
2015,7,27,25894.0,14.0
2015,7,28,78031.0,15.4
2015,7,29,69305.0,15.7
2015,7,30,71735.0,15.0
2015,7,31,73829.0,13.9
2015,8,1,83810.0,12.8
2015,8,2,57518.0,13.4
2015,8,3,28378.0,11.9
2015,8,4,86391.0,14.6
2015,8,5,81757.0,18.0
2015,8,6,99590.0,22.8
2015,8,7,116562.0,20.2
2015,8,8,54665.0,16.1
2015,8,9,10361.0,32.5
2015,8,10,17837.0,40.8
2015,8,11,63249.0,33.3
2015,8,12,68417.0,28.8
2015,8,13,57968.0,29.7
2015,8,14,51102.0,34.3
2015,8,15,51058.0,37.3
2015,8,16,36001.0,37.6
2015,8,17,19324.0,37.4
2015,8,18,66909.0,36.7
2015,8,19,61432.0,35.5
2015,8,20,62559.0,35.1
2015,8,21,57138.0,38.3
2015,8,22,50152.0,44.0
2015,8,23,29938.0,50.6
2015,8,24,18447.0,54.6
2015,8,25,41918.0,57.4
2015,8,26,42709.0,56.7
2015,8,27,44720.0,60.0
2015,8,28,33092.0,62.6
2015,8,29,12060.0,56.3
2015,8,30,12060.0,56.3
2015,8,31,14546.0,64.1
2015,9,1,34756.0,72.8
2015,9,2,22631.0,78.8
2015,9,3,19050.0,94.5
2015,9,4,17396.0,113.1
2015,9,5,20810.0,111.0
2015,9,6,12757.0,120.5
2015,9,7,8637.0,91.7
2015,9,8,31707.0,92.1
2015,9,9,39407.0,71.6
2015,9,10,46008.0,58.2
2015,9,11,52549.0,50.7
2015,9,12,48705.0,51.1
2015,9,13,35025.0,57.5
2015,9,14,16957.0,46.3
2015,9,15,62426.0,46.7
2015,9,16,67371.0,39.0
2015,9,17,70605.0,31.5
2015,9,18,71603.0,27.0
2015,9,19,65772.0,26.3
2015,9,20,46086.0,27.2
2015,9,21,25240.0,17.2
2015,9,22,77575.0,21.9
2015,9,23,75028.0,18.1
2015,9,24,71192.0,15.9
2015,9,25,72952.0,14.8
2015,9,26,76262.0,14.7
2015,9,27,67880.0,20.6
2015,9,28,20438.0,17.0
2015,9,29,20438.0,17.0
2015,9,30,49795.0,28.2
2015,10,1,63340.0,22.7
2015,10,2,65419.0,22.6
2015,10,3,55951.0,24.6
2015,10,4,34073.0,34.0
2015,10,5,23313.0,19.3
2015,10,6,58910.0,35.5
2015,10,7,45240.0,38.4
2015,10,8,46763.0,42.7
2015,10,9,52040.0,43.3
2015,10,10,52591.0,41.9
2015,10,11,35077.0,48.5
2015,10,12,20801.0,32.4
2015,10,13,55898.0,47.1
2015,10,14,45890.0,51.9
2015,10,15,45359.0,56.8
2015,10,16,44545.0,61.7
2015,10,17,45989.0,65.3
2015,10,18,34717.0,65.4
2015,10,19,17281.0,57.1
2015,10,20,72587.0,54.2
2015,10,21,77574.0,42.1
2015,10,22,81915.0,32.5
2015,10,23,82398.0,25.6
2015,10,24,86429.0,22.6
2015,10,25,53386.0,25.2
2015,10,26,30188.0,22.2
2015,10,27,66116.0,30.9
2015,10,28,53599.0,38.7
2015,10,29,57057.0,41.3
2015,10,30,57251.0,41.6
2015,10,31,52746.0,41.9
2015,11,1,38950.0,43.3
2015,11,2,21474.0,29.6
2015,11,3,75726.0,37.1
2015,11,4,78776.0,30.5
2015,11,5,86612.0,26.3
2015,11,6,81434.0,24.2
2015,11,7,80273.0,22.4
2015,11,8,65467.0,19.5
2015,11,9,26914.0,19.5
2015,11,10,88781.0,18.2
2015,11,11,79305.0,18.1
2015,11,12,78147.0,16.7
2015,11,13,78002.0,15.2
2015,11,14,92066.0,13.3
2015,11,15,63946.0,12.2
2015,11,16,28899.0,11.9
2015,11,17,105440.0,11.2
2015,11,18,96276.0,10.4
2015,11,19,80152.0,10.8
2015,11,20,80478.0,10.9
2015,11,21,65191.0,14.0
2015,11,22,47190.0,18.9
2015,11,23,21099.0,15.9
2015,11,24,79228.0,19.0
2015,11,25,70848.0,19.9
2015,11,26,75267.0,19.0
2015,11,27,72080.0,20.3
2015,11,28,70635.0,21.4
2015,11,29,54577.0,22.6
2015,11,30,22957.0,23.5
2015,12,1,86446.0,22.7
2015,12,2,110708.0,17.3
2015,12,3,122212.0,13.5
2015,12,4,99766.0,12.2
2015,12,5,92932.0,12.6
2015,12,6,51177.0,13.3
2015,12,7,30261.0,13.9
2015,12,8,88094.0,13.9
2015,12,9,70607.0,15.7
2015,12,10,69358.0,15.6
2015,12,11,61406.0,19.1
2015,12,12,87425.0,13.3
2015,12,13,60272.0,12.7
2015,12,14,20564.0,17.2
2015,12,15,69066.0,15.9
2015,12,16,68882.0,16.5
2015,12,17,64916.0,17.5
2015,12,18,55819.0,18.2
2015,12,19,59154.0,19.3
2015,12,20,54982.0,17.3
2015,12,21,19079.0,23.6
2015,12,22,80576.0,18.1
2015,12,23,77425.0,15.9
2015,12,24,78817.0,14.3
2015,12,25,71387.0,14.1
2015,12,26,69829.0,14.3
2015,12,27,49935.0,13.4
2015,12,28,26969.0,15.7
2015,12,29,69577.0,15.3
2015,12,30,59853.0,15.9
2015,12,31,64233.0,15.3
2016,1,1,65681.0,15.2
2016,1,2,69006.0,15.6
2016,1,3,37222.0,17.9
2016,1,4,23316.0,15.7
2016,1,5,72587.0,16.2
2016,1,6,75833.0,14.4
2016,1,7,56483.0,17.5
2016,1,8,60616.0,16.5
2016,1,9,54725.0,18.3
2016,1,10,38556.0,18.8
2016,1,11,18817.0,18.6
2016,1,12,45492.0,25.0
2016,1,13,53233.0,24.0
2016,1,14,51336.0,25.6
2016,1,15,48708.0,26.0
2016,1,16,40439.0,30.2
2016,1,17,35564.0,27.7
2016,1,18,14798.0,30.6
2016,1,19,46892.0,33.3
2016,1,20,45285.0,33.4
2016,1,21,41383.0,35.5
2016,1,22,38333.0,39.0
2016,1,23,30119.0,40.3
2016,1,24,26059.0,48.2
2016,1,25,11549.0,55.5
2016,1,26,39892.0,56.4
2016,1,27,51635.0,49.9
2016,1,28,58112.0,42.4
2016,1,29,46607.0,45.9
2016,1,30,53018.0,44.1
2016,1,31,41755.0,38.1
2016,2,1,47872.0,35.0
2016,2,2,52660.0,34.5
2016,2,3,45579.0,39.2
2016,2,4,56833.0,42.0
2016,2,5,56589.0,46.9
2016,2,6,60017.0,59.0
2016,2,7,29286.0,65.3
2016,2,8,29286.0,65.3
2016,2,9,29286.0,65.3
2016,2,10,29286.0,65.3
2016,2,11,29286.0,65.3
2016,2,12,14820.0,51.6
2016,2,13,66914.0,51.4
2016,2,14,53952.0,54.6
2016,2,15,22712.0,47.5
2016,2,16,23617.0,49.4
2016,2,17,59144.0,54.8
2016,2,18,41023.0,62.1
2016,2,19,39310.0,64.1
2016,2,20,41388.0,69.9
2016,2,21,32813.0,76.9
2016,2,22,11657.0,59.8
2016,2,23,17836.0,55.7
2016,2,24,22803.0,42.9
2016,2,25,79060.0,50.6
2016,2,26,74663.0,40.9
2016,2,27,75013.0,35.1
2016,2,28,43800.0,36.0
2016,2,29,27137.0,24.7
