year,month,day,weight,price
2015,1,1,18680.0,48.6
2015,1,2,19498.0,49.4
2015,1,3,19490.0,48.2
2015,1,4,13742.0,51.9
2015,1,5,5612.0,55.4
2015,1,6,22859.0,46.3
2015,1,7,17927.0,47.1
2015,1,8,20512.0,41.8
2015,1,9,20056.0,40.9
2015,1,10,19429.0,39.1
2015,1,11,16670.0,33.2
2015,1,12,7197.0,37.6
2015,1,13,25388.0,31.7
2015,1,14,22932.0,30.9
2015,1,15,28556.0,26.7
2015,1,16,23432.0,27.1
2015,1,17,35556.0,29.5
2015,1,18,16839.0,30.2
2015,1,19,9639.0,25.0
2015,1,20,30475.0,27.0
2015,1,21,25271.0,27.6
2015,1,22,22230.0,27.1
2015,1,23,27576.0,24.2
2015,1,24,24431.0,25.9
2015,1,25,17597.0,26.0
2015,1,26,13143.0,22.6
2015,1,27,35728.0,23.7
2015,1,28,24177.0,24.2
2015,1,29,29856.0,21.6
2015,1,30,31904.0,20.8
2015,1,31,31589.0,20.8
2015,2,1,20047.0,22.8
2015,2,2,11568.0,21.5
2015,2,3,28731.0,22.9
2015,2,4,33215.0,20.4
2015,2,5,24661.0,22.3
2015,2,6,33163.0,19.7
2015,2,7,38852.0,19.2
2015,2,8,20902.0,20.2
2015,2,9,6195.0,31.6
2015,2,10,31316.0,23.6
2015,2,11,17724.0,32.3
2015,2,12,18891.0,31.9
2015,2,13,19904.0,33.8
2015,2,14,25518.0,31.3
2015,2,15,27087.0,41.9
2015,2,16,31058.0,33.0
2015,2,17,32087.0,35.7
2015,2,18,17149.0,52.3
2015,2,19,17149.0,52.3
2015,2,20,17149.0,52.3
2015,2,21,17149.0,52.3
2015,2,22,17149.0,52.3
2015,2,23,7322.0,38.7
2015,2,24,32940.0,29.4
2015,2,25,37877.0,25.4
2015,2,26,46657.0,22.1
2015,2,27,15138.0,19.3
2015,2,28,48758.0,20.9
2015,3,1,23200.0,21.5
2015,3,2,14531.0,19.3
2015,3,3,49965.0,18.9
2015,3,4,39713.0,18.2
2015,3,5,35038.0,20.2
2015,3,6,34313.0,23.5
2015,3,7,19076.0,16.6
2015,3,8,640.0,26.0
2015,3,9,13227.0,20.0
2015,3,10,45193.0,23.0
2015,3,11,31007.0,24.4
2015,3,12,29654.0,22.1
2015,3,13,34040.0,21.8
2015,3,14,38586.0,23.0
2015,3,15,21458.0,32.4
2015,3,16,18264.0,19.0
2015,3,17,36020.0,27.9
2015,3,18,34701.0,26.5
2015,3,19,31684.0,26.7
2015,3,20,31144.0,26.8
2015,3,21,39480.0,31.5
2015,3,22,23941.0,30.9
2015,3,23,13680.0,24.5
2015,3,24,46312.0,27.7
2015,3,25,35040.0,27.9
2015,3,26,31338.0,28.9
2015,3,27,25957.0,31.0
2015,3,28,32543.0,31.1
2015,3,29,24111.0,35.2
2015,3,30,13076.0,29.7
2015,3,31,36265.0,35.4
2015,4,1,43056.0,29.9
2015,4,2,36881.0,31.5
2015,4,3,46152.0,29.7
2015,4,4,56892.0,28.1
2015,4,5,4093.0,28.5
2015,4,6,27969.0,18.3
2015,4,7,69915.0,22.9
2015,4,8,74708.0,21.4
2015,4,9,59570.0,21.3
2015,4,10,54232.0,23.4
2015,4,11,47141.0,25.8
2015,4,12,36092.0,26.7
2015,4,13,17646.0,28.3
2015,4,14,62917.0,26.1
2015,4,15,57258.0,26.8
2015,4,16,48538.0,27.9
2015,4,17,42540.0,32.1
2015,4,18,53491.0,34.1
2015,4,19,39693.0,31.1
2015,4,20,20601.0,25.1
2015,4,21,76161.0,24.3
2015,4,22,57171.0,23.7
2015,4,23,69274.0,18.9
2015,4,24,79316.0,16.7
2015,4,25,80582.0,17.0
2015,4,26,43308.0,20.1
2015,4,27,25088.0,16.5
2015,4,28,75224.0,19.7
2015,4,29,64430.0,19.2
2015,4,30,62170.0,17.8
2015,5,1,75307.0,17.0
2015,5,2,84939.0,15.4
2015,5,3,59475.0,16.4
2015,5,4,30075.0,12.6
2015,5,5,107684.0,13.4
2015,5,6,96624.0,11.5
2015,5,7,94373.0,11.3
