year,month,day,weight,price
2015,1,1,93193.0,18.6
2015,1,2,82892.0,17.9
2015,1,3,85871.5,19.7
2015,1,4,77163.0,21.5
2015,1,5,22804.0,15.8
2015,1,6,99331.0,20.2
2015,1,7,98190.0,20.1
2015,1,8,101894.0,18.2
2015,1,9,104359.0,17.6
2015,1,10,109830.0,16.6
2015,1,11,84890.0,16.7
2015,1,12,26757.0,12.3
2015,1,13,100275.0,16.9
2015,1,14,106908.0,16.0
2015,1,15,92039.0,15.9
2015,1,16,108867.0,14.4
2015,1,17,116124.0,13.9
2015,1,18,95846.0,14.3
2015,1,19,28381.0,8.9
2015,1,20,125153.0,13.7
2015,1,21,116015.0,13.9
2015,1,22,100119.0,13.2
2015,1,23,100553.0,14.2
2015,1,24,110641.0,15.0
2015,1,25,79448.0,17.3
2015,1,26,29528.0,8.3
2015,1,27,106425.5,14.8
2015,1,28,96692.0,14.6
2015,1,29,98378.0,13.5
2015,1,30,93647.0,13.8
2015,1,31,101765.5,13.8
2015,2,1,83473.0,13.7
2015,2,2,25656.0,7.0
2015,2,3,110889.0,13.2
2015,2,4,113147.0,11.6
2015,2,5,106905.0,11.5
2015,2,6,102010.0,12.5
2015,2,7,88954.0,13.4
2015,2,8,81259.0,14.0
2015,2,9,18278.0,7.9
2015,2,10,93073.0,13.7
2015,2,11,107980.0,13.8
2015,2,12,134007.0,11.6
2015,2,13,146489.0,12.9
2015,2,14,170880.0,12.1
2015,2,15,242167.0,11.7
2015,2,16,311612.0,10.8
2015,2,17,300523.0,13.1
2015,2,18,102186.0,14.5
2015,2,19,102186.0,14.5
2015,2,20,102186.0,14.5
2015,2,21,102186.0,14.5
2015,2,22,2579.0,21.3
2015,2,23,27938.0,10.1
2015,2,24,83165.0,13.8
2015,2,25,94043.0,14.3
2015,2,26,103215.0,15.0
2015,2,27,21137.0,14.5
2015,2,28,98399.0,16.0
2015,3,1,89356.0,13.6
2015,3,2,13641.0,14.4
2015,3,3,91414.0,14.0
2015,3,4,84569.0,13.5
2015,3,5,64843.0,16.0
2015,3,6,60521.0,17.6
2015,3,7,15097.0,14.9
2015,3,8,1235.0,19.4
2015,3,9,8594.0,16.0
2015,3,10,65276.0,19.9
2015,3,11,65557.0,17.5
2015,3,12,59069.0,16.2
2015,3,13,52497.0,17.3
2015,3,14,65170.0,18.0
2015,3,15,50178.0,19.4
2015,3,16,14049.0,14.2
2015,3,17,55158.0,19.2
2015,3,18,57323.5,17.7
2015,3,19,54116.0,16.1
2015,3,20,54211.0,16.1
2015,3,21,58112.0,16.1
2015,3,22,37491.0,18.9
2015,3,23,13971.5,14.2
2015,3,24,50038.0,18.3
2015,3,25,44824.0,18.4
2015,3,26,42025.0,19.7
2015,3,27,42260.0,19.3
2015,3,28,37779.0,19.5
2015,3,29,29881.0,24.1
2015,3,30,8661.0,17.6
2015,3,31,40424.0,22.9
2015,4,1,29007.0,23.1
2015,4,2,28236.0,22.3
2015,4,3,27093.0,24.4
2015,4,4,33672.0,22.1
2015,4,5,6296.0,29.3
2015,4,6,9012.0,18.9
2015,4,7,22470.0,21.3
2015,4,8,34988.0,18.4
2015,4,9,37036.0,20.7
2015,4,10,26816.0,20.2
2015,4,11,30635.0,19.9
2015,4,12,15888.0,25.5
2015,4,13,8931.0,16.6
2015,4,14,29033.0,21.7
2015,4,15,24438.0,21.4
2015,4,16,23601.0,22.4
2015,4,17,22398.0,22.7
2015,4,18,22667.0,23.3
2015,4,19,16912.0,22.4
2015,4,20,5256.0,21.2
2015,4,21,24220.0,20.8
2015,4,22,20547.0,21.6
2015,4,23,24750.0,17.5
2015,4,24,22820.0,18.8
2015,4,25,25673.0,18.1
2015,4,26,22200.0,14.9
2015,4,27,6275.0,16.9
2015,4,28,32498.0,14.3
2015,4,29,30526.0,14.2
2015,4,30,28169.0,13.3
2015,5,1,25855.0,14.2
2015,5,2,31383.0,13.8
2015,5,3,15903.0,14.6
2015,5,4,7673.0,16.1
2015,5,5,31429.0,15.0
2015,5,6,24873.0,13.9
2015,5,7,34536.0,13.6
2015,5,8,32746.0,15.9
2015,5,9,24471.0,13.8
2015,5,10,17925.0,13.2
2015,5,11,6533.0,15.8
2015,5,12,31993.0,13.5
2015,5,13,22897.0,13.4
2015,5,14,24994.0,13.2
2015,5,15,24450.0,12.9
2015,5,16,27260.0,12.7
2015,5,17,17069.0,13.4
2015,5,18,6638.0,12.5
2015,5,19,28430.0,14.2
2015,5,20,15130.0,18.1
2015,5,21,14338.0,21.5
2015,5,22,18741.0,19.4
2015,5,23,22642.0,17.7
2015,5,24,10785.0,17.9
2015,5,25,5731.0,21.8
2015,5,26,16416.0,21.2
2015,5,27,14820.0,24.1
2015,5,28,13641.0,23.6
2015,5,29,14884.0,24.4
2015,5,30,14030.0,29.2
2015,5,31,9141.0,30.6
2015,6,1,3325.0,43.7
2015,6,2,16420.0,33.8
2015,6,3,11365.0,41.8
2015,6,4,8095.0,45.9
2015,6,5,12145.0,39.3
2015,6,6,10480.0,42.2
2015,6,7,7817.0,42.6
2015,6,8,3687.0,42.8
2015,6,9,18086.0,37.5
2015,6,10,18930.0,35.0
2015,6,11,22749.0,32.0
2015,6,12,13859.0,30.0
2015,6,13,16622.0,29.7
2015,6,14,9036.0,33.4
2015,6,15,5805.0,28.4
2015,6,16,21775.0,28.7
2015,6,17,18074.0,26.3
2015,6,18,17165.0,22.4
2015,6,19,20529.0,19.1
2015,6,20,17961.0,15.5
2015,6,21,17961.0,15.5
2015,6,22,8013.0,17.6
2015,6,23,28910.0,15.9
2015,6,24,27381.0,14.0
2015,6,25,26059.0,13.5
2015,6,26,30777.0,13.1
2015,6,27,25693.0,13.6
2015,6,28,11931.0,15.5
2015,6,29,6706.0,16.4
2015,6,30,26757.0,15.3
2015,7,1,22257.0,16.3
2015,7,2,19297.0,16.9
2015,7,3,22286.0,15.4
2015,7,4,20267.0,16.9
2015,7,5,15384.0,18.2
2015,7,6,6475.0,17.4
2015,7,7,24863.0,21.5
2015,7,8,20105.0,20.0
2015,7,9,17404.0,20.7
2015,7,10,24263.0,16.2
2015,7,11,27620.0,14.5
2015,7,12,19643.0,13.4
2015,7,13,8748.0,11.9
2015,7,14,27599.0,15.2
2015,7,15,20244.0,14.8
2015,7,16,19071.0,16.3
2015,7,17,18834.0,16.3
2015,7,18,20139.0,17.4
2015,7,19,13052.0,18.7
2015,7,20,5489.0,17.8
2015,7,21,19092.0,20.8
2015,7,22,19083.0,18.5
2015,7,23,15169.0,19.7
2015,7,24,20058.0,17.4
2015,7,25,20593.0,17.8
2015,7,26,17610.0,17.5
2015,7,27,6747.0,17.3
2015,7,28,22283.0,19.8
2015,7,29,16721.0,19.1
2015,7,30,17349.0,19.5
2015,7,31,15831.0,20.7
2015,8,1,17918.0,20.0
2015,8,2,15505.0,17.9
2015,8,3,5363.0,21.0
2015,8,4,23993.0,19.9
2015,8,5,17638.0,22.5
2015,8,6,23235.0,27.5
2015,8,7,23018.0,26.1
2015,8,8,11780.0,21.1
2015,8,9,6430.0,27.9
2015,8,10,4117.0,43.6
2015,8,11,21357.0,35.5
2015,8,12,15627.0,33.5
2015,8,13,15131.0,36.7
2015,8,14,12106.0,35.6
2015,8,15,11668.0,37.4
2015,8,16,7257.0,32.7
2015,8,17,4444.0,43.0
2015,8,18,13603.0,37.3
2015,8,19,14983.0,34.4
2015,8,20,14335.0,34.0
2015,8,21,13998.0,35.9
2015,8,22,14643.0,39.0
2015,8,23,8504.0,40.3
2015,8,24,3878.0,49.5
2015,8,25,13015.0,48.3
2015,8,26,11368.0,49.3
2015,8,27,11549.0,46.1
2015,8,28,7467.0,50.5
2015,8,29,6207.0,45.4
2015,8,30,6207.0,45.4
2015,8,31,4522.0,53.3
2015,9,1,17799.0,54.2
2015,9,2,13699.0,53.3
2015,9,3,9921.0,62.8
2015,9,4,7850.0,65.5
2015,9,5,9932.0,75.1
2015,9,6,5771.0,80.0
2015,9,7,3335.0,68.3
2015,9,8,10355.0,71.3
2015,9,9,13464.0,59.6
2015,9,10,15976.0,49.8
2015,9,11,15336.0,46.7
2015,9,12,18119.0,47.6
2015,9,13,10790.0,50.5
2015,9,14,5104.0,42.3
2015,9,15,18997.0,44.6
2015,9,16,20039.0,38.0
2015,9,17,18979.0,34.1
2015,9,18,22077.0,29.1
2015,9,19,28759.0,26.5
2015,9,20,19660.0,24.5
2015,9,21,7500.0,21.5
2015,9,22,37500.0,21.2
2015,9,23,31820.0,17.5
2015,9,24,27489.0,17.3
2015,9,25,24618.0,17.5
2015,9,26,26389.0,17.1
2015,9,27,32939.0,19.3
2015,9,28,6310.0,16.9
2015,9,29,6310.0,16.9
2015,9,30,21208.0,28.9
2015,10,1,27256.0,21.0
