year,month,day,weight,price
2015,1,1,6292.0,51.7
2015,1,2,5896.0,53.1
2015,1,3,6248.0,53.3
2015,1,4,2556.0,50.2
2015,1,5,3888.0,55.2
2015,1,6,6248.0,55.2
2015,1,7,6937.0,50.2
2015,1,8,6832.0,46.1
2015,1,9,6508.0,42.7
2015,1,10,6983.0,39.3
2015,1,11,3724.0,31.2
2015,1,12,3851.0,43.6
2015,1,13,7448.0,36.7
2015,1,14,6959.0,34.8
2015,1,15,6073.0,32.4
2015,1,16,6513.0,31.7
2015,1,17,6975.0,29.8
2015,1,18,4997.0,23.2
2015,1,19,3208.0,32.2
2015,1,20,8161.0,26.6
2015,1,21,7569.0,26.1
2015,1,22,8866.0,24.2
2015,1,23,8107.0,24.9
2015,1,24,7855.0,26.1
2015,1,25,4657.0,23.8
2015,1,26,3611.0,28.9
2015,1,27,8356.0,24.3
2015,1,28,8034.0,24.4
2015,1,29,8018.0,20.7
2015,1,30,7227.0,22.5
2015,1,31,8164.0,22.6
2015,2,1,4423.0,22.2
2015,2,2,3754.0,24.7
2015,2,3,7904.0,24.0
2015,2,4,8999.0,20.9
2015,2,5,5906.0,26.8
2015,2,6,6215.0,25.2
2015,2,7,6160.0,26.6
2015,2,8,2843.0,26.3
2015,2,9,2569.0,33.5
2015,2,10,6497.0,28.1
2015,2,11,4712.0,34.8
2015,2,12,4462.0,35.5
2015,2,13,4865.0,37.1
2015,2,14,5280.0,36.7
2015,2,15,5458.0,37.4
2015,2,16,6492.0,38.9
2015,2,17,7453.0,37.8
2015,2,18,3239.0,31.6
2015,2,19,3239.0,31.6
2015,2,20,3239.0,31.6
2015,2,21,3239.0,31.6
2015,2,22,3239.0,31.6
2015,2,23,3021.0,44.1
2015,2,24,8046.0,31.4
2015,2,25,7576.0,28.8
2015,2,26,7249.0,28.3
2015,2,27,4359.0,29.4
2015,2,28,8413.0,26.8
2015,3,1,4008.0,27.9
2015,3,2,3587.0,30.4
2015,3,3,7923.0,29.0
2015,3,4,6797.0,29.7
2015,3,5,6543.0,31.9
2015,3,6,6945.0,32.8
2015,3,7,3373.0,34.8
2015,3,8,650.0,26.0
2015,3,9,3377.0,35.9
2015,3,10,9238.0,32.6
2015,3,11,7907.0,31.3
2015,3,12,7422.0,31.1
2015,3,13,7463.0,32.3
2015,3,14,7849.0,33.6
2015,3,15,3419.0,37.2
2015,3,16,2951.0,40.5
2015,3,17,8223.0,34.6
2015,3,18,9062.0,32.2
2015,3,19,12380.0,25.4
2015,3,20,12013.0,27.0
2015,3,21,9147.0,34.0
2015,3,22,5627.0,31.0
2015,3,23,3774.0,37.6
2015,3,24,10188.0,34.1
2015,3,25,11076.0,31.2
2015,3,26,8722.0,33.6
2015,3,27,7714.0,35.2
2015,3,28,6955.0,42.8
2015,3,29,5366.0,41.3
2015,3,30,4018.0,37.8
2015,3,31,10151.0,40.0
2015,4,1,10427.0,39.0
2015,4,2,12336.0,34.2
2015,4,3,12248.0,34.0
2015,4,4,15648.0,31.1
2015,4,5,1468.0,34.4
2015,4,6,6914.0,30.4
2015,4,7,20096.0,27.7
2015,4,8,16728.0,26.1
2015,4,9,18763.0,25.1
2015,4,10,20645.0,23.5
2015,4,11,19114.0,25.9
2015,4,12,10010.0,29.0
2015,4,13,6925.0,28.2
2015,4,14,14064.0,33.1
2015,4,15,15760.0,31.8
2015,4,16,15586.0,33.1
2015,4,17,16425.0,33.3
2015,4,18,19047.0,32.3
2015,4,19,17593.0,30.4
2015,4,20,7756.0,29.8
2015,4,21,26275.0,26.7
2015,4,22,23057.0,25.8
2015,4,23,24830.0,21.9
2015,4,24,24600.0,20.3
2015,4,25,27569.0,19.3
2015,4,26,22946.0,17.9
2015,4,27,9191.0,20.1
2015,4,28,32851.0,17.9
2015,4,29,30015.0,17.2
2015,4,30,31871.0,16.0
2015,5,1,28682.0,16.1
2015,5,2,31639.0,16.0
2015,5,3,20493.0,16.5
2015,5,4,11285.0,17.7
2015,5,5,28622.0,16.9
2015,5,6,25855.0,16.8
2015,5,7,27281.0,15.7
2015,5,8,24282.0,16.7
2015,5,9,28327.0,16.5
2015,5,10,16982.0,19.0
2015,5,11,12349.0,15.1
2015,5,12,29716.0,17.0
2015,5,13,31970.0,16.7
2015,5,14,35459.0,14.4
2015,5,15,32722.0,14.0
2015,5,16,36345.0,13.9
2015,5,17,25594.0,13.8
2015,5,18,10899.0,15.5
2015,5,19,34818.0,18.0
2015,5,20,31144.0,21.0
2015,5,21,31326.0,22.8
2015,5,22,32767.0,22.9
2015,5,23,31368.0,23.6
2015,5,24,21956.0,22.1
2015,5,25,8663.0,45.4
2015,5,26,26494.0,33.5
2015,5,27,21731.0,35.7
2015,5,28,18249.0,42.5
2015,5,29,14458.0,47.8
2015,5,30,13607.0,53.1
2015,5,31,11842.0,49.9
2015,6,1,2826.0,84.0
2015,6,2,25756.0,56.7
2015,6,3,27861.0,53.8
2015,6,4,29970.0,47.6
2015,6,5,33328.0,44.7
2015,6,6,32486.0,42.7
2015,6,7,26521.0,37.2
2015,6,8,8291.0,60.9
2015,6,9,39340.0,41.2
2015,6,10,35904.0,37.5
2015,6,11,35321.0,36.0
2015,6,12,34641.0,33.3
2015,6,13,45464.0,32.5
2015,6,14,33938.0,28.6
2015,6,15,12185.0,37.4
2015,6,16,51397.0,27.6
2015,6,17,56670.0,24.1
2015,6,18,53579.0,18.1
2015,6,19,54218.0,16.2
2015,6,20,33169.0,15.2
2015,6,21,33169.0,15.2
2015,6,22,16925.0,24.8
2015,6,23,54699.0,16.8
2015,6,24,47328.0,17.9
2015,6,25,46564.0,15.0
2015,6,26,40900.0,16.0
2015,6,27,35745.0,17.4
2015,6,28,26917.0,17.9
2015,6,29,17271.0,17.0
2015,6,30,40781.0,19.4
2015,7,1,41070.0,18.5
2015,7,2,38481.0,18.0
2015,7,3,34640.0,19.0
2015,7,4,36224.0,22.4
2015,7,5,26886.0,21.6
2015,7,6,10659.0,46.0
2015,7,7,37649.0,29.3
2015,7,8,37004.0,30.4
2015,7,9,34360.0,30.0
2015,7,10,37649.0,28.9
2015,7,11,28913.0,31.4
2015,7,12,22171.0,26.7
2015,7,13,11956.0,35.5
2015,7,14,40816.0,27.1
2015,7,15,37456.0,23.4
2015,7,16,37443.0,22.5
2015,7,17,37281.0,22.2
2015,7,18,34455.0,23.6
2015,7,19,23823.0,18.5
2015,7,20,8562.0,40.0
2015,7,21,38618.0,24.9
2015,7,22,38510.0,24.4
2015,7,23,33972.0,25.0
2015,7,24,38376.0,23.7
2015,7,25,39150.0,23.8
2015,7,26,29558.0,19.1
2015,7,27,13790.0,31.0
2015,7,28,44298.0,21.7
2015,7,29,43639.0,20.7
2015,7,30,40777.0,20.9
2015,7,31,41419.0,19.8
2015,8,1,43031.0,19.5
2015,8,2,25477.0,18.9
2015,8,3,14379.0,24.9
2015,8,4,40660.0,22.4
2015,8,5,39795.0,27.3
2015,8,6,41917.0,35.3
2015,8,7,44970.0,34.6
2015,8,8,20911.0,30.2
2015,8,9,12381.0,40.4
2015,8,10,10001.0,63.1
2015,8,11,41623.0,43.7
2015,8,12,41892.0,41.4
2015,8,13,42818.0,37.4
2015,8,14,35304.0,40.7
2015,8,15,37966.0,40.9
