year,month,day,weight,price
2015,1,1,20836.0,36.6
2015,1,2,18372.0,36.8
2015,1,3,18710.0,39.0
2015,1,4,19667.0,40.3
2015,1,5,19667.0,40.3
2015,1,6,19589.0,43.7
2015,1,7,19507.0,41.2
2015,1,8,18149.0,39.4
2015,1,9,17131.0,38.1
2015,1,10,18689.0,37.5
2015,1,11,21962.0,36.2
2015,1,12,21962.0,36.2
2015,1,13,20856.0,37.6
2015,1,14,19759.0,32.9
2015,1,15,16701.0,33.4
2015,1,16,22807.0,27.9
2015,1,17,24450.0,27.6
2015,1,18,22376.0,28.0
2015,1,19,22376.0,28.0
2015,1,20,24476.0,27.2
2015,1,21,21556.0,25.8
2015,1,22,22443.0,24.3
2015,1,23,23507.0,21.9
2015,1,24,24483.0,20.9
2015,1,25,23929.0,23.3
2015,1,26,23929.0,23.3
2015,1,27,23833.0,23.7
2015,1,28,22013.0,21.1
2015,1,29,23938.0,18.7
2015,1,30,20934.0,21.2
2015,1,31,22630.0,20.4
2015,2,1,23499.0,20.7
2015,2,2,23499.0,20.7
2015,2,3,28959.0,18.6
2015,2,4,25216.0,17.1
2015,2,5,22315.0,16.3
2015,2,6,22302.0,16.0
2015,2,7,21657.0,19.0
2015,2,8,22035.0,19.9
2015,2,9,22035.0,19.9
2015,2,10,22065.0,21.8
2015,2,11,24085.0,19.8
2015,2,12,23830.0,19.5
2015,2,13,22164.0,21.2
2015,2,14,25852.0,20.3
2015,2,15,26648.0,18.1
2015,2,16,22469.0,19.2
2015,2,17,20751.0,25.1
2015,2,18,7173.0,28.4
2015,2,19,7173.0,28.4
2015,2,20,7173.0,28.4
2015,2,21,7173.0,28.4
2015,2,22,7173.0,28.4
2015,2,23,7173.0,28.4
2015,2,24,24366.0,23.0
2015,2,25,29022.0,20.2
2015,2,26,33367.0,19.8
2015,2,27,4105.0,26.2
2015,2,28,38118.0,18.3
2015,3,1,38978.0,14.7
2015,3,2,38978.0,14.7
2015,3,3,40197.0,14.7
2015,3,4,37383.0,12.7
2015,3,5,40322.0,12.8
2015,3,6,36513.0,18.5
2015,3,7,60.0,6.7
2015,3,8,60.0,6.7
2015,3,9,60.0,6.7
2015,3,10,38142.0,17.8
2015,3,11,39022.0,14.2
2015,3,12,34580.0,12.3
2015,3,13,31025.0,14.7
2015,3,14,33916.0,14.9
2015,3,15,35414.0,17.0
2015,3,16,35414.0,17.0
2015,3,17,35872.0,17.3
2015,3,18,33116.0,15.9
2015,3,19,32445.0,13.9
2015,3,20,34728.0,13.9
2015,3,21,34688.0,14.6
2015,3,22,36603.0,14.8
2015,3,23,36603.0,14.8
2015,3,24,32238.0,17.1
2015,3,25,32934.0,16.6
2015,3,26,34393.0,15.4
2015,3,27,35286.0,15.7
2015,3,28,34805.0,18.2
2015,3,29,35143.0,22.6
2015,3,30,35143.0,22.6
2015,3,31,40373.0,23.2
2015,4,1,38087.0,21.8
2015,4,2,36439.0,20.7
2015,4,3,38002.0,19.4
2015,4,4,41840.0,21.8
2015,4,5,2490.0,26.8
2015,4,6,2490.0,26.8
2015,4,7,37617.0,20.2
2015,4,8,38535.0,18.6
2015,4,9,39754.0,15.6
2015,4,10,37280.0,16.2
2015,4,11,37555.0,17.1
2015,4,12,36174.0,20.3
2015,4,13,36174.0,20.3
2015,4,14,41969.0,21.0
2015,4,15,39254.0,19.8
2015,4,16,38834.0,19.7
2015,4,17,37951.0,19.7
2015,4,18,38765.0,20.0
2015,4,19,36986.0,20.3
2015,4,20,36986.0,20.3
2015,4,21,36570.0,19.7
2015,4,22,29181.0,21.2
2015,4,23,37368.0,18.8
2015,4,24,39049.0,17.7
2015,4,25,35477.0,17.5
2015,4,26,40467.0,16.0
2015,4,27,40467.0,16.0
2015,4,28,45017.0,15.9
2015,4,29,40792.0,15.4
2015,4,30,39678.0,12.8
2015,5,1,38354.0,13.2
2015,5,2,35475.0,14.3
2015,5,3,38511.0,14.7
2015,5,4,38511.0,14.7
2015,5,5,37906.0,14.5
2015,5,6,35687.0,14.6
2015,5,7,32434.0,15.1
2015,5,8,31546.0,15.4
2015,5,9,35158.0,15.8
2015,5,10,32246.0,17.1
2015,5,11,32246.0,17.1
2015,5,12,35147.0,16.2
2015,5,13,31625.0,16.4
2015,5,14,32766.0,14.8
2015,5,15,31867.0,14.5
2015,5,16,32318.0,14.8
2015,5,17,30920.0,17.0
2015,5,18,30920.0,17.0
2015,5,19,29345.0,20.1
2015,5,20,27589.0,20.6
2015,5,21,27303.0,21.6
2015,5,22,28785.0,22.6
2015,5,23,35411.0,19.3
2015,5,24,36693.0,18.9
2015,5,25,36693.0,18.9
