year,month,day,weight,price
2015,1,1,7090.0,38.4
2015,1,2,6486.0,38.3
2015,1,3,6097.0,44.2
2015,1,4,5766.0,51.1
2015,1,5,24.0,62.5
2015,1,6,6934.0,47.6
2015,1,7,6706.0,40.6
2015,1,8,5519.0,40.3
2015,1,9,5617.0,39.3
2015,1,10,5362.0,44.5
2015,1,11,8644.0,36.3
2015,1,12,10.0,63.0
2015,1,13,8346.0,36.7
2015,1,14,6974.0,31.8
2015,1,15,6340.0,33.9
2015,1,16,6411.0,33.9
2015,1,17,8053.0,29.0
2015,1,18,8145.0,27.1
2015,1,19,8145.0,27.1
2015,1,20,8075.0,27.9
2015,1,21,7401.0,26.1
2015,1,22,7011.0,24.7
2015,1,23,6773.0,23.2
2015,1,24,7010.0,25.6
2015,1,25,9457.0,21.8
2015,1,26,9457.0,21.8
2015,1,27,7783.5,23.4
2015,1,28,7126.0,21.0
2015,1,29,7025.0,20.0
2015,1,30,6466.0,21.7
2015,1,31,7944.5,24.6
2015,2,1,11664.0,23.2
2015,2,2,11664.0,23.2
2015,2,3,14181.0,23.4
2015,2,4,11018.0,20.3
2015,2,5,6959.0,21.1
2015,2,6,5995.0,20.3
2015,2,7,5768.0,25.7
2015,2,8,7092.0,26.6
2015,2,9,7092.0,26.6
2015,2,10,6899.0,29.0
2015,2,11,6804.0,27.0
2015,2,12,6431.0,28.9
2015,2,13,7717.0,27.5
2015,2,14,8076.0,33.1
2015,2,15,9278.0,35.4
2015,2,16,10741.0,40.6
2015,2,17,13552.0,53.8
2015,2,18,15360.0,34.2
2015,2,19,15360.0,34.2
2015,2,20,15360.0,34.2
2015,2,21,15360.0,34.2
2015,2,22,143.0,25.3
2015,2,23,243.0,17.7
2015,2,24,11014.0,25.7
2015,2,25,9204.0,22.1
2015,2,26,11127.0,19.9
2015,2,27,570.0,36.3
2015,2,28,9222.0,21.8
2015,3,1,9988.5,19.7
2015,3,2,42.0,10.0
2015,3,3,8238.0,18.7
2015,3,4,8159.0,22.6
2015,3,5,10205.0,25.4
2015,3,6,6401.0,33.0
2015,3,7,120.0,15.0
2015,3,8,120.0,15.0
2015,3,9,120.0,15.0
2015,3,10,6826.0,29.6
2015,3,11,7045.0,28.0
2015,3,12,6328.0,27.1
2015,3,13,6414.0,27.3
2015,3,14,7649.0,26.6
2015,3,15,8284.0,31.7
2015,3,16,8284.0,31.7
2015,3,17,8523.0,29.3
2015,3,18,8140.5,25.1
2015,3,19,7610.0,21.3
2015,3,20,7831.0,20.1
2015,3,21,7980.5,20.4
2015,3,22,8624.0,20.2
2015,3,23,8624.0,20.2
2015,3,24,7632.5,23.4
2015,3,25,6872.0,23.0
2015,3,26,6591.0,28.1
2015,3,27,6444.0,27.6
2015,3,28,7557.0,24.2
2015,3,29,7180.0,34.7
2015,3,30,7180.0,34.7
2015,3,31,7103.0,36.0
2015,4,1,6336.0,36.9
2015,4,2,6980.0,37.3
2015,4,3,7779.0,35.6
2015,4,4,8813.0,40.6
2015,4,5,1980.0,33.5
2015,4,6,1980.0,33.5
2015,4,7,6403.0,44.3
2015,4,8,6058.0,43.7
2015,4,9,5858.0,42.2
2015,4,10,4853.0,49.9
2015,4,11,5172.0,57.1
2015,4,12,3783.0,63.4
2015,4,13,3783.0,63.4
2015,4,14,5945.0,58.0
2015,4,15,5752.0,55.2
2015,4,16,4844.0,56.5
2015,4,17,5662.0,58.6
2015,4,18,5719.0,59.6
2015,4,19,7792.0,46.9
2015,4,20,106.5,48.4
2015,4,21,8453.0,39.4
2015,4,22,6905.0,36.2
2015,4,23,7881.0,33.2
2015,4,24,8200.0,28.6
2015,4,25,7366.0,24.9
2015,4,26,7763.0,25.0
2015,4,27,7763.0,25.0
2015,4,28,6876.0,29.2
2015,4,29,6827.0,31.0
2015,4,30,5822.0,26.7
2015,5,1,5612.0,31.8
2015,5,2,6822.0,36.2
2015,5,3,7060.0,36.4
2015,5,4,40.0,33.2
2015,5,5,6005.0,40.8
2015,5,6,6526.0,36.3
2015,5,7,5928.0,39.0
2015,5,8,5381.0,46.0
2015,5,9,6773.0,46.6
2015,5,10,6194.0,48.5
2015,5,11,57.0,30.5
2015,5,12,5571.5,43.5
2015,5,13,4339.0,45.4
2015,5,14,5091.0,40.2
2015,5,15,5274.5,35.2
2015,5,16,5059.0,39.2
2015,5,17,5635.0,39.7
2015,5,18,93.0,39.5
2015,5,19,5454.0,45.2
2015,5,20,4551.0,46.6
2015,5,21,3725.0,51.2
2015,5,22,4707.0,48.9
2015,5,23,5271.0,48.0
2015,5,24,5850.0,41.4
2015,5,25,5850.0,41.4
2015,5,26,3953.0,63.6
2015,5,27,2748.0,89.3
2015,5,28,2668.0,92.0
2015,5,29,2124.0,173.5
2015,5,30,2593.0,136.8
2015,5,31,2031.0,180.9
2015,6,1,2031.0,180.9
2015,6,2,1316.0,292.5
2015,6,3,1583.0,214.2
2015,6,4,1311.0,213.8
2015,6,5,1247.0,223.3
2015,6,6,1334.0,226.2
2015,6,7,1138.0,300.5
2015,6,8,6.0,46.0
2015,6,9,1266.0,328.8
2015,6,10,1296.0,272.4
2015,6,11,1334.0,219.0
2015,6,12,1339.0,233.1
2015,6,13,1383.0,243.4
2015,6,14,1392.0,303.9
2015,6,15,15.0,230.0
2015,6,16,1423.0,279.4
2015,6,17,1258.0,283.5
2015,6,18,1327.0,234.9
2015,6,19,1677.0,203.6
2015,6,20,1538.0,238.9
2015,6,21,1538.0,238.9
2015,6,22,46.0,185.4
2015,6,23,1926.0,193.6
2015,6,24,2692.5,89.6
2015,6,25,2395.0,73.0
2015,6,26,2523.0,72.1
2015,6,27,3122.0,75.5
2015,6,28,3027.0,81.3
2015,6,29,26.0,157.3
2015,6,30,3209.0,78.0
2015,7,1,2841.5,76.8
2015,7,2,3210.5,71.8
2015,7,3,3429.0,65.8
2015,7,4,3229.0,76.6
2015,7,5,3730.0,76.8
2015,7,6,3.0,30.0
2015,7,7,3339.0,86.5
2015,7,8,2647.0,101.5
2015,7,9,3651.0,82.3
2015,7,10,3898.0,72.8
2015,7,11,4170.0,60.6
2015,7,12,4618.0,51.7
2015,7,13,6.0,50.0
2015,7,14,3867.0,57.4
2015,7,15,3827.0,52.4
2015,7,16,3331.0,52.5
2015,7,17,3025.5,59.2
