year,month,day,weight,price
2015,1,1,4365.0,35.0
2015,1,2,4222.0,33.1
2015,1,3,4030.0,33.9
2015,1,4,1204.0,42.7
2015,1,5,2363.0,36.7
2015,1,6,4032.0,39.0
2015,1,7,3554.0,35.1
2015,1,8,3733.0,34.7
2015,1,9,3854.0,35.0
2015,1,10,4752.0,32.1
2015,1,11,2409.0,28.8
2015,1,12,2597.0,30.1
2015,1,13,5207.0,28.5
2015,1,14,4714.0,26.4
2015,1,15,4523.0,26.8
2015,1,16,5098.0,23.3
2015,1,17,4216.0,23.9
2015,1,18,1829.0,22.5
2015,1,19,2660.0,24.3
2015,1,20,4680.0,23.1
2015,1,21,4222.0,23.3
2015,1,22,3748.0,24.9
2015,1,23,3587.0,24.4
2015,1,24,3863.0,24.6
2015,1,25,1681.0,21.1
2015,1,26,2806.0,24.6
2015,1,27,5241.0,20.2
2015,1,28,4828.0,20.4
2015,1,29,5040.0,20.0
2015,1,30,4730.0,19.6
2015,1,31,5566.0,17.2
2015,2,1,1611.0,20.7
2015,2,2,3664.0,17.5
2015,2,3,5852.0,17.2
2015,2,4,4521.0,16.9
2015,2,5,3807.0,18.2
2015,2,6,4488.0,17.7
2015,2,7,4763.0,21.0
2015,2,8,1640.0,23.6
2015,2,9,2899.0,23.6
2015,2,10,4336.0,22.8
2015,2,11,4523.0,23.5
2015,2,12,3830.0,23.0
2015,2,13,3756.0,22.4
2015,2,14,3969.0,24.4
2015,2,15,4007.0,23.1
2015,2,16,4023.0,24.3
2015,2,17,2801.0,25.6
2015,2,18,865.0,16.3
2015,2,19,865.0,16.3
2015,2,20,865.0,16.3
2015,2,21,865.0,16.3
2015,2,22,865.0,16.3
2015,2,23,2401.0,22.3
2015,2,24,4277.0,22.0
2015,2,25,3956.0,19.1
2015,2,26,4230.0,18.3
2015,2,27,2225.0,19.9
2015,2,28,3918.0,21.3
2015,3,1,886.0,22.3
2015,3,2,2385.0,24.4
2015,3,3,3193.0,23.8
2015,3,4,3133.0,23.5
2015,3,5,2492.0,25.2
2015,3,6,2983.0,25.6
2015,3,7,1888.0,26.9
2015,3,8,1888.0,26.9
2015,3,9,2006.0,26.8
2015,3,10,3446.0,24.2
2015,3,11,3118.0,26.8
2015,3,12,2582.0,27.8
2015,3,13,2234.0,31.2
2015,3,14,2821.0,29.4
2015,3,15,1250.0,23.7
2015,3,16,2178.0,32.4
2015,3,17,3003.0,29.4
2015,3,18,2831.0,29.2
2015,3,19,2550.0,30.9
2015,3,20,2635.0,28.1
2015,3,21,2718.0,27.5
2015,3,22,696.0,23.7
2015,3,23,2120.0,27.8
2015,3,24,3813.0,23.1
2015,3,25,3081.0,25.4
2015,3,26,2495.0,25.9
2015,3,27,2538.0,27.8
2015,3,28,1945.0,33.6
2015,3,29,615.0,27.3
2015,3,30,1507.0,37.4
2015,3,31,1972.0,34.1
2015,4,1,2271.0,30.6
2015,4,2,2066.0,30.6
2015,4,3,2100.0,30.2
2015,4,4,2378.0,27.5
2015,4,5,50.0,33.0
2015,4,6,1515.0,34.6
2015,4,7,1805.0,33.0
2015,4,8,1705.0,34.2
2015,4,9,1545.0,33.8
2015,4,10,1625.0,33.8
2015,4,11,1528.0,35.4
2015,4,12,284.0,30.9
2015,4,13,1143.0,38.4
2015,4,14,1457.0,37.5
2015,4,15,1154.0,36.3
2015,4,16,1345.0,37.5
2015,4,17,1217.0,38.4
2015,4,18,1462.0,35.6
2015,4,19,348.0,30.7
2015,4,20,895.0,41.1
2015,4,21,1533.0,35.4
2015,4,22,1267.0,36.0
2015,4,23,1524.0,32.7
2015,4,24,1809.0,27.8
2015,4,25,1938.0,26.5
2015,4,26,975.0,18.7
2015,4,27,1098.0,28.8
2015,4,28,2528.0,23.0
2015,4,29,2251.0,20.1
2015,4,30,1674.0,22.9
2015,5,1,1989.0,23.0
2015,5,2,1678.0,24.9
2015,5,3,424.0,24.8
2015,5,4,1303.0,27.4
2015,5,5,1640.0,29.0
2015,5,6,1485.0,26.9
2015,5,7,1271.0,28.6
2015,5,8,1300.0,26.4
2015,5,9,1507.0,25.4
2015,5,10,404.0,24.1
2015,5,11,1345.0,28.5
2015,5,12,1348.0,29.5
2015,5,13,1100.0,31.2
2015,5,14,930.0,32.1
2015,5,15,1281.0,28.3
2015,5,16,1502.0,29.3
2015,5,17,408.0,27.2
2015,5,18,1012.0,27.7
2015,5,19,1230.0,27.1
2015,5,20,1018.0,28.0
2015,5,21,748.0,29.5
2015,5,22,971.0,29.1
2015,5,23,853.0,30.9
2015,5,24,137.0,24.8
2015,5,25,498.0,44.6
2015,5,26,690.0,44.2
2015,5,27,579.0,44.1
2015,5,28,559.0,42.8
2015,5,29,470.0,48.5
2015,5,30,434.0,54.0
2015,5,31,45.0,55.0
2015,6,1,302.0,72.6
2015,6,2,529.0,66.0
2015,6,3,504.0,66.6
