year,month,day,weight,price
2015,1,1,2080.0,76.8
2015,1,2,1367.0,87.9
2015,1,3,1529.0,100.1
2015,1,4,1717.0,101.9
2015,1,5,20.5,64.8
2015,1,6,2001.0,92.7
2015,1,7,1587.0,89.4
2015,1,8,1608.0,77.9
2015,1,9,1469.0,80.0
2015,1,10,1994.0,74.9
2015,1,11,2065.0,68.5
2015,1,12,76.0,51.5
2015,1,13,2034.0,67.5
2015,1,14,1875.0,63.9
2015,1,15,1529.0,71.2
2015,1,16,1703.0,69.1
2015,1,17,2154.0,71.4
2015,1,18,2085.0,62.5
2015,1,19,2085.0,62.5
2015,1,20,2502.0,62.7
2015,1,21,2205.0,58.3
2015,1,22,1737.0,60.0
2015,1,23,1963.0,63.7
2015,1,24,2194.5,64.7
2015,1,25,2191.0,61.5
2015,1,26,2191.0,61.5
2015,1,27,1914.0,68.2
2015,1,28,1543.0,56.5
2015,1,29,1857.0,54.4
2015,1,30,1974.0,55.3
2015,1,31,2282.0,57.9
2015,2,1,2279.0,53.4
2015,2,2,2279.0,53.4
2015,2,3,2247.0,58.6
2015,2,4,2267.0,57.1
2015,2,5,2010.0,49.6
2015,2,6,1821.0,58.9
2015,2,7,2328.0,52.9
2015,2,8,2350.0,54.8
2015,2,9,2350.0,54.8
2015,2,10,2223.0,59.8
2015,2,11,1909.0,60.2
2015,2,12,2080.0,57.0
2015,2,13,1813.0,63.8
2015,2,14,2337.0,69.6
2015,2,15,1940.0,78.4
2015,2,16,1908.0,108.9
2015,2,17,2854.0,129.0
2015,2,18,1455.0,100.7
2015,2,19,1455.0,100.7
2015,2,20,1455.0,100.7
2015,2,21,1455.0,100.7
2015,2,22,24.0,45.0
2015,2,23,24.0,45.0
2015,2,24,2759.0,70.6
2015,2,25,3134.0,50.5
2015,2,26,3580.0,46.6
2015,2,27,506.0,79.3
2015,2,28,3180.0,55.2
2015,3,1,2655.0,59.1
2015,3,2,86.0,19.3
2015,3,3,3341.0,54.1
2015,3,4,3393.0,52.3
2015,3,5,3832.0,47.1
2015,3,6,3788.0,49.3
2015,3,7,3788.0,49.3
2015,3,8,68.0,25.1
2015,3,9,68.0,25.1
2015,3,10,3710.5,49.7
2015,3,11,2964.0,45.5
2015,3,12,3161.5,41.3
2015,3,13,2964.0,49.6
2015,3,14,3553.0,52.4
2015,3,15,3617.0,51.6
2015,3,16,3617.0,51.6
2015,3,17,3216.0,56.3
2015,3,18,3075.5,52.5
2015,3,19,3350.0,46.1
2015,3,20,3702.0,46.1
2015,3,21,3540.5,50.5
2015,3,22,3683.0,49.5
2015,3,23,109.0,29.1
2015,3,24,3930.5,42.2
2015,3,25,2860.0,46.8
2015,3,26,3183.5,42.3
2015,3,27,3141.0,43.7
2015,3,28,3549.5,54.5
2015,3,29,3475.0,58.6
2015,3,30,156.0,32.9
2015,3,31,3463.0,60.9
2015,4,1,3581.0,58.3
2015,4,2,3330.0,59.9
2015,4,3,3871.5,57.2
2015,4,4,3939.0,60.9
2015,4,5,382.0,76.0
2015,4,6,382.0,76.0
2015,4,7,3087.0,49.8
2015,4,8,3197.5,51.7
2015,4,9,3090.0,55.7
2015,4,10,3206.0,52.9
2015,4,11,3461.0,56.9
2015,4,12,3369.0,56.6
2015,4,13,3369.0,56.6
2015,4,14,3932.0,54.2
2015,4,15,3265.0,55.1
2015,4,16,2737.0,60.5
2015,4,17,2532.5,68.2
2015,4,18,2751.0,71.2
2015,4,19,2853.0,69.0
2015,4,20,218.5,34.1
2015,4,21,3614.0,55.9
2015,4,22,2700.5,51.8
2015,4,23,3191.5,50.4
2015,4,24,3175.0,54.3
2015,4,25,3319.0,56.3
2015,4,26,2716.0,57.7
2015,4,27,189.5,26.7
2015,4,28,3192.5,54.1
2015,4,29,3111.5,47.8
2015,4,30,3029.0,51.6
2015,5,1,2782.0,54.5
2015,5,2,2842.5,61.8
2015,5,3,3119.0,52.4
2015,5,4,212.0,23.0
2015,5,5,3487.5,47.2
2015,5,6,3155.5,44.2
2015,5,7,3106.5,44.0
2015,5,8,3077.0,56.3
2015,5,9,3416.0,57.0
2015,5,10,3207.0,57.5
2015,5,11,136.0,20.6
2015,5,12,3537.0,47.6
2015,5,13,3134.0,37.9
2015,5,14,3061.5,42.6
2015,5,15,3151.5,43.7
2015,5,16,2849.0,47.5
2015,5,17,2346.0,58.0
2015,5,18,26.0,32.5
2015,5,19,2501.0,60.2
2015,5,20,2177.5,60.4
2015,5,21,2251.0,56.8
2015,5,22,2174.0,63.6
2015,5,23,2821.0,57.1
2015,5,24,2800.0,49.2
2015,5,25,10.0,35.0
2015,5,26,2946.0,49.1
2015,5,27,2692.0,51.4
2015,5,28,2334.0,53.4
2015,5,29,2189.0,64.8
2015,5,30,2382.0,63.3
2015,5,31,2773.0,65.2
2015,6,1,2773.0,65.2
2015,6,2,2957.0,63.6
2015,6,3,2704.0,59.2
2015,6,4,2667.0,61.7
2015,6,5,2287.0,65.2
2015,6,6,2384.0,69.9
2015,6,7,2510.0,69.8
2015,6,8,2510.0,69.8
2015,6,9,3194.0,59.7
2015,6,10,2771.0,56.6
2015,6,11,2111.0,62.6
2015,6,12,2514.0,57.0
2015,6,13,2489.0,66.9
2015,6,14,2778.0,60.5
2015,6,15,2778.0,60.5
2015,6,16,3387.0,52.3
2015,6,17,3022.0,49.7
2015,6,18,2653.5,52.4
2015,6,19,3213.0,45.5
2015,6,20,3322.0,52.2
2015,6,21,3322.0,52.2
2015,6,22,92.0,35.7
2015,6,23,3612.0,47.0
2015,6,24,3208.5,42.1
2015,6,25,2622.5,47.8
2015,6,26,2875.5,49.3
2015,6,27,2777.5,50.3
2015,6,28,2805.0,54.7
2015,6,29,93.0,26.1
2015,6,30,3222.0,49.9
2015,7,1,2950.0,43.7
2015,7,2,2734.0,46.7
2015,7,3,2269.0,51.3
2015,7,4,2216.0,60.9
2015,7,5,2458.0,63.6
2015,7,6,126.0,30.3
2015,7,7,2694.0,65.0
2015,7,8,2788.0,53.2
2015,7,9,2661.0,56.0
2015,7,10,2512.0,53.6
2015,7,11,2470.0,59.3
2015,7,12,2739.0,69.4
2015,7,13,129.5,29.3
2015,7,14,2644.5,53.5
2015,7,15,2774.0,50.6
2015,7,16,2742.0,48.4
2015,7,17,2416.5,58.1
2015,7,18,2700.0,61.1
2015,7,19,3135.0,59.6
2015,7,20,119.0,39.0
2015,7,21,3270.0,53.0
2015,7,22,3002.5,45.8
2015,7,23,2659.0,47.3
2015,7,24,2506.0,56.9
2015,7,25,2659.5,63.0
2015,7,26,2551.0,63.7
2015,7,27,108.0,42.2
2015,7,28,2988.0,57.1
2015,7,29,3231.5,43.3
2015,7,30,2806.0,49.6
2015,7,31,2467.0,58.6
2015,8,1,3105.5,55.3
2015,8,2,3228.0,51.0
2015,8,3,3228.0,51.0
2015,8,4,3009.0,56.4
2015,8,5,2788.0,50.9
2015,8,6,2730.0,67.0
2015,8,7,2894.0,69.9
2015,8,8,2836.0,42.8
2015,8,9,1119.0,69.6
2015,8,10,124.0,46.5
2015,8,11,3232.0,56.2
2015,8,12,2916.0,59.0
2015,8,13,2822.0,58.1
2015,8,14,2789.0,67.9
2015,8,15,3350.5,70.8
2015,8,16,3382.0,61.9
2015,8,17,155.0,55.3
2015,8,18,3779.0,63.8
2015,8,19,3344.0,57.4
2015,8,20,3214.0,56.2
2015,8,21,3323.0,61.7
2015,8,22,3706.0,66.1
2015,8,23,2864.0,72.0
2015,8,24,194.5,31.2
2015,8,25,3921.5,62.0
2015,8,26,3986.0,58.2
2015,8,27,3819.0,57.3
2015,8,28,4375.0,65.5
2015,8,29,4375.0,65.5
2015,8,30,99.0,47.9
2015,8,31,164.0,39.9
2015,9,1,5234.5,62.7
2015,9,2,4133.5,67.8
2015,9,3,3653.0,75.2
2015,9,4,3521.0,85.5
2015,9,5,3692.0,85.6
2015,9,6,3559.0,82.9
2015,9,7,154.5,72.4
2015,9,8,3915.0,86.8
2015,9,9,3715.0,79.1
2015,9,10,3134.0,77.5
2015,9,11,2680.0,84.9
2015,9,12,2587.0,91.5
2015,9,13,2600.0,92.9
2015,9,14,165.0,42.1
2015,9,15,3417.0,81.3
2015,9,16,3410.0,67.6
2015,9,17,3311.5,62.0
2015,9,18,3119.5,57.3
2015,9,19,3523.0,62.8
2015,9,20,3770.0,63.8
2015,9,21,188.0,30.2
2015,9,22,4159.0,58.3
2015,9,23,3816.0,51.0
2015,9,24,3697.0,42.8
2015,9,25,3809.0,43.7
2015,9,26,4148.0,48.4
2015,9,27,3808.0,52.2
2015,9,28,3808.0,52.2
2015,9,29,242.0,40.7
2015,9,30,2875.0,53.6
2015,10,1,4515.5,47.1
2015,10,2,4372.5,48.0
2015,10,3,5568.0,56.4
2015,10,4,4231.0,66.8
2015,10,5,170.0,48.6
2015,10,6,3957.0,65.6
2015,10,7,4089.0,61.5
2015,10,8,3717.5,69.0
2015,10,9,3768.5,73.9
2015,10,10,3418.0,76.9
2015,10,11,3227.0,81.1
2015,10,12,132.5,60.3
2015,10,13,3397.5,76.6
2015,10,14,3191.0,75.9
2015,10,15,2734.0,84.4
2015,10,16,2448.5,85.4
2015,10,17,2774.5,93.2
2015,10,18,2746.0,95.9
2015,10,19,120.5,84.2
2015,10,20,3012.0,90.1
2015,10,21,3017.5,74.3
2015,10,22,2746.5,74.4
2015,10,23,2883.0,67.2
2015,10,24,3270.0,69.6
2015,10,25,2919.0,74.6
2015,10,26,151.0,40.9
2015,10,27,3079.5,68.8
2015,10,28,2487.0,72.9
2015,10,29,2591.5,74.8
2015,10,30,2546.0,78.4
2015,10,31,3027.0,78.6
2015,11,1,2453.0,77.2
2015,11,2,110.0,51.4
2015,11,3,3069.0,74.4
2015,11,4,2801.0,63.4
2015,11,5,2837.0,62.0
2015,11,6,2918.0,62.6
2015,11,7,2796.0,66.7
2015,11,8,2104.0,70.6
2015,11,9,112.0,25.2
2015,11,10,2895.0,56.7
2015,11,11,2539.0,63.9
2015,11,12,2374.0,56.7
2015,11,13,2059.0,68.2
2015,11,14,2120.0,73.7
2015,11,15,2103.0,75.4
2015,11,16,85.5,42.4
2015,11,17,2295.0,74.5
2015,11,18,2102.0,67.5
2015,11,19,2167.0,70.8
2015,11,20,2059.0,69.8
2015,11,21,2353.5,73.5
2015,11,22,2068.0,68.6
2015,11,23,122.0,37.3
2015,11,24,2420.5,66.9
2015,11,25,2215.0,70.3
2015,11,26,2411.0,69.0
2015,11,27,2144.0,75.5
2015,11,28,2243.0,82.2
2015,11,29,1754.0,88.9
2015,11,30,83.0,43.0
2015,12,1,1981.0,88.1
2015,12,2,1707.0,82.8
2015,12,3,1862.0,77.6
2015,12,4,1809.0,75.4
2015,12,5,1816.0,80.4
2015,12,6,1721.0,78.7
2015,12,7,109.0,51.5
2015,12,8,1920.0,71.4
2015,12,9,1789.0,69.1
2015,12,10,1697.5,80.5
2015,12,11,1436.5,80.3
2015,12,12,2036.5,81.1
2015,12,13,1872.0,84.8
2015,12,14,121.5,44.4
2015,12,15,2734.0,76.4
2015,12,16,2292.0,71.5
2015,12,17,2068.5,74.9
2015,12,18,2236.5,76.1
2015,12,19,2728.0,71.7
2015,12,20,2234.0,72.8
2015,12,21,112.0,39.0
2015,12,22,1752.0,80.7
2015,12,23,1735.0,76.2
2015,12,24,2022.0,78.7
2015,12,25,2340.0,65.7
2015,12,26,1398.5,83.3
2015,12,27,2637.0,67.8
2015,12,28,2637.0,67.8
2015,12,29,2687.5,66.3
2015,12,30,2616.0,67.9
2015,12,31,2303.0,74.7
2016,1,1,2078.0,73.0
2016,1,2,2562.5,72.2
2016,1,3,1885.0,82.6
2016,1,4,153.0,45.6
2016,1,5,2462.0,73.7
2016,1,6,2658.5,59.3
2016,1,7,2625.0,56.7
2016,1,8,2870.0,54.7
2016,1,9,3112.5,55.9
2016,1,10,2829.0,60.4
2016,1,11,170.0,34.5
2016,1,12,3002.0,58.4
2016,1,13,2554.0,52.9
2016,1,14,2576.5,54.4
2016,1,15,2446.0,58.2
2016,1,16,2893.0,60.3
2016,1,17,2595.0,60.2
2016,1,18,2595.0,60.2
2016,1,19,2810.0,56.9
2016,1,20,2331.5,62.7
2016,1,21,2060.0,63.4
2016,1,22,2050.0,69.9
2016,1,23,2301.0,65.9
2016,1,24,2229.0,62.3
2016,1,25,119.0,64.7
2016,1,26,2022.0,90.3
2016,1,27,2295.0,67.6
2016,1,28,2020.0,72.6
2016,1,29,1923.0,82.8
2016,1,30,1850.5,87.4
2016,1,31,2025.0,70.0
2016,2,1,664.0,92.9
2016,2,2,2293.0,78.8
2016,2,3,2267.5,88.6
2016,2,4,2128.0,104.5
2016,2,5,3078.5,110.2
2016,2,6,3971.0,111.5
2016,2,7,1785.0,78.4
2016,2,8,1785.0,78.4
2016,2,9,1785.0,78.4
2016,2,10,1785.0,78.4
2016,2,11,100.0,68.4
2016,2,12,69.0,89.0
2016,2,13,1917.5,130.4
2016,2,14,2288.0,124.8
2016,2,15,154.5,49.7
2016,2,16,154.5,49.7
2016,2,17,2725.0,98.1
2016,2,18,2332.0,101.8
2016,2,19,2152.5,98.2
2016,2,20,2395.0,115.2
2016,2,21,3138.0,102.7
2016,2,22,3138.0,102.7
2016,2,23,3138.0,102.7
2016,2,24,191.5,52.7
2016,2,25,3289.5,79.9
2016,2,26,2520.0,76.7
2016,2,27,3121.5,74.3
2016,2,28,2723.0,69.9
2016,2,29,34.0,64.5
2016,3,1,2302.0,86.4
2016,3,2,2132.5,82.9
