year,month,day,weight,price
2015,1,1,3733.0,100.8
2015,1,2,3636.0,93.1
2015,1,3,3050.0,97.7
2015,1,4,4100.0,95.0
2015,1,5,4100.0,95.0
2015,1,6,6664.0,92.0
2015,1,7,5943.0,81.2
2015,1,8,5036.0,82.7
2015,1,9,4894.0,76.5
2015,1,10,4559.0,85.9
2015,1,11,4236.0,86.5
2015,1,12,4236.0,86.5
2015,1,13,5514.0,78.5
2015,1,14,6460.0,66.1
2015,1,15,5322.0,65.2
2015,1,16,5486.0,62.8
2015,1,17,4724.0,67.6
2015,1,18,3971.0,81.0
2015,1,19,3971.0,81.0
2015,1,20,3519.0,97.4
2015,1,21,4172.0,76.4
2015,1,22,5367.0,69.9
2015,1,23,6411.0,65.5
2015,1,24,5671.0,67.5
2015,1,25,5743.0,67.3
2015,1,26,5743.0,67.3
2015,1,27,6321.0,64.5
2015,1,28,5700.0,63.9
2015,1,29,4510.0,75.6
2015,1,30,5091.0,68.9
2015,1,31,7493.0,58.3
2015,2,1,7780.0,55.9
2015,2,2,7780.0,55.9
2015,2,3,6837.0,54.5
2015,2,4,6207.0,60.2
2015,2,5,4659.0,61.9
2015,2,6,4274.0,59.6
2015,2,7,4581.0,64.4
2015,2,8,5376.0,68.5
2015,2,9,5376.0,68.5
2015,2,10,4281.0,82.6
2015,2,11,2800.0,95.3
2015,2,12,2795.0,97.2
2015,2,13,3165.0,86.9
2015,2,14,2394.0,86.1
2015,2,15,3945.0,90.2
2015,2,16,5124.0,88.5
2015,2,17,6585.0,83.6
2015,2,18,3731.0,90.5
2015,2,19,3731.0,90.5
2015,2,20,3731.0,90.5
2015,2,21,3731.0,90.5
2015,2,22,3731.0,90.5
2015,2,23,3731.0,90.5
2015,2,24,6124.0,69.7
2015,2,25,3483.0,76.7
2015,2,26,3310.0,79.7
2015,2,27,443.0,72.7
2015,2,28,3857.0,67.2
2015,3,1,2355.0,87.6
2015,3,2,2355.0,87.6
2015,3,3,2546.0,85.9
2015,3,4,2121.0,83.2
2015,3,5,1965.0,95.8
2015,3,6,3056.0,81.8
2015,3,7,311.0,45.0
2015,3,8,311.0,45.0
2015,3,9,311.0,45.0
2015,3,10,3591.0,85.9
2015,3,11,2964.0,95.6
2015,3,12,2825.0,84.6
2015,3,13,3003.0,79.5
2015,3,14,3933.0,75.1
2015,3,15,5052.0,67.7
2015,3,16,5052.0,67.7
2015,3,17,3301.0,89.2
2015,3,18,2659.0,84.3
2015,3,19,4246.0,62.1
2015,3,20,2822.0,75.3
2015,3,21,2571.0,85.8
2015,3,22,3150.0,82.0
2015,3,23,3150.0,82.0
2015,3,24,2190.0,90.4
2015,3,25,1790.0,101.8
2015,3,26,2236.0,84.9
2015,3,27,2162.0,94.6
2015,3,28,2788.0,89.9
2015,3,29,3623.0,79.7
2015,3,30,3623.0,79.7
2015,3,31,2659.0,88.4
2015,4,1,1923.0,91.9
2015,4,2,1509.0,110.4
2015,4,3,2502.0,94.2
2015,4,4,3339.0,87.3
2015,4,5,413.0,79.2
2015,4,6,413.0,79.2
2015,4,7,2823.0,88.1
2015,4,8,2364.0,96.3
2015,4,9,1731.0,97.7
2015,4,10,2423.0,93.9
2015,4,11,2200.0,102.9
2015,4,12,2122.0,108.0
2015,4,13,2122.0,108.0
2015,4,14,1949.0,109.5
2015,4,15,1688.0,109.8
2015,4,16,1557.0,101.7
2015,4,17,1507.0,113.4
2015,4,18,1733.0,107.5
2015,4,19,2111.0,106.7
2015,4,20,2111.0,106.7
2015,4,21,2018.0,108.9
2015,4,22,1836.0,104.3
2015,4,23,1291.0,118.3
2015,4,24,1594.0,119.4
2015,4,25,1526.0,120.7
2015,4,26,1685.0,122.1
2015,4,27,1685.0,122.1
2015,4,28,2017.0,102.4
2015,4,29,1558.0,113.8
2015,4,30,1721.0,108.8
2015,5,1,2906.0,82.9
2015,5,2,2382.0,93.0
2015,5,3,2571.0,85.5
2015,5,4,2571.0,85.5
2015,5,5,1766.0,101.5
2015,5,6,2029.0,94.2
2015,5,7,1504.0,120.7
2015,5,8,1496.0,121.0
2015,5,9,1471.0,120.5
2015,5,10,1695.0,111.5
2015,5,11,1695.0,111.5
2015,5,12,1536.0,109.0
2015,5,13,1338.0,120.4
2015,5,14,1232.0,123.7
2015,5,15,1382.0,125.5
2015,5,16,1463.0,126.2
2015,5,17,1606.0,127.3
2015,5,18,1606.0,127.3
2015,5,19,1471.0,120.6
2015,5,20,1332.0,115.4
2015,5,21,1865.0,84.6
2015,5,22,2766.0,72.3
2015,5,23,2597.0,79.4
2015,5,24,2679.0,75.0
2015,5,25,2679.0,75.0
2015,5,26,2351.0,81.6
2015,5,27,1925.5,94.7
2015,5,28,1691.0,95.9
2015,5,29,1432.0,121.7
2015,5,30,1954.0,101.1
2015,5,31,2286.0,89.4
2015,6,1,2286.0,89.4
2015,6,2,1803.0,104.8
2015,6,3,1393.2,121.7
2015,6,4,1974.0,96.9
2015,6,5,1599.0,114.0
2015,6,6,1881.0,122.1
2015,6,7,1702.0,117.4
2015,6,8,1702.0,117.4
2015,6,9,1683.0,111.5
2015,6,10,1627.0,114.4
2015,6,11,1726.0,105.8
2015,6,12,1638.0,110.9
2015,6,13,1702.0,104.5
2015,6,14,1965.0,99.3
2015,6,15,1965.0,99.3
2015,6,16,1824.0,103.7
2015,6,17,1554.0,99.0
2015,6,18,1304.0,109.6
2015,6,19,1695.0,106.6
2015,6,20,2132.0,112.9
2015,6,21,2132.0,112.9
2015,6,22,2132.0,112.9
2015,6,23,2097.0,97.6
2015,6,24,1741.0,99.7
2015,6,25,1815.0,88.5
2015,6,26,2030.0,83.3
2015,6,27,1866.0,84.8
2015,6,28,2243.0,87.8
2015,6,29,2243.0,87.8
2015,6,30,2790.0,75.5
2015,7,1,2530.0,72.2
2015,7,2,1564.0,91.5
2015,7,3,2342.0,74.6
2015,7,4,2200.0,79.4
2015,7,5,1898.0,85.1
2015,7,6,1898.0,85.1
2015,7,7,2034.0,85.9
2015,7,8,2310.0,76.7
2015,7,9,1836.0,87.6
2015,7,10,2214.0,76.3
2015,7,11,1618.0,81.2
2015,7,12,1677.0,98.1
2015,7,13,1677.0,98.1
2015,7,14,1930.0,93.5
2015,7,15,1821.0,95.7
2015,7,16,1931.0,86.8
2015,7,17,1980.0,88.8
2015,7,18,2498.0,80.1
2015,7,19,2682.0,71.7
2015,7,20,2682.0,71.7
2015,7,21,1992.0,85.1
2015,7,22,2084.0,82.5
2015,7,23,1754.0,81.6
2015,7,24,2243.0,78.0
2015,7,25,2504.0,67.7
2015,7,26,2633.0,80.3
2015,7,27,2633.0,80.3
2015,7,28,2489.0,70.0
2015,7,29,2369.0,73.4
2015,7,30,2366.0,74.7
2015,7,31,2515.0,62.3
2015,8,1,2664.0,67.2
2015,8,2,3145.0,67.1
2015,8,3,3145.0,67.1
2015,8,4,3134.0,68.8
2015,8,5,1955.0,85.2
2015,8,6,1756.0,97.0
2015,8,7,1655.0,96.3
2015,8,8,1837.0,80.4
2015,8,9,1064.0,82.5
2015,8,10,1064.0,82.5
2015,8,11,2455.0,78.3
2015,8,12,2982.0,63.6
2015,8,13,2429.0,65.1
2015,8,14,1917.0,76.4
2015,8,15,1876.0,83.7
2015,8,16,1957.0,91.3
2015,8,17,1957.0,91.3
2015,8,18,2187.0,95.1
2015,8,19,1867.0,95.3
2015,8,20,1525.0,100.8
2015,8,21,1967.0,85.2
2015,8,22,1743.0,93.6
2015,8,23,1746.0,103.8
2015,8,24,1746.0,103.8
2015,8,25,2147.0,92.0
2015,8,26,2215.0,99.1
2015,8,27,2554.0,82.9
2015,8,28,2769.0,83.1
