year,month,day,weight,price
2015,1,1,349.0,103.6
2015,1,2,182.0,103.6
2015,1,3,226.0,92.9
2015,1,4,218.0,107.7
2015,1,5,218.0,107.7
2015,1,6,257.0,99.8
2015,1,7,230.0,100.5
2015,1,8,215.0,98.4
2015,1,9,252.0,106.6
2015,1,10,205.0,110.8
2015,1,11,290.0,110.7
2015,1,12,290.0,110.7
2015,1,13,428.0,101.2
2015,1,14,335.0,91.2
2015,1,15,204.0,105.5
2015,1,16,283.0,107.6
2015,1,17,341.0,109.8
2015,1,18,264.0,119.3
2015,1,19,264.0,119.3
2015,1,20,265.0,111.6
2015,1,21,216.0,108.5
2015,1,22,195.0,112.2
2015,1,23,195.0,110.3
2015,1,24,207.0,110.9
2015,1,25,321.0,109.7
2015,1,26,321.0,109.7
2015,1,27,155.0,100.6
2015,1,28,179.0,103.8
2015,1,29,165.0,115.5
2015,1,30,191.0,101.7
2015,1,31,258.0,105.9
2015,2,1,187.0,108.5
2015,2,2,187.0,108.5
2015,2,3,148.0,106.0
2015,2,4,131.0,114.3
2015,2,5,217.0,105.4
2015,2,6,251.0,107.7
2015,2,7,235.0,110.3
2015,2,8,218.0,101.8
2015,2,9,218.0,101.8
2015,2,10,241.0,112.0
2015,2,11,200.0,119.7
2015,2,12,212.0,121.8
2015,2,13,272.0,122.5
2015,2,14,221.0,134.9
2015,2,15,449.0,116.6
2015,2,16,205.0,133.5
2015,2,17,279.0,125.6
2015,2,18,146.0,106.7
2015,2,19,146.0,106.7
2015,2,20,146.0,106.7
2015,2,21,146.0,106.7
2015,2,22,146.0,106.7
2015,2,23,146.0,106.7
2015,2,24,208.0,109.3
2015,2,25,164.0,77.2
2015,2,26,163.0,122.0
2015,2,27,60.0,127.5
2015,2,28,196.0,103.4
2015,3,1,172.0,116.9
2015,3,2,172.0,116.9
2015,3,3,304.0,110.7
2015,3,4,235.0,98.3
2015,3,5,193.0,140.5
2015,3,6,155.0,137.5
2015,3,7,155.0,137.5
2015,3,8,155.0,137.5
2015,3,9,155.0,137.5
2015,3,10,417.0,103.1
2015,3,11,262.0,111.2
2015,3,12,250.0,105.6
2015,3,13,211.0,110.5
2015,3,14,131.0,108.3
2015,3,15,249.0,111.9
2015,3,16,249.0,111.9
2015,3,17,300.0,109.9
2015,3,18,271.0,107.6
2015,3,19,226.0,108.4
2015,3,20,296.0,106.6
2015,3,21,313.0,106.5
2015,3,22,328.0,109.6
2015,3,23,328.0,109.6
2015,3,24,320.0,107.3
2015,3,25,323.0,106.3
2015,3,26,300.0,105.7
2015,3,27,327.0,107.7
2015,3,28,315.0,109.1
2015,3,29,282.0,111.4
2015,3,30,282.0,111.4
2015,3,31,519.0,98.7
2015,4,1,874.0,87.6
2015,4,2,983.0,83.4
2015,4,3,701.0,86.4
2015,4,4,326.0,106.3
2015,4,5,30.0,110.0
2015,4,6,30.0,110.0
2015,4,7,1252.0,69.3
2015,4,8,631.0,82.0
2015,4,9,592.0,81.7
2015,4,10,385.0,91.7
2015,4,11,373.0,95.1
2015,4,12,459.0,89.1
2015,4,13,459.0,89.1
2015,4,14,579.0,95.0
2015,4,15,475.0,96.0
2015,4,16,194.0,102.9
2015,4,17,396.0,101.6
2015,4,18,283.0,104.6
2015,4,19,331.0,103.1
2015,4,20,331.0,103.1
2015,4,21,334.0,99.1
2015,4,22,316.0,90.3
2015,4,23,392.0,102.0
2015,4,24,413.0,98.1
2015,4,25,517.0,99.3
2015,4,26,521.0,99.7
2015,4,27,521.0,99.7
2015,4,28,902.0,83.3
2015,4,29,870.0,73.7
2015,4,30,856.0,74.0
2015,5,1,857.0,73.3
2015,5,2,700.0,74.1
2015,5,3,1005.0,73.9
2015,5,4,1005.0,73.9
2015,5,5,1029.0,68.1
2015,5,6,948.0,68.3
2015,5,7,866.0,72.7
2015,5,8,646.0,75.9
2015,5,9,498.0,85.4
2015,5,10,1054.0,68.7
2015,5,11,1054.0,68.7
2015,5,12,715.0,67.8
2015,5,13,666.0,76.2
2015,5,14,672.0,74.2
2015,5,15,349.0,83.9
2015,5,16,791.0,71.8
2015,5,17,974.0,66.6
2015,5,18,974.0,66.6
2015,5,19,828.0,65.3
2015,5,20,730.0,67.0
2015,5,21,1102.0,57.2
2015,5,22,1106.0,60.4
2015,5,23,626.0,78.6
2015,5,24,558.0,72.9
2015,5,25,558.0,72.9
2015,5,26,1532.0,53.6
2015,5,27,1170.0,55.4
2015,5,28,507.0,71.3
2015,5,29,448.0,79.8
2015,5,30,405.0,79.3
2015,5,31,358.0,83.7
2015,6,1,358.0,83.7
2015,6,2,595.0,79.5
2015,6,3,1030.0,72.2
2015,6,4,784.0,71.3
2015,6,5,974.0,67.5
2015,6,6,1020.0,68.4
2015,6,7,571.0,80.6
2015,6,8,571.0,80.6
2015,6,9,1121.0,61.5
2015,6,10,677.0,69.0
2015,6,11,728.0,70.2
2015,6,12,800.0,68.5
2015,6,13,662.0,65.7
2015,6,14,386.0,76.1
2015,6,15,386.0,76.1
2015,6,16,437.0,73.7
2015,6,17,272.0,77.6
2015,6,18,406.0,79.5
2015,6,19,403.0,80.8
2015,6,20,397.0,77.1
2015,6,21,397.0,77.1
2015,6,22,397.0,77.1
2015,6,23,470.0,77.8
2015,6,24,359.0,79.3
2015,6,25,362.0,79.1
2015,6,26,576.0,66.8
2015,6,27,373.0,78.4
2015,6,28,637.0,72.2
2015,6,29,637.0,72.2
2015,6,30,772.0,67.4
2015,7,1,342.0,76.7
2015,7,2,509.0,74.0
2015,7,3,383.0,76.2
2015,7,4,612.0,65.6
2015,7,5,629.0,74.5
2015,7,6,629.0,74.5
2015,7,7,372.0,83.3
2015,7,8,408.0,80.5
2015,7,9,336.0,82.9
2015,7,10,293.0,91.5
2015,7,11,269.0,88.0
2015,7,12,483.0,82.1
2015,7,13,483.0,82.1
2015,7,14,350.0,81.3
2015,7,15,241.0,82.4
2015,7,16,280.0,83.0
2015,7,17,366.0,77.2
2015,7,18,280.0,83.2
2015,7,19,225.0,84.0
2015,7,20,225.0,84.0
2015,7,21,340.0,85.3
2015,7,22,288.0,84.1
2015,7,23,362.0,82.2
2015,7,24,270.0,85.4
2015,7,25,470.0,88.9
2015,7,26,319.0,85.7
2015,7,27,319.0,85.7
2015,7,28,459.0,83.0
2015,7,29,209.0,87.2
2015,7,30,243.0,85.9
2015,7,31,306.0,89.7
2015,8,1,301.0,89.7
2015,8,2,320.0,88.1
2015,8,3,320.0,88.1
2015,8,4,248.0,93.7
2015,8,5,302.0,90.4
2015,8,6,442.0,84.8
2015,8,7,342.0,90.0
2015,8,8,260.0,87.0
2015,8,9,667.0,69.7
2015,8,10,667.0,69.7
2015,8,11,923.0,69.5
2015,8,12,286.0,89.6
2015,8,13,368.0,90.3
2015,8,14,343.0,92.4
2015,8,15,308.0,93.5
2015,8,16,356.0,93.9
2015,8,17,356.0,93.9
2015,8,18,392.0,96.9
2015,8,19,174.0,95.2
2015,8,20,560.0,90.2
2015,8,21,945.0,77.2
2015,8,22,633.0,89.3
2015,8,23,306.0,94.3
2015,8,24,306.0,94.3
2015,8,25,150.0,104.2
2015,8,26,196.0,100.6
2015,8,27,100.0,95.4
2015,8,28,176.0,109.0
2015,8,29,176.0,109.0
2015,8,30,176.0,109.0
2015,8,31,176.0,109.0
2015,9,1,333.0,98.5
2015,9,2,209.0,98.8
2015,9,3,216.0,106.6
2015,9,4,253.0,98.8
2015,9,5,250.0,101.6
2015,9,6,196.0,102.8
2015,9,7,196.0,102.8
2015,9,8,504.0,94.6
2015,9,9,442.0,92.0
2015,9,10,371.0,94.2
2015,9,11,231.0,94.7
2015,9,12,330.0,99.2
2015,9,13,394.0,102.7
2015,9,14,394.0,102.7
2015,9,15,312.0,102.9
2015,9,16,257.0,92.9
2015,9,17,213.0,102.5
2015,9,18,181.0,97.1
2015,9,19,188.0,104.8
2015,9,20,158.0,106.2
2015,9,21,158.0,106.2
2015,9,22,212.0,103.8
2015,9,23,186.0,96.3
2015,9,24,177.0,94.4
2015,9,25,130.0,103.4
2015,9,26,146.0,112.1
2015,9,27,197.0,102.8
2015,9,28,197.0,102.8
2015,9,29,197.0,102.8
2015,9,30,379.0,83.1
2015,10,1,128.0,101.0
2015,10,2,135.0,101.1
2015,10,3,190.0,98.6
2015,10,4,321.0,94.9
2015,10,5,321.0,94.9
2015,10,6,207.0,93.6
2015,10,7,123.0,97.6
2015,10,8,131.0,93.7
2015,10,9,97.0,92.9
2015,10,10,179.0,95.8
2015,10,11,199.0,99.5
2015,10,12,199.0,99.5
2015,10,13,333.0,101.0
2015,10,14,391.0,69.4
2015,10,15,168.0,102.1
2015,10,16,170.0,110.4
2015,10,17,158.0,108.1
2015,10,18,203.0,108.0
2015,10,19,203.0,108.0
2015,10,20,390.0,98.3
2015,10,21,250.0,109.4
2015,10,22,253.0,98.5
2015,10,23,276.0,93.7
2015,10,24,266.0,96.7
2015,10,25,301.0,99.0
2015,10,26,301.0,99.0
2015,10,27,446.0,97.1
2015,10,28,446.0,96.2
2015,10,29,349.0,91.8
2015,10,30,283.0,98.0
2015,10,31,245.0,101.0
2015,11,1,266.0,103.3
2015,11,2,266.0,103.3
2015,11,3,353.0,97.6
2015,11,4,307.0,94.0
2015,11,5,259.0,96.5
2015,11,6,228.0,94.0
2015,11,7,246.0,99.2
2015,11,8,326.0,92.3
2015,11,9,326.0,92.3
2015,11,10,289.0,93.1
2015,11,11,243.0,93.3
2015,11,12,174.0,93.4
2015,11,13,229.0,100.5
2015,11,14,262.0,96.3
2015,11,15,327.0,98.0
2015,11,16,327.0,98.0
2015,11,17,310.0,95.9
2015,11,18,281.0,95.7
2015,11,19,303.0,99.4
2015,11,20,301.0,97.8
2015,11,21,298.0,97.2
2015,11,22,248.0,98.3
2015,11,23,248.0,98.3
2015,11,24,310.0,96.2
2015,11,25,356.0,93.1
2015,11,26,433.0,92.3
2015,11,27,243.0,97.6
2015,11,28,224.0,102.0
2015,11,29,203.0,102.8
2015,11,30,203.0,102.8
2015,12,1,157.0,90.6
2015,12,2,139.0,90.0
2015,12,3,90.0,87.5
2015,12,4,82.0,87.7
2015,12,5,76.0,99.4
2015,12,6,108.0,95.8
2015,12,7,108.0,95.8
2015,12,8,161.0,97.5
2015,12,9,171.0,101.4
2015,12,10,216.0,86.8
2015,12,11,580.0,91.4
2015,12,12,714.0,89.8
2015,12,13,665.0,80.2
2015,12,14,665.0,80.2
2015,12,15,522.0,80.7
2015,12,16,305.0,77.3
2015,12,17,218.0,84.3
2015,12,18,289.0,87.9
2015,12,19,186.0,95.0
2015,12,20,309.0,100.5
2015,12,21,309.0,100.5
2015,12,22,224.0,93.2
2015,12,23,183.0,87.4
2015,12,24,156.0,93.8
2015,12,25,191.0,90.8
2015,12,26,352.0,69.4
2015,12,27,377.0,92.5
2015,12,28,377.0,92.5
2015,12,29,572.0,89.9
2015,12,30,366.0,90.0
2015,12,31,344.0,90.6
2016,1,1,365.0,90.2
2016,1,2,378.0,91.5
2016,1,3,389.0,92.7
2016,1,4,389.0,92.7
2016,1,5,718.0,77.9
2016,1,6,285.0,87.8
2016,1,7,338.0,87.5
2016,1,8,203.0,87.4
2016,1,9,276.0,91.1
2016,1,10,226.0,94.5
2016,1,11,226.0,94.5
2016,1,12,294.0,87.4
2016,1,13,335.0,79.6
2016,1,14,199.0,86.0
2016,1,15,173.0,88.1
2016,1,16,180.0,98.1
2016,1,17,187.0,101.7
2016,1,18,187.0,101.7
2016,1,19,324.0,90.5
2016,1,20,204.0,91.3
2016,1,21,204.0,111.7
2016,1,22,163.0,101.5
2016,1,23,414.0,88.9
2016,1,24,255.0,109.1
2016,1,25,255.0,109.1
2016,1,26,254.0,105.9
2016,1,27,107.0,110.0
2016,1,28,99.0,105.8
2016,1,29,120.0,113.8
2016,1,30,122.0,93.5
2016,1,31,195.0,104.3
2016,2,1,110.0,90.9
2016,2,2,311.0,98.5
2016,2,3,229.0,103.4
2016,2,4,207.0,113.0
2016,2,5,239.0,121.0
2016,2,6,189.0,129.8
2016,2,7,642.0,98.8
2016,2,8,642.0,98.8
2016,2,9,642.0,98.8
2016,2,10,642.0,98.8
2016,2,11,642.0,98.8
2016,2,12,642.0,98.8
2016,2,13,34.0,117.6
2016,2,14,31.0,119.4
2016,2,15,31.0,119.4
2016,2,16,31.0,119.4
2016,2,17,50.0,120.0
2016,2,18,31.0,119.4
2016,2,19,91.0,146.9
2016,2,20,294.0,110.1
2016,2,21,103.0,137.7
2016,2,22,103.0,137.7
2016,2,23,103.0,137.7
2016,2,24,103.0,137.7
2016,2,25,101.0,124.3
2016,2,26,310.0,107.1
2016,2,27,128.0,138.4
2016,2,28,101.0,138.4
2016,2,29,101.0,138.4
2016,3,1,111.0,123.0
2016,3,2,144.0,109.6
2016,3,3,148.0,108.7
2016,3,4,132.0,109.8
2016,3,5,104.0,107.2
2016,3,6,111.0,119.2
2016,3,7,111.0,119.2
2016,3,8,126.0,106.0
2016,3,9,165.0,106.4
2016,3,10,150.0,106.0
2016,3,11,215.0,101.4
2016,3,12,130.0,112.7
2016,3,13,114.0,118.7
2016,3,14,114.0,118.7
2016,3,15,196.0,111.8
2016,3,16,161.0,105.1
2016,3,17,131.0,112.5
2016,3,18,116.0,112.7
2016,3,19,137.0,115.2
2016,3,20,181.0,112.5
2016,3,21,181.0,112.5
2016,3,22,198.0,110.5
2016,3,23,229.0,111.0
2016,3,24,229.0,103.3
2016,3,25,204.0,109.0
2016,3,26,198.0,107.5
2016,3,27,258.0,110.9
2016,3,28,258.0,110.9
2016,3,29,247.0,98.5
2016,3,30,147.0,112.7
2016,3,31,223.0,106.8
