year,month,day,weight,price
2015,1,1,3678.0,74.2
2015,1,2,2992.0,72.7
2015,1,3,3254.0,78.0
2015,1,4,3516.0,74.7
2015,1,5,3516.0,74.7
2015,1,6,3358.0,70.8
2015,1,7,3530.0,71.7
2015,1,8,4018.0,66.8
2015,1,9,3417.0,62.9
2015,1,10,4457.0,65.7
2015,1,11,3648.0,70.9
2015,1,12,3648.0,70.9
2015,1,13,3863.0,70.5
2015,1,14,3271.0,61.8
2015,1,15,2663.0,64.1
2015,1,16,3879.0,67.3
2015,1,17,3974.0,71.1
2015,1,18,3538.0,71.6
2015,1,19,3538.0,71.6
2015,1,20,2522.0,75.1
2015,1,21,2798.0,71.2
2015,1,22,3085.0,75.5
2015,1,23,2994.0,68.5
2015,1,24,2376.0,83.9
2015,1,25,2848.0,76.3
2015,1,26,2848.0,76.3
2015,1,27,2522.0,69.3
2015,1,28,3143.0,64.3
2015,1,29,2926.0,60.0
2015,1,30,3007.0,74.9
2015,1,31,2806.0,78.7
2015,2,1,4453.0,65.6
2015,2,2,4453.0,65.6
2015,2,3,3233.0,75.4
2015,2,4,3780.0,71.6
2015,2,5,3604.0,67.8
2015,2,6,3030.0,71.3
2015,2,7,3696.0,75.0
2015,2,8,4363.0,101.5
2015,2,9,4363.0,101.5
2015,2,10,3892.0,70.1
2015,2,11,3583.0,74.8
2015,2,12,3454.0,78.0
2015,2,13,4039.0,65.3
2015,2,14,3853.0,71.8
2015,2,15,4880.0,74.9
2015,2,16,3709.0,71.9
2015,2,17,4632.0,75.4
2015,2,18,1525.0,68.4
2015,2,19,1525.0,68.4
2015,2,20,1525.0,68.4
2015,2,21,1525.0,68.4
2015,2,22,1525.0,68.4
2015,2,23,1525.0,68.4
2015,2,24,2632.0,77.7
2015,2,25,2723.0,76.9
2015,2,26,3128.0,79.9
2015,2,27,260.0,80.8
2015,2,28,3528.0,75.3
2015,3,1,3661.0,80.5
2015,3,2,3661.0,80.5
2015,3,3,4190.0,67.0
2015,3,4,3378.0,68.7
2015,3,5,4320.0,67.1
2015,3,6,5335.0,72.9
2015,3,7,5335.0,72.9
2015,3,8,5335.0,72.9
2015,3,9,5335.0,72.9
2015,3,10,4081.0,72.4
2015,3,11,4296.0,77.2
2015,3,12,3257.0,74.4
2015,3,13,3151.0,82.5
2015,3,14,3529.0,67.9
2015,3,15,3655.0,73.6
2015,3,16,3655.0,73.6
2015,3,17,3538.0,75.3
2015,3,18,3450.0,76.8
2015,3,19,3389.0,67.5
2015,3,20,3364.0,69.7
2015,3,21,3788.0,68.5
2015,3,22,3892.0,63.8
2015,3,23,3892.0,63.8
2015,3,24,4682.0,64.0
2015,3,25,4496.0,66.6
2015,3,26,3931.0,61.0
2015,3,27,4141.0,58.5
2015,3,28,4553.0,60.5
2015,3,29,4694.0,60.0
2015,3,30,4694.0,60.0
2015,3,31,4695.0,60.6
2015,4,1,5869.0,58.6
2015,4,2,4196.0,59.1
2015,4,3,5067.0,60.3
2015,4,4,6495.0,59.3
2015,4,5,400.0,76.5
2015,4,6,400.0,76.5
2015,4,7,3843.0,51.7
2015,4,8,5136.0,49.7
2015,4,9,4519.0,44.6
2015,4,10,3998.0,60.8
2015,4,11,4079.0,61.3
2015,4,12,3196.0,57.5
2015,4,13,3196.0,57.5
2015,4,14,3436.0,60.4
2015,4,15,2968.0,61.8
2015,4,16,3211.0,65.0
2015,4,17,3497.0,61.6
2015,4,18,3657.0,53.8
2015,4,19,2909.0,62.4
2015,4,20,2909.0,62.4
2015,4,21,3421.0,66.8
2015,4,22,4235.0,57.8
2015,4,23,5995.0,49.1
2015,4,24,3857.0,62.4
2015,4,25,4191.0,63.5
2015,4,26,4003.0,54.1
2015,4,27,4003.0,54.1
2015,4,28,4354.0,55.9
2015,4,29,3581.0,58.0
2015,4,30,5024.0,55.1
2015,5,1,2670.0,61.1
2015,5,2,3181.0,62.4
2015,5,3,4429.0,49.7
2015,5,4,4429.0,49.7
2015,5,5,3949.0,65.2
2015,5,6,3795.0,49.9
2015,5,7,4999.0,54.8
2015,5,8,3581.0,61.0
2015,5,9,5200.0,56.5
2015,5,10,4185.0,67.9
2015,5,11,4185.0,67.9
2015,5,12,4358.0,56.2
2015,5,13,3637.0,52.2
2015,5,14,4245.0,52.3
2015,5,15,4072.0,51.8
2015,5,16,3717.0,52.7
2015,5,17,4203.0,61.4
2015,5,18,4203.0,61.4
2015,5,19,3843.0,55.9
2015,5,20,3288.0,62.6
2015,5,21,3407.0,55.3
2015,5,22,5605.0,45.6
2015,5,23,4363.0,49.2
2015,5,24,4182.0,58.9
2015,5,25,4182.0,58.9
2015,5,26,4716.0,52.0
2015,5,27,5345.0,51.8
2015,5,28,5524.0,48.3
2015,5,29,4517.0,51.7
2015,5,30,5564.0,46.7
2015,5,31,4606.0,49.1
2015,6,1,4606.0,49.1
2015,6,2,5291.0,49.5
2015,6,3,5568.0,51.4
2015,6,4,4772.0,48.1
2015,6,5,4981.0,53.5
2015,6,6,4535.0,56.0
2015,6,7,4366.0,51.9
2015,6,8,4366.0,51.9
2015,6,9,5355.0,51.8
2015,6,10,3418.0,57.2
2015,6,11,3869.0,53.8
2015,6,12,3943.0,55.7
2015,6,13,4027.0,52.8
2015,6,14,4123.0,52.6
2015,6,15,4123.0,52.6
2015,6,16,3787.0,50.5
2015,6,17,3781.0,55.9
2015,6,18,3827.0,55.1
2015,6,19,4175.0,57.2
2015,6,20,4821.0,52.9
2015,6,21,4821.0,52.9
2015,6,22,4821.0,52.9
2015,6,23,3626.0,56.2
2015,6,24,3361.0,57.7
