year,month,day,weight,price
2015,1,1,3870.0,116.4
2015,1,2,3935.0,116.9
2015,1,3,3900.0,115.5
2015,1,4,6501.0,118.3
2015,1,5,6501.0,118.3
2015,1,6,4697.0,121.1
2015,1,7,3362.0,122.4
2015,1,8,3120.0,124.3
2015,1,9,3701.0,118.9
2015,1,10,3562.0,122.9
2015,1,11,3922.0,123.7
2015,1,12,3922.0,123.7
2015,1,13,4030.0,122.3
2015,1,14,3264.0,121.6
2015,1,15,2707.0,122.6
2015,1,16,3670.0,121.3
2015,1,17,3650.0,119.2
2015,1,18,4563.0,121.0
2015,1,19,4563.0,121.0
2015,1,20,3376.0,122.2
2015,1,21,3024.0,120.5
2015,1,22,3104.0,119.7
2015,1,23,3583.0,121.0
2015,1,24,3766.0,122.8
2015,1,25,4291.0,120.2
2015,1,26,4291.0,120.2
2015,1,27,3420.0,124.0
2015,1,28,3154.0,120.1
2015,1,29,3539.0,124.9
2015,1,30,3402.0,121.1
2015,1,31,4174.0,122.6
2015,2,1,3893.0,117.7
2015,2,2,3893.0,117.7
2015,2,3,4178.0,118.5
2015,2,4,3923.0,122.4
2015,2,5,5779.0,117.1
2015,2,6,3184.0,117.7
2015,2,7,4202.0,120.7
2015,2,8,3826.0,117.2
2015,2,9,3826.0,117.2
2015,2,10,4193.0,122.5
2015,2,11,3611.0,123.2
2015,2,12,3275.0,125.0
2015,2,13,3370.0,124.6
2015,2,14,1721.0,121.9
2015,2,15,7165.0,114.6
2015,2,16,4361.0,117.1
2015,2,17,7950.0,115.0
2015,2,18,5267.0,113.2
2015,2,19,5267.0,113.2
2015,2,20,5267.0,113.2
2015,2,21,5267.0,113.2
2015,2,22,5267.0,113.2
2015,2,23,5267.0,113.2
2015,2,24,4593.0,120.4
2015,2,25,4687.0,113.4
2015,2,26,3569.0,122.9
2015,2,27,236.0,135.6
2015,2,28,4140.0,117.9
2015,3,1,4074.0,120.5
2015,3,2,4074.0,120.5
2015,3,3,3953.0,122.3
2015,3,4,4634.0,117.2
2015,3,5,4802.0,118.3
2015,3,6,4573.0,113.9
2015,3,7,4573.0,113.9
2015,3,8,4573.0,113.9
2015,3,9,4573.0,113.9
2015,3,10,4544.0,117.7
2015,3,11,4151.0,112.9
2015,3,12,3207.0,118.4
2015,3,13,2610.0,113.0
2015,3,14,2939.0,111.2
2015,3,15,3513.0,117.8
2015,3,16,3513.0,117.8
2015,3,17,3600.0,113.1
2015,3,18,2773.0,112.8
2015,3,19,2476.0,113.3
2015,3,20,2967.0,112.2
2015,3,21,4961.0,113.1
2015,3,22,3589.0,111.5
2015,3,23,3589.0,111.5
2015,3,24,3412.0,109.1
2015,3,25,3103.0,110.9
2015,3,26,4076.0,109.9
2015,3,27,2777.0,111.4
2015,3,28,2879.0,108.0
2015,3,29,3466.0,111.2
2015,3,30,3466.0,111.2
2015,3,31,3994.0,108.5
2015,4,1,3666.0,107.4
2015,4,2,4307.0,110.8
2015,4,3,3661.0,109.2
2015,4,4,5145.0,110.0
2015,4,5,180.0,137.5
2015,4,6,180.0,137.5
2015,4,7,4528.0,111.2
2015,4,8,3516.0,112.3
2015,4,9,2678.0,108.5
2015,4,10,3478.0,111.9
2015,4,11,3316.0,109.5
2015,4,12,3757.0,111.1
2015,4,13,3757.0,111.1
2015,4,14,3751.0,106.6
2015,4,15,3418.0,113.9
2015,4,16,2810.0,111.6
2015,4,17,2910.0,111.2
2015,4,18,3466.0,110.8
2015,4,19,3473.0,111.5
2015,4,20,3473.0,111.5
