year,month,day,weight,price
2015,1,1,6477.0,75.9
2015,1,2,6080.0,76.6
2015,1,3,5346.0,75.3
2015,1,4,6930.0,72.3
2015,1,5,6930.0,72.3
2015,1,6,6166.0,77.0
2015,1,7,6646.0,75.6
2015,1,8,7117.0,78.5
2015,1,9,7051.0,77.6
2015,1,10,7068.0,77.8
2015,1,11,9616.0,78.9
2015,1,12,9616.0,78.9
2015,1,13,7887.0,76.4
2015,1,14,5608.0,77.7
2015,1,15,4764.0,78.5
2015,1,16,4990.0,78.0
2015,1,17,6271.0,72.9
2015,1,18,7997.0,72.5
2015,1,19,7997.0,72.5
2015,1,20,5407.0,68.5
2015,1,21,5362.0,61.6
2015,1,22,5145.0,62.1
2015,1,23,5208.0,58.0
2015,1,24,5967.0,53.0
2015,1,25,9409.0,51.2
2015,1,26,9409.0,51.2
2015,1,27,6726.0,49.9
2015,1,28,5733.0,51.2
2015,1,29,6784.0,50.6
2015,1,30,5946.0,47.4
2015,1,31,10571.0,45.4
2015,2,1,13644.0,42.8
2015,2,2,13644.0,42.8
2015,2,3,8844.0,41.8
2015,2,4,10381.0,41.5
2015,2,5,12561.0,45.2
2015,2,6,5328.0,39.7
2015,2,7,8360.0,37.8
2015,2,8,11637.0,43.8
2015,2,9,11637.0,43.8
2015,2,10,8004.0,44.4
2015,2,11,7374.0,44.8
2015,2,12,6888.0,46.4
2015,2,13,7686.0,45.0
2015,2,14,11297.0,44.0
2015,2,15,19099.0,37.6
2015,2,16,12796.0,41.6
2015,2,17,14683.0,46.1
2015,2,18,13233.0,42.8
2015,2,19,13233.0,42.8
2015,2,20,13233.0,42.8
2015,2,21,13233.0,42.8
2015,2,22,13233.0,42.8
2015,2,23,13233.0,42.8
2015,2,24,7786.0,42.1
2015,2,25,8231.0,52.3
2015,2,26,8888.0,49.2
2015,2,27,420.0,70.7
2015,2,28,9204.0,44.3
2015,3,1,7181.0,48.3
2015,3,2,7181.0,48.3
2015,3,3,8099.0,46.5
2015,3,4,7927.0,50.3
2015,3,5,9567.0,48.1
2015,3,6,10313.0,49.6
2015,3,7,10313.0,49.6
2015,3,8,10313.0,49.6
2015,3,9,10313.0,49.6
2015,3,10,6363.0,49.7
2015,3,11,5220.0,50.6
2015,3,12,6009.0,48.5
2015,3,13,6176.0,45.0
2015,3,14,8168.0,40.4
2015,3,15,9446.0,40.1
2015,3,16,9446.0,40.1
2015,3,17,8671.0,41.4
2015,3,18,5863.0,37.3
2015,3,19,3828.0,35.0
2015,3,20,5918.0,39.5
2015,3,21,4891.0,37.9
2015,3,22,6518.0,39.8
2015,3,23,6518.0,39.8
2015,3,24,9280.0,37.7
2015,3,25,8754.0,35.0
2015,3,26,9944.0,37.8
2015,3,27,7346.0,38.2
2015,3,28,7222.0,34.8
2015,3,29,8298.0,36.6
2015,3,30,8298.0,36.6
2015,3,31,7620.0,40.0
2015,4,1,5612.0,38.0
2015,4,2,5916.0,40.8
2015,4,3,9001.0,37.7
2015,4,4,10383.0,38.7
2015,4,5,500.0,62.3
2015,4,6,500.0,62.3
2015,4,7,8035.0,36.7
2015,4,8,6196.0,35.4
2015,4,9,6596.0,35.2
2015,4,10,6733.0,33.8
2015,4,11,8861.0,35.3
2015,4,12,9586.0,35.5
2015,4,13,9586.0,35.5
2015,4,14,9602.0,35.1
2015,4,15,7778.0,34.7
2015,4,16,7428.0,35.1
2015,4,17,6289.0,35.6
2015,4,18,8311.0,35.4
2015,4,19,6692.0,34.6
2015,4,20,6692.0,34.6
2015,4,21,5776.0,34.2
2015,4,22,4894.0,38.2
2015,4,23,4575.0,39.0
2015,4,24,5757.0,37.3
2015,4,25,7473.0,40.8
2015,4,26,7308.0,38.0
2015,4,27,7308.0,38.0
2015,4,28,7258.0,34.1
2015,4,29,12242.0,37.6
2015,4,30,5166.0,34.8
2015,5,1,6372.0,32.0
2015,5,2,10419.0,33.8
2015,5,3,7489.0,36.1
2015,5,4,7489.0,36.1
2015,5,5,6236.0,30.5
2015,5,6,5191.0,32.8
2015,5,7,6473.0,32.5
2015,5,8,5909.0,34.1
2015,5,9,6353.0,41.0
2015,5,10,6937.0,63.7
2015,5,11,6937.0,63.7
2015,5,12,6301.0,34.7
2015,5,13,5234.0,37.8
2015,5,14,4852.0,33.7
2015,5,15,7050.0,32.7
2015,5,16,7604.0,33.1
2015,5,17,5798.0,38.4
2015,5,18,5798.0,38.4
2015,5,19,6815.0,35.6
2015,5,20,4811.0,39.8
2015,5,21,6819.0,35.6
2015,5,22,4658.0,38.2
2015,5,23,5732.0,38.1
2015,5,24,9702.0,35.1
2015,5,25,9702.0,35.1
2015,5,26,6249.0,32.9
2015,5,27,9732.0,28.8
2015,5,28,7920.0,37.3
2015,5,29,7081.0,32.5
2015,5,30,6594.0,34.9
2015,5,31,5453.0,35.1
2015,6,1,5453.0,35.1
2015,6,2,6277.0,36.9
2015,6,3,10914.0,40.4
2015,6,4,8676.0,38.1
2015,6,5,5819.0,35.8
2015,6,6,6120.0,32.0
2015,6,7,8406.0,35.1
2015,6,8,8406.0,35.1
2015,6,9,7492.0,33.5
2015,6,10,6119.0,37.4
2015,6,11,6053.0,37.5
2015,6,12,7303.0,33.6
2015,6,13,6821.0,33.6
2015,6,14,5574.0,32.0
2015,6,15,5574.0,32.0
2015,6,16,6595.0,31.5
2015,6,17,6219.0,31.1
2015,6,18,5758.0,35.9
2015,6,19,6131.0,34.4
2015,6,20,6642.0,35.9
2015,6,21,6642.0,35.9
2015,6,22,6642.0,35.9
2015,6,23,6106.0,33.4
2015,6,24,3334.0,38.6
2015,6,25,5941.0,36.8
2015,6,26,6005.0,26.5
2015,6,27,5446.0,31.3
2015,6,28,6581.0,33.3
2015,6,29,6581.0,33.3
2015,6,30,6301.0,31.5
