year,month,day,weight,price
2015,1,1,2285.0,78.4
2015,1,2,2815.0,80.0
2015,1,3,2124.0,72.7
2015,1,4,1372.0,104.0
2015,1,5,1372.0,104.0
2015,1,6,2136.0,77.8
2015,1,7,2370.0,90.4
2015,1,8,2580.0,76.2
2015,1,9,2373.0,64.5
2015,1,10,2207.0,73.3
2015,1,11,2265.0,81.4
2015,1,12,2265.0,81.4
2015,1,13,2025.0,89.5
2015,1,14,2578.0,84.6
2015,1,15,1682.0,90.7
2015,1,16,1580.0,87.3
2015,1,17,2501.0,76.0
2015,1,18,2737.0,83.2
2015,1,19,2737.0,83.2
2015,1,20,1896.0,89.9
2015,1,21,1631.0,87.3
2015,1,22,1710.0,88.7
2015,1,23,1889.0,93.3
2015,1,24,2330.0,85.8
2015,1,25,2442.0,85.8
2015,1,26,2442.0,85.8
2015,1,27,2180.0,74.6
2015,1,28,2190.0,79.5
2015,1,29,2167.0,74.8
2015,1,30,2072.0,73.2
2015,1,31,2503.0,76.1
2015,2,1,2665.0,76.3
2015,2,2,2665.0,76.3
2015,2,3,2096.0,83.0
2015,2,4,2331.0,78.0
2015,2,5,1777.0,68.2
2015,2,6,1985.0,64.6
2015,2,7,1882.0,76.6
2015,2,8,2487.0,66.4
2015,2,9,2487.0,66.4
2015,2,10,2053.0,75.1
2015,2,11,2368.0,68.0
2015,2,12,2057.0,64.5
2015,2,13,2384.0,65.1
2015,2,14,1854.0,62.9
2015,2,15,3972.0,61.0
2015,2,16,2976.0,73.6
2015,2,17,3603.0,82.2
2015,2,18,4072.0,57.4
2015,2,19,4072.0,57.4
2015,2,20,4072.0,57.4
2015,2,21,4072.0,57.4
2015,2,22,4072.0,57.4
2015,2,23,4072.0,57.4
2015,2,24,1741.0,71.4
2015,2,25,1430.0,71.2
2015,2,26,1482.0,93.1
2015,2,27,224.0,91.6
2015,2,28,1770.0,70.8
2015,3,1,1994.0,72.8
2015,3,2,1994.0,72.8
2015,3,3,1733.0,84.3
2015,3,4,1715.0,82.2
2015,3,5,1669.0,90.4
2015,3,6,1665.0,94.1
2015,3,7,108.0,73.3
2015,3,8,120.0,100.0
2015,3,9,120.0,100.0
2015,3,10,2237.0,73.5
2015,3,11,1833.0,71.7
2015,3,12,1629.0,69.4
2015,3,13,1632.0,69.0
2015,3,14,1987.0,72.4
2015,3,15,1942.0,75.7
2015,3,16,1942.0,75.7
2015,3,17,1993.0,67.1
2015,3,18,1623.0,63.3
2015,3,19,1991.0,60.4
2015,3,20,2159.0,55.5
2015,3,21,1961.0,67.7
2015,3,22,2396.0,60.1
2015,3,23,2396.0,60.1
2015,3,24,2611.0,55.8
2015,3,25,1781.0,58.3
2015,3,26,2439.0,52.6
2015,3,27,2014.0,55.8
2015,3,28,2024.0,57.3
2015,3,29,2604.0,57.9
2015,3,30,2604.0,57.9
2015,3,31,2080.0,60.7
2015,4,1,1991.0,61.4
2015,4,2,1899.0,64.9
2015,4,3,2903.0,55.5
2015,4,4,3071.0,61.8
2015,4,5,320.0,92.8
2015,4,6,320.0,92.8
2015,4,7,2064.0,55.7
2015,4,8,2137.0,52.1
2015,4,9,1910.0,59.6
2015,4,10,2321.0,54.7
2015,4,11,1952.0,64.3
2015,4,12,1803.0,72.2
2015,4,13,1803.0,72.2
2015,4,14,1819.0,70.4
2015,4,15,1624.0,70.5
2015,4,16,1363.0,72.1
2015,4,17,1541.0,68.4
2015,4,18,1965.0,72.0
2015,4,19,2047.0,68.2
2015,4,20,2047.0,68.2
2015,4,21,2092.0,65.1
2015,4,22,2627.0,50.6
2015,4,23,1782.0,65.1
2015,4,24,2132.0,60.6
2015,4,25,1998.0,59.5
2015,4,26,2400.0,61.8
2015,4,27,2400.0,61.8
2015,4,28,1897.0,65.9
2015,4,29,1624.0,67.5
2015,4,30,1651.0,68.4
2015,5,1,1926.0,69.7
2015,5,2,1899.0,61.6
2015,5,3,2155.0,55.8
2015,5,4,2155.0,55.8
2015,5,5,1785.0,60.2
2015,5,6,1757.0,54.6
2015,5,7,1609.0,66.8
2015,5,8,1631.0,60.9
2015,5,9,1695.0,60.2
2015,5,10,1636.0,65.5
2015,5,11,1636.0,65.5
2015,5,12,1532.0,58.1
2015,5,13,1743.0,61.3
2015,5,14,1762.0,61.6
2015,5,15,1862.0,52.9
2015,5,16,1641.0,55.6
2015,5,17,1951.0,55.0
2015,5,18,1951.0,55.0
2015,5,19,2150.0,52.3
2015,5,20,1395.0,65.0
2015,5,21,1472.0,63.3
2015,5,22,1530.0,61.7
2015,5,23,1662.0,70.7
2015,5,24,1675.0,67.1
2015,5,25,1675.0,67.1
2015,5,26,1307.0,74.1
