year,month,day,weight,price
2015,1,1,5789.0,91.4
2015,1,2,5572.0,91.1
2015,1,3,5723.0,92.6
2015,1,4,6287.0,97.1
2015,1,5,6287.0,97.1
2015,1,6,5894.0,89.1
2015,1,7,6256.0,93.8
2015,1,8,5877.0,92.4
2015,1,9,5517.0,97.1
2015,1,10,5602.0,96.5
2015,1,11,5430.0,97.2
2015,1,12,5430.0,97.2
2015,1,13,5720.0,88.8
2015,1,14,4947.0,86.1
2015,1,15,5006.0,81.4
2015,1,16,5253.0,84.1
2015,1,17,6304.0,82.7
2015,1,18,6892.0,81.8
2015,1,19,6892.0,81.8
2015,1,20,7391.0,81.5
2015,1,21,6988.0,80.4
2015,1,22,5674.0,77.6
2015,1,23,5587.0,80.9
2015,1,24,6526.0,80.6
2015,1,25,6528.0,81.2
2015,1,26,6528.0,81.2
2015,1,27,5506.0,78.8
2015,1,28,5324.0,80.0
2015,1,29,5707.0,79.3
2015,1,30,5265.0,80.3
2015,1,31,6299.0,83.2
2015,2,1,7098.0,83.7
2015,2,2,7098.0,83.7
2015,2,3,5848.0,86.4
2015,2,4,5720.0,80.4
2015,2,5,5695.0,83.8
2015,2,6,4736.0,82.2
2015,2,7,6304.0,89.2
2015,2,8,7606.0,91.3
2015,2,9,7606.0,91.3
2015,2,10,5387.0,89.3
2015,2,11,7501.0,83.7
2015,2,12,6748.0,93.6
2015,2,13,6450.0,92.2
2015,2,14,8013.0,100.1
2015,2,15,7843.0,97.4
2015,2,16,8285.0,100.4
2015,2,17,9834.0,99.9
2015,2,18,7828.0,94.2
2015,2,19,7828.0,94.2
2015,2,20,7828.0,94.2
2015,2,21,7828.0,94.2
2015,2,22,7828.0,94.2
2015,2,23,7828.0,94.2
2015,2,24,5144.0,91.2
2015,2,25,4799.0,90.6
2015,2,26,5805.0,92.1
2015,2,27,221.0,100.8
2015,2,28,5539.0,94.8
2015,3,1,5333.0,92.3
2015,3,2,5333.0,92.3
2015,3,3,6383.0,89.7
2015,3,4,5895.0,92.9
2015,3,5,6750.0,97.2
2015,3,6,6789.0,99.8
2015,3,7,6789.0,99.8
2015,3,8,120.0,100.0
2015,3,9,120.0,100.0
2015,3,10,6377.0,93.5
2015,3,11,5090.0,94.1
2015,3,12,4024.0,91.5
2015,3,13,3983.0,92.4
2015,3,14,5020.0,88.5
2015,3,15,5322.0,92.7
2015,3,16,5322.0,92.7
