year,month,day,weight,price
2015,1,1,38645.0,28.6
2015,1,2,38290.0,28.7
2015,1,3,32103.0,28.8
2015,1,4,22292.0,29.9
2015,1,5,17640.0,27.5
2015,1,6,47448.0,28.6
2015,1,7,46722.0,27.7
2015,1,8,48469.0,27.4
2015,1,9,45148.0,27.6
2015,1,10,45714.0,27.3
2015,1,11,40147.0,26.7
2015,1,12,18912.0,25.9
2015,1,13,52324.0,25.8
2015,1,14,54142.0,26.1
2015,1,15,49396.0,25.2
2015,1,16,48164.0,24.3
2015,1,17,47408.0,23.8
2015,1,18,30801.0,23.7
2015,1,19,21888.0,23.8
2015,1,20,45759.0,24.4
2015,1,21,48585.0,23.7
2015,1,22,47247.0,23.2
2015,1,23,45301.0,22.9
2015,1,24,53645.0,21.9
2015,1,25,24629.0,22.7
2015,1,26,23424.0,21.0
2015,1,27,49613.0,22.1
2015,1,28,44431.0,22.3
2015,1,29,43239.0,21.6
2015,1,30,44848.0,21.9
2015,1,31,47056.0,22.0
2015,2,1,28256.0,22.3
2015,2,2,23184.0,21.0
2015,2,3,55022.0,21.3
2015,2,4,53813.0,20.9
2015,2,5,48564.0,20.6
2015,2,6,52506.0,20.8
2015,2,7,60029.0,20.3
2015,2,8,36280.0,19.4
2015,2,9,23040.0,21.0
2015,2,10,59150.0,19.3
2015,2,11,59521.0,19.9
2015,2,12,60515.0,20.2
2015,2,13,59307.0,19.8
2015,2,14,63064.0,20.1
2015,2,15,53145.0,19.4
2015,2,16,53655.0,20.0
2015,2,17,34277.0,21.5
2015,2,18,7878.0,23.9
2015,2,19,7878.0,23.9
2015,2,20,7878.0,23.9
2015,2,21,7878.0,23.9
2015,2,22,7878.0,23.9
2015,2,23,24984.0,19.6
2015,2,24,53227.0,21.3
2015,2,25,51124.0,20.4
2015,2,26,44882.0,20.0
2015,2,27,23871.0,20.4
2015,2,28,50735.0,20.0
2015,3,1,37051.0,20.3
2015,3,2,25176.0,19.6
2015,3,3,57436.0,20.1
2015,3,4,55501.0,19.3
2015,3,5,48075.0,19.6
2015,3,6,52849.0,21.1
2015,3,7,26173.0,19.7
2015,3,8,80.0,20.0
2015,3,9,25464.0,19.6
2015,3,10,61372.0,19.9
2015,3,11,63398.0,20.0
2015,3,12,57061.0,19.3
2015,3,13,60075.0,19.2
2015,3,14,62024.0,19.4
2015,3,15,35343.0,19.5
2015,3,16,31080.0,19.6
2015,3,17,65298.0,19.6
2015,3,18,64918.0,19.5
2015,3,19,62594.0,21.1
2015,3,20,62210.0,19.4
2015,3,21,63297.0,19.5
2015,3,22,27430.0,19.2
2015,3,23,30456.0,19.6
2015,3,24,57276.0,19.3
2015,3,25,64833.0,20.1
2015,3,26,56516.0,20.2
2015,3,27,60732.0,19.1
2015,3,28,63567.0,19.3
2015,3,29,27533.0,19.7
2015,3,30,30840.0,19.6
2015,3,31,61234.0,19.9
2015,4,1,63725.0,19.6
2015,4,2,63980.0,20.9
2015,4,3,65725.0,20.0
2015,4,4,68859.0,19.4
2015,4,5,4697.0,24.1
2015,4,6,31920.0,19.6
2015,4,7,59924.0,18.6
2015,4,8,63308.0,18.9
2015,4,9,63909.0,19.6
2015,4,10,63033.0,18.4
2015,4,11,64598.0,18.7
2015,4,12,31387.0,19.2
2015,4,13,33936.0,18.0
2015,4,14,66410.0,18.7
2015,4,15,68196.0,18.8
2015,4,16,66109.0,20.0
2015,4,17,66571.0,18.8
2015,4,18,68638.0,18.8
2015,4,19,39437.0,20.3
2015,4,20,37440.0,18.0
2015,4,21,68977.0,18.7
2015,4,22,70616.0,20.0
2015,4,23,67867.0,19.0
2015,4,24,67805.0,18.7
2015,4,25,67587.0,18.5
2015,4,26,33037.0,20.4
2015,4,27,37560.0,18.0
2015,4,28,71305.0,18.6
2015,4,29,65721.0,19.3
2015,4,30,67681.0,18.5
2015,5,1,72625.0,18.2
2015,5,2,60497.0,18.5
2015,5,3,31566.0,20.1
2015,5,4,34800.0,18.0
2015,5,5,63660.0,18.5
2015,5,6,68500.0,18.5
2015,5,7,67771.0,19.4
2015,5,8,66862.0,17.9
2015,5,9,68167.0,18.4
2015,5,10,30752.0,20.1
2015,5,11,35256.0,18.0
2015,5,12,62669.0,18.5
2015,5,13,63263.0,18.5
2015,5,14,68440.0,19.3
2015,5,15,64187.0,18.0
2015,5,16,66023.0,18.7
2015,5,17,26180.0,19.3
2015,5,18,35544.0,18.0
2015,5,19,64644.0,18.7
2015,5,20,67783.0,19.4
2015,5,21,63553.0,18.8
2015,5,22,66875.0,18.6
2015,5,23,68954.0,19.3
2015,5,24,28662.0,19.5
2015,5,25,35376.0,18.0
2015,5,26,66435.0,18.7
2015,5,27,70944.0,19.1
2015,5,28,66788.0,20.3
2015,5,29,69359.0,18.7
2015,5,30,71014.0,18.7
2015,5,31,31315.0,21.8
2015,6,1,35712.0,18.0
2015,6,2,71412.0,19.3
2015,6,3,72767.0,21.1
2015,6,4,63137.0,20.1
2015,6,5,60455.0,20.4
2015,6,6,55774.0,21.4
2015,6,7,28526.0,21.0
2015,6,8,31032.0,20.5
2015,6,9,63683.0,20.5
2015,6,10,66666.0,22.3
2015,6,11,61371.0,21.3
2015,6,12,61083.0,20.6
2015,6,13,61607.0,20.3
2015,6,14,29555.0,22.9
2015,6,15,31176.0,20.5
2015,6,16,65551.0,20.7
2015,6,17,67388.0,21.5
2015,6,18,59632.0,20.7
2015,6,19,62215.0,20.2
2015,6,20,27819.0,22.6
2015,6,21,27819.0,22.6
2015,6,22,30864.0,20.5
2015,6,23,67643.0,20.3
