year,month,day,weight,price
2015,1,1,77342.0,17.5
2015,1,2,73625.0,17.6
2015,1,3,70303.0,17.4
2015,1,4,53654.0,17.1
2015,1,5,22269.0,19.0
2015,1,6,73730.0,17.4
2015,1,7,69487.0,17.4
2015,1,8,81998.0,17.1
2015,1,9,66865.0,17.0
2015,1,10,77311.0,16.8
2015,1,11,82649.0,16.7
2015,1,12,23387.0,18.8
2015,1,13,121975.0,17.6
2015,1,14,71935.0,16.6
2015,1,15,68568.0,16.8
2015,1,16,73771.0,16.7
2015,1,17,75112.0,16.6
2015,1,18,45711.0,15.9
2015,1,19,25816.0,18.6
2015,1,20,87468.0,16.7
2015,1,21,74236.0,16.5
2015,1,22,64912.0,16.2
2015,1,23,73240.0,16.8
2015,1,24,118319.0,16.6
2015,1,25,59361.0,15.3
2015,1,26,23079.0,18.6
2015,1,27,83058.0,16.1
2015,1,28,61798.0,15.2
2015,1,29,71191.0,15.3
2015,1,30,70250.0,15.0
2015,1,31,78150.0,15.3
2015,2,1,48318.0,13.8
2015,2,2,24282.0,17.0
2015,2,3,100510.0,15.4
2015,2,4,114674.0,16.1
2015,2,5,81522.0,15.3
2015,2,6,71891.0,15.3
2015,2,7,72186.0,15.4
2015,2,8,42687.0,14.9
2015,2,9,23533.0,17.1
2015,2,10,78307.0,16.0
2015,2,11,78137.0,16.1
2015,2,12,80294.0,15.9
2015,2,13,84139.5,16.0
2015,2,14,89442.0,15.4
2015,2,15,77554.0,15.3
2015,2,16,82316.0,15.4
2015,2,17,72221.0,15.2
2015,2,18,19937.0,16.0
2015,2,19,19937.0,16.0
2015,2,20,19937.0,16.0
2015,2,21,19937.0,16.0
2015,2,22,19937.0,16.0
2015,2,23,26208.0,15.6
2015,2,24,84002.0,16.4
2015,2,25,95075.0,16.2
2015,2,26,101330.0,16.0
2015,2,27,30841.0,16.0
2015,2,28,102197.0,15.0
2015,3,1,62558.0,14.7
2015,3,2,26571.0,15.6
2015,3,3,124748.0,15.4
2015,3,4,78726.0,13.7
2015,3,5,109505.0,14.3
2015,3,6,87415.0,12.8
2015,3,7,34327.0,14.7
2015,3,8,815.0,14.0
2015,3,9,27781.0,15.0
2015,3,10,105950.0,13.1
2015,3,11,106066.0,13.8
2015,3,12,97867.0,15.1
2015,3,13,72115.0,14.3
2015,3,14,87100.0,14.8
2015,3,15,70931.0,15.7
2015,3,16,31127.0,14.9
2015,3,17,79491.0,15.0
2015,3,18,77188.0,14.9
2015,3,19,82383.0,14.1
2015,3,20,86439.0,14.1
2015,3,21,95533.0,14.2
2015,3,22,45336.0,13.8
2015,3,23,28808.0,15.0
2015,3,24,95857.0,14.8
2015,3,25,95874.0,15.2
2015,3,26,72425.0,14.2
2015,3,27,77772.0,15.5
2015,3,28,73261.0,14.9
2015,3,29,56799.0,15.7
2015,3,30,28653.0,15.0
2015,3,31,94164.0,15.0
2015,4,1,79674.0,14.6
2015,4,2,93903.0,15.0
2015,4,3,99894.0,15.4
2015,4,4,79937.0,14.8
2015,4,5,7148.0,17.2
2015,4,6,27423.0,15.0
2015,4,7,82883.0,15.2
2015,4,8,75496.0,15.1
2015,4,9,97090.0,15.4
2015,4,10,95534.0,15.7
2015,4,11,79793.0,15.2
2015,4,12,64751.0,16.5
2015,4,13,26702.0,15.0
2015,4,14,89904.0,15.9
2015,4,15,77048.0,15.4
2015,4,16,77970.0,15.6
2015,4,17,75287.0,15.3
2015,4,18,83414.0,15.6
2015,4,19,45041.0,15.5
2015,4,20,28083.0,15.0
2015,4,21,77683.0,15.5
2015,4,22,64742.0,15.5
2015,4,23,111391.0,16.8
2015,4,24,69990.0,15.8
2015,4,25,103562.0,16.7
2015,4,26,41838.0,16.2
2015,4,27,26110.0,15.5
2015,4,28,83007.0,16.3
2015,4,29,63177.0,15.9
2015,4,30,78645.0,15.9
2015,5,1,93938.0,17.0
2015,5,2,88875.0,16.1
2015,5,3,39242.0,15.4
2015,5,4,27369.0,15.5
2015,5,5,71053.0,15.8
2015,5,6,70434.0,15.8
2015,5,7,62269.0,15.5
2015,5,8,95787.0,16.0
2015,5,9,71494.0,15.9
2015,5,10,66483.0,17.8
2015,5,11,25074.0,15.5
2015,5,12,85479.0,17.3
2015,5,13,64840.0,16.8
2015,5,14,76069.0,16.8
2015,5,15,70795.0,16.9
2015,5,16,60086.0,16.5
2015,5,17,40631.0,16.4
2015,5,18,23324.0,16.9
2015,5,19,69388.0,17.1
2015,5,20,79438.0,17.4
2015,5,21,68560.0,16.5
2015,5,22,63719.0,16.9
2015,5,23,85466.0,16.8
2015,5,24,52890.0,17.0
2015,5,25,23150.0,16.9
2015,5,26,72272.0,17.2
2015,5,27,70044.0,16.9
2015,5,28,73451.0,16.8
2015,5,29,68242.0,17.0
2015,5,30,85470.0,17.5
2015,5,31,52074.0,16.7
2015,6,1,22890.0,16.9
2015,6,2,80722.0,17.7
2015,6,3,76831.0,17.3
2015,6,4,76122.0,17.0
2015,6,5,71762.0,17.3
2015,6,6,72217.0,17.4
2015,6,7,57077.0,18.0
2015,6,8,25521.0,17.1
2015,6,9,88017.0,18.0
2015,6,10,70712.0,18.2
2015,6,11,72141.0,18.1
2015,6,12,70602.0,18.0
2015,6,13,77320.0,18.5
2015,6,14,47842.0,18.3
2015,6,15,22009.0,18.2
2015,6,16,69393.0,17.9
2015,6,17,74077.0,18.3
2015,6,18,65182.0,18.4
2015,6,19,107515.0,20.0
2015,6,20,34668.0,18.7
2015,6,21,34668.0,18.7
2015,6,22,22061.0,18.2
2015,6,23,73348.0,18.9
2015,6,24,69345.0,19.0
2015,6,25,57150.0,18.7
2015,6,26,73006.0,19.5
2015,6,27,65749.0,19.3
2015,6,28,42303.0,19.7
2015,6,29,21892.0,18.2
2015,6,30,69999.0,18.7
2015,7,1,75486.0,19.5
2015,7,2,61435.0,19.0
2015,7,3,62464.0,19.6
2015,7,4,86188.0,20.2
2015,7,5,49472.0,20.8
2015,7,6,25203.0,18.3
2015,7,7,82203.0,19.3
2015,7,8,67789.0,19.8
2015,7,9,62565.0,19.3
2015,7,10,66942.0,20.2
2015,7,11,54989.0,20.2
2015,7,12,31772.0,20.1
2015,7,13,19396.0,20.2
2015,7,14,63084.0,20.6
2015,7,15,83777.0,21.3
2015,7,16,58637.0,20.2
2015,7,17,68857.0,21.0
2015,7,18,54295.0,20.4
2015,7,19,31523.0,20.5
2015,7,20,18727.0,22.5
2015,7,21,67201.0,21.5
2015,7,22,54332.0,22.0
2015,7,23,72604.0,22.5
2015,7,24,58297.0,23.3
2015,7,25,58091.0,22.9
2015,7,26,36634.0,22.8
2015,7,27,19813.0,22.7
2015,7,28,77968.0,23.0
2015,7,29,54977.0,23.9
2015,7,30,56388.0,24.5
2015,7,31,68722.0,25.4
2015,8,1,62522.0,25.2
2015,8,2,33064.0,25.6
2015,8,3,24326.0,27.3
2015,8,4,52036.0,26.8
2015,8,5,55325.0,27.2
2015,8,6,74089.0,28.0
2015,8,7,62969.0,28.0
2015,8,8,45194.0,27.9
2015,8,9,12105.0,26.2
2015,8,10,16680.0,33.0
2015,8,11,48602.0,29.5
2015,8,12,57516.0,28.5
2015,8,13,45308.0,29.7
2015,8,14,59743.0,29.9
2015,8,15,57700.0,29.9
2015,8,16,54528.0,29.8
2015,8,17,13020.0,33.0
2015,8,18,45062.0,29.2
2015,8,19,44622.0,30.7
2015,8,20,54038.0,30.7
2015,8,21,80260.0,31.0
2015,8,22,56668.0,30.8
2015,8,23,40655.0,30.5
2015,8,24,14976.0,32.9
2015,8,25,65927.0,30.8
2015,8,26,45333.0,31.1
2015,8,27,61694.0,31.1
2015,8,28,56024.0,31.0
2015,8,29,12232.0,31.5
2015,8,30,12232.0,31.5
2015,8,31,16224.0,33.0
2015,9,1,120124.0,30.3
2015,9,2,71757.0,31.1
2015,9,3,68656.0,30.9
2015,9,4,110182.0,31.0
2015,9,5,81142.0,31.6
2015,9,6,60166.0,30.3
2015,9,7,30130.0,33.0
2015,9,8,65309.0,31.0
2015,9,9,67397.0,31.1
2015,9,10,83511.0,30.3
2015,9,11,59403.0,30.2
2015,9,12,77453.0,29.1
2015,9,13,76553.0,29.5
2015,9,14,22776.0,31.2
2015,9,15,82226.0,29.9
2015,9,16,70390.0,28.7
