year,month,day,weight,price
2015,1,1,95072.0,32.3
2015,1,2,94771.0,33.3
2015,1,3,91752.0,34.5
2015,1,4,69747.0,38.5
2015,1,5,24879.0,30.7
2015,1,6,100463.0,34.2
2015,1,7,96486.0,31.3
2015,1,8,96025.0,28.8
2015,1,9,98609.0,28.2
2015,1,10,106740.0,27.6
2015,1,11,86621.0,27.9
2015,1,12,24689.0,26.0
2015,1,13,97647.0,28.6
2015,1,14,93879.0,28.1
2015,1,15,92213.0,29.1
2015,1,16,94243.0,29.2
2015,1,17,101923.0,28.0
2015,1,18,79494.0,30.0
2015,1,19,27214.0,22.8
2015,1,20,98348.0,29.4
2015,1,21,99149.0,28.0
2015,1,22,97755.0,26.6
2015,1,23,103236.0,25.2
2015,1,24,105123.0,25.2
2015,1,25,78064.0,26.6
2015,1,26,27973.0,20.4
2015,1,27,102142.0,25.4
2015,1,28,98420.0,23.9
2015,1,29,93439.0,23.6
2015,1,30,104965.0,23.6
2015,1,31,103306.0,24.2
2015,2,1,78426.0,26.9
2015,2,2,29756.0,19.6
2015,2,3,110531.0,25.0
2015,2,4,110404.0,23.9
2015,2,5,106719.0,22.1
2015,2,6,105854.0,21.3
2015,2,7,104263.0,21.7
2015,2,8,78704.0,24.7
2015,2,9,29547.0,17.9
2015,2,10,109474.0,25.5
2015,2,11,107617.0,26.9
2015,2,12,116606.0,26.6
2015,2,13,127111.0,25.8
2015,2,14,137830.0,25.8
2015,2,15,140013.0,26.7
2015,2,16,160684.0,25.3
2015,2,17,140902.0,35.1
2015,2,18,83027.0,33.1
2015,2,19,83027.0,33.1
2015,2,20,1890.0,20.0
2015,2,21,1430.0,20.0
2015,2,22,1705.0,22.5
2015,2,23,28590.0,18.9
2015,2,24,95850.0,27.5
2015,2,25,94263.0,27.6
2015,2,26,99778.0,29.3
2015,2,27,32380.0,21.0
2015,2,28,114027.0,27.3
2015,3,1,88811.0,26.5
2015,3,2,27148.0,18.1
2015,3,3,108549.0,23.7
2015,3,4,107006.0,23.0
2015,3,5,106304.0,24.2
2015,3,6,101798.0,26.8
2015,3,7,30965.0,18.5
2015,3,8,5091.0,21.1
2015,3,9,29112.0,18.1
2015,3,10,110010.5,24.6
2015,3,11,106203.0,23.9
2015,3,12,101598.0,21.8
2015,3,13,98385.0,22.7
2015,3,14,108839.0,23.7
2015,3,15,83986.0,25.6
2015,3,16,29907.0,17.9
2015,3,17,107782.5,24.3
2015,3,18,101396.5,22.8
2015,3,19,102439.0,20.9
2015,3,20,99341.0,21.2
2015,3,21,104999.0,21.9
2015,3,22,77089.0,24.7
2015,3,23,29417.0,17.9
2015,3,24,98325.0,23.3
2015,3,25,98210.0,22.6
2015,3,26,99392.5,22.5
2015,3,27,100002.0,22.6
2015,3,28,104972.0,22.9
2015,3,29,82766.0,25.6
2015,3,30,31011.0,18.0
2015,3,31,109178.0,23.9
2015,4,1,103710.0,23.1
2015,4,2,103733.0,23.3
2015,4,3,111020.5,23.5
2015,4,4,121035.0,27.7
2015,4,5,20031.0,32.6
2015,4,6,29737.0,17.9
2015,4,7,100286.0,26.2
2015,4,8,106890.0,24.7
2015,4,9,104337.0,23.4
2015,4,10,104946.0,24.1
2015,4,11,114713.0,23.5
