year,month,day,weight,price
2015,1,1,18728.5,32.9
2015,1,2,17322.0,32.9
2015,1,3,17910.0,33.9
2015,1,4,11866.0,39.1
2015,1,5,5118.0,27.8
2015,1,6,19327.0,37.5
2015,1,7,16777.0,38.1
2015,1,8,18537.0,36.6
2015,1,9,18227.0,37.1
2015,1,10,17559.0,36.4
2015,1,11,13996.0,41.7
2015,1,12,5346.0,27.8
2015,1,13,17752.0,39.1
2015,1,14,18270.0,39.1
2015,1,15,17451.0,39.2
2015,1,16,16607.0,39.3
2015,1,17,18001.0,37.6
2015,1,18,12512.0,40.7
2015,1,19,5082.0,27.8
2015,1,20,17508.0,37.4
2015,1,21,17426.0,35.8
2015,1,22,17404.0,35.3
2015,1,23,20199.0,34.7
2015,1,24,19707.0,34.1
2015,1,25,11888.0,37.5
2015,1,26,5082.0,27.8
2015,1,27,18446.0,37.0
2015,1,28,16879.0,36.5
2015,1,29,19673.0,34.3
2015,1,30,16330.0,34.4
2015,1,31,22479.0,32.7
2015,2,1,11708.0,42.4
2015,2,2,4833.0,27.8
2015,2,3,18829.0,38.2
2015,2,4,17614.0,38.3
2015,2,5,20599.0,33.0
2015,2,6,17453.0,32.7
2015,2,7,19028.0,30.2
2015,2,8,15519.0,30.6
2015,2,9,4698.0,27.8
2015,2,10,23119.0,28.6
2015,2,11,18591.0,29.5
2015,2,12,17365.0,31.2
2015,2,13,17803.0,32.0
2015,2,14,20117.0,33.5
2015,2,15,18350.0,31.9
2015,2,16,21674.0,30.2
2015,2,17,17851.0,30.6
2015,2,18,4795.0,28.8
2015,2,19,4795.0,28.8
2015,2,20,4795.0,28.8
2015,2,21,4795.0,28.8
2015,2,22,131.0,30.3
2015,2,23,4475.0,27.6
2015,2,24,17455.0,36.4
2015,2,25,18107.0,36.3
2015,2,26,19766.0,39.9
2015,2,27,7888.0,28.9
2015,2,28,21303.0,31.2
2015,3,1,16756.0,28.4
2015,3,2,4680.0,27.8
2015,3,3,21865.0,25.8
2015,3,4,20838.0,24.9
2015,3,5,18859.0,25.2
2015,3,6,18707.0,30.8
2015,3,7,4789.0,27.7
2015,3,8,4789.0,27.7
2015,3,9,4665.0,27.8
2015,3,10,21234.0,25.8
2015,3,11,26609.0,23.0
2015,3,12,21428.0,22.4
2015,3,13,22513.0,24.1
2015,3,14,19269.0,27.8
2015,3,15,15126.0,27.9
2015,3,16,4917.0,27.8
2015,3,17,19852.0,28.6
2015,3,18,22436.0,23.9
2015,3,19,23036.0,22.8
2015,3,20,23908.0,22.1
2015,3,21,21738.0,22.6
2015,3,22,15894.0,21.0
2015,3,23,5280.0,27.7
2015,3,24,19422.0,26.1
2015,3,25,23091.0,24.3
2015,3,26,21408.0,23.0
2015,3,27,20030.0,23.2
2015,3,28,21197.0,23.6
2015,3,29,17243.0,23.5
2015,3,30,5227.0,26.7
2015,3,31,20847.0,25.8
2015,4,1,21623.0,25.4
2015,4,2,21092.0,25.6
2015,4,3,21421.0,26.7
2015,4,4,24613.0,27.0
2015,4,5,3664.0,28.2
2015,4,6,5268.0,27.8
2015,4,7,18918.0,29.9
2015,4,8,22019.0,28.5
2015,4,9,20978.0,27.0
2015,4,10,22106.0,24.7
2015,4,11,24266.0,24.6
