year,month,day,weight,price
2015,1,1,50053.5,61.1
2015,1,2,48042.0,62.5
2015,1,3,53471.0,65.7
2015,1,4,35484.0,64.7
2015,1,5,16512.0,68.7
2015,1,6,52563.0,63.2
2015,1,7,60058.0,59.9
2015,1,8,66572.0,52.7
2015,1,9,63237.0,51.6
2015,1,10,69127.0,44.7
2015,1,11,47746.0,45.1
2015,1,12,22095.0,44.4
2015,1,13,70961.0,44.3
2015,1,14,69948.0,42.2
2015,1,15,56300.0,43.5
2015,1,16,71684.0,39.4
2015,1,17,69092.0,38.5
2015,1,18,47782.0,40.2
2015,1,19,22923.0,35.6
2015,1,20,73315.0,38.4
2015,1,21,69756.0,37.2
2015,1,22,67347.0,38.6
2015,1,23,71156.0,36.0
2015,1,24,78345.0,35.5
2015,1,25,55289.0,37.9
2015,1,26,23082.0,31.5
2015,1,27,74272.0,36.4
2015,1,28,67081.0,35.0
2015,1,29,73480.0,34.0
2015,1,30,77231.0,32.5
2015,1,31,86729.0,33.8
2015,2,1,63886.0,34.8
2015,2,2,24787.0,31.8
2015,2,3,89629.0,36.2
2015,2,4,79385.0,36.1
2015,2,5,74056.0,37.4
2015,2,6,75208.0,36.7
2015,2,7,74913.0,38.3
2015,2,8,56723.0,42.0
2015,2,9,21970.0,38.6
2015,2,10,79289.0,46.1
2015,2,11,86959.0,46.8
2015,2,12,99764.0,43.7
2015,2,13,119805.0,42.8
2015,2,14,135561.0,42.5
2015,2,15,158414.0,39.5
2015,2,16,200891.0,39.6
2015,2,17,195745.0,42.1
2015,2,18,86443.0,43.0
2015,2,19,86443.0,43.0
2015,2,20,86443.0,43.0
2015,2,21,86443.0,43.0
2015,2,22,998.0,31.3
2015,2,23,37100.0,38.8
2015,2,24,83372.0,37.8
2015,2,25,83037.0,43.1
2015,2,26,83542.0,41.8
2015,2,27,27303.0,42.3
2015,2,28,86122.0,41.0
2015,3,1,62452.0,39.9
2015,3,2,22348.0,43.8
2015,3,3,85258.0,42.1
2015,3,4,82316.0,42.3
2015,3,5,76694.0,42.4
2015,3,6,64602.0,48.0
2015,3,7,21387.0,43.5
2015,3,8,1765.0,25.7
2015,3,9,22223.0,41.6
2015,3,10,82082.0,45.4
2015,3,11,83010.0,43.1
2015,3,12,76687.0,43.2
2015,3,13,66444.0,44.9
2015,3,14,75642.0,42.9
2015,3,15,59374.0,46.4
2015,3,16,19200.0,52.9
2015,3,17,76258.0,47.7
2015,3,18,81424.0,43.2
2015,3,19,78376.0,41.2
2015,3,20,78694.0,38.4
2015,3,21,78607.0,39.8
2015,3,22,53410.0,37.9
2015,3,23,22319.0,50.1
2015,3,24,71981.0,43.8
2015,3,25,74431.0,42.5
2015,3,26,68403.0,41.8
2015,3,27,61157.0,41.0
2015,3,28,70061.0,41.9
2015,3,29,51685.0,40.8
2015,3,30,19936.0,50.3
2015,3,31,75231.0,44.4
2015,4,1,80875.0,41.1
2015,4,2,78621.5,38.9
2015,4,3,78249.0,39.2
2015,4,4,86401.0,40.0
2015,4,5,14642.0,35.1
2015,4,6,21841.0,46.3
2015,4,7,63053.0,44.8
2015,4,8,70697.0,40.9
2015,4,9,64056.0,40.3
2015,4,10,62873.0,40.7
2015,4,11,62413.0,40.0
2015,4,12,43969.0,38.5
2015,4,13,19812.0,46.8
2015,4,14,62546.0,43.2
2015,4,15,57362.0,44.5
2015,4,16,49765.0,45.8
2015,4,17,47868.0,49.3
2015,4,18,49811.0,48.9
2015,4,19,35445.0,44.0
2015,4,20,15276.0,55.9
2015,4,21,49149.0,48.7
2015,4,22,43996.0,51.7
2015,4,23,42109.0,50.7
2015,4,24,45708.0,50.3
2015,4,25,49220.0,48.9
2015,4,26,33843.0,45.1
2015,4,27,14030.0,59.7
2015,4,28,43939.0,51.1
2015,4,29,40778.0,48.2
2015,4,30,44098.0,49.0
2015,5,1,36390.0,52.0
2015,5,2,45477.0,49.5
2015,5,3,29727.0,46.9
2015,5,4,12707.0,60.7
2015,5,5,39993.0,54.6
2015,5,6,39520.0,53.7
2015,5,7,36024.0,56.0
2015,5,8,33947.0,56.9
2015,5,9,39409.0,54.2
2015,5,10,29090.0,51.4
2015,5,11,12418.0,62.9
2015,5,12,37494.0,56.7
2015,5,13,34134.0,57.7
2015,5,14,32942.0,57.9
2015,5,15,34435.0,57.2
2015,5,16,33172.0,59.4
2015,5,17,24229.0,52.5
2015,5,18,11689.0,63.8
2015,5,19,33721.0,57.9
2015,5,20,33714.0,59.2
2015,5,21,28332.0,60.3
2015,5,22,29675.0,59.0
2015,5,23,29949.0,58.1
2015,5,24,22713.0,55.0
2015,5,25,11550.0,61.2
2015,5,26,32817.0,58.8
2015,5,27,30421.0,60.2
2015,5,28,30801.0,61.1
2015,5,29,31517.0,57.4
2015,5,30,36992.0,53.5
2015,5,31,29838.0,47.1
2015,6,1,10223.0,63.6
2015,6,2,38823.0,51.0
2015,6,3,40220.0,49.3
2015,6,4,36975.0,50.0
2015,6,5,31519.0,54.9
2015,6,6,31497.0,58.0
2015,6,7,21052.0,55.3
2015,6,8,10259.0,62.7
2015,6,9,30052.0,57.1
2015,6,10,31551.0,57.3
2015,6,11,36284.0,51.8
2015,6,12,30813.0,54.1
2015,6,13,31558.0,54.8
2015,6,14,17631.0,56.0
2015,6,15,11270.0,61.3
2015,6,16,32197.0,57.6
2015,6,17,35806.0,56.8
2015,6,18,30641.0,56.4
2015,6,19,37115.0,53.0
2015,6,20,27910.0,51.7
2015,6,21,27910.0,51.7
2015,6,22,9770.0,69.0
2015,6,23,36831.0,57.7
2015,6,24,31462.0,56.6
2015,6,25,36278.0,50.2
2015,6,26,28132.0,55.7
2015,6,27,34510.0,52.0
2015,6,28,21754.0,50.1
2015,6,29,9870.0,69.2
2015,6,30,41855.0,48.7
2015,7,1,30250.0,60.5
2015,7,2,25134.0,59.3
2015,7,3,27183.0,61.4
2015,7,4,33810.0,55.9
2015,7,5,26720.0,52.2
2015,7,6,11854.0,72.6
2015,7,7,32833.0,65.0
2015,7,8,30071.0,64.1
2015,7,9,27678.0,62.9
2015,7,10,28590.0,62.2
2015,7,11,27538.0,65.0
2015,7,12,25203.0,49.5
2015,7,13,11287.0,72.5
2015,7,14,31751.0,61.7
2015,7,15,27261.0,64.1
