year,month,day,weight,price
2015,1,1,37593.0,36.6
2015,1,2,40839.0,36.8
2015,1,3,38951.0,37.2
2015,1,4,20960.0,37.3
2015,1,5,25007.0,36.9
2015,1,6,45355.0,38.1
2015,1,7,46429.0,37.8
2015,1,8,46871.0,36.9
2015,1,9,41998.0,36.9
2015,1,10,46228.0,37.0
2015,1,11,17609.0,35.0
2015,1,12,24630.0,37.3
2015,1,13,41094.0,37.8
2015,1,14,37888.0,37.4
2015,1,15,38586.0,37.3
2015,1,16,41017.0,37.8
2015,1,17,41765.0,38.1
2015,1,18,16314.0,37.1
2015,1,19,24840.0,38.0
2015,1,20,39614.0,38.3
2015,1,21,42755.0,38.2
2015,1,22,38255.0,40.1
2015,1,23,43469.0,39.6
2015,1,24,41304.0,40.3
2015,1,25,19744.0,37.3
2015,1,26,21660.0,41.1
2015,1,27,37948.0,40.7
2015,1,28,39605.0,39.2
2015,1,29,37847.0,39.6
2015,1,30,41087.0,39.3
2015,1,31,34665.0,40.6
2015,2,1,19149.0,38.6
2015,2,2,21030.0,42.3
2015,2,3,39809.0,41.5
2015,2,4,48302.0,41.2
2015,2,5,41672.0,41.5
2015,2,6,38885.0,43.3
2015,2,7,43506.0,44.1
2015,2,8,19815.0,45.5
2015,2,9,20880.0,42.3
2015,2,10,48565.0,46.5
2015,2,11,50110.0,48.9
2015,2,12,59401.0,49.0
2015,2,13,53935.0,51.2
2015,2,14,60382.0,50.9
2015,2,15,54707.0,48.6
2015,2,16,54293.0,48.6
2015,2,17,42551.0,47.7
2015,2,18,3241.0,45.6
2015,2,19,3241.0,45.6
2015,2,20,3241.0,45.6
2015,2,21,3241.0,45.6
2015,2,22,3241.0,45.6
2015,2,23,20160.0,44.0
2015,2,24,26724.0,47.0
2015,2,25,30951.0,47.7
2015,2,26,29521.0,48.3
2015,2,27,18482.0,44.3
2015,2,28,33315.0,48.5
2015,3,1,21454.0,48.4
2015,3,2,20370.0,44.0
2015,3,3,37089.0,47.8
2015,3,4,37471.0,45.7
2015,3,5,31310.0,47.0
2015,3,6,30464.0,48.3
2015,3,7,20507.0,43.8
2015,3,8,20507.0,43.8
2015,3,9,20370.0,44.0
2015,3,10,37171.0,48.0
2015,3,11,31079.0,46.9
2015,3,12,30528.0,48.0
2015,3,13,32092.0,48.6
2015,3,14,34255.0,48.4
2015,3,15,9639.0,47.8
2015,3,16,21600.0,45.7
2015,3,17,35749.0,48.9
2015,3,18,32361.0,47.8
2015,3,19,32951.0,47.3
2015,3,20,31931.0,47.6
2015,3,21,32269.0,47.0
2015,3,22,9660.0,50.6
2015,3,23,19668.0,45.9
2015,3,24,29936.0,48.0
2015,3,25,30899.0,48.2
2015,3,26,31068.5,48.8
2015,3,27,27561.0,48.3
2015,3,28,29399.0,48.9
2015,3,29,11001.0,51.8
2015,3,30,19449.0,47.7
2015,3,31,31559.0,49.3
2015,4,1,32504.0,50.1
2015,4,2,29079.0,48.5
2015,4,3,31966.0,49.2
2015,4,4,31260.0,48.9
2015,4,5,969.0,52.3
2015,4,6,18720.0,46.6
2015,4,7,27608.0,49.1
2015,4,8,35259.5,50.1
2015,4,9,30508.0,49.7
2015,4,10,32377.0,49.3
2015,4,11,30103.0,48.9
2015,4,12,9990.0,49.7
2015,4,13,19379.0,48.1
2015,4,14,30643.0,49.7
2015,4,15,34134.0,48.9
2015,4,16,30333.0,48.3
2015,4,17,30906.0,48.0
2015,4,18,32054.0,49.2
2015,4,19,12283.0,50.0
2015,4,20,21215.0,48.3
2015,4,21,32143.0,47.8
2015,4,22,33194.0,47.8
2015,4,23,30063.0,48.3
2015,4,24,31723.0,47.9
2015,4,25,34252.0,47.6
2015,4,26,10377.0,46.0
2015,4,27,22260.0,48.3
2015,4,28,30736.0,47.8
2015,4,29,31701.0,46.9
2015,4,30,30982.0,46.6
2015,5,1,34238.0,47.2
2015,5,2,31936.0,47.5
2015,5,3,11049.0,46.8
2015,5,4,20033.0,48.3
2015,5,5,31911.0,47.8
2015,5,6,30470.0,48.4
2015,5,7,31221.0,48.5
2015,5,8,32108.0,49.2
2015,5,9,31512.0,48.6
2015,5,10,13788.0,48.8
2015,5,11,22358.0,48.2
2015,5,12,32102.0,48.7
2015,5,13,32711.0,48.2
2015,5,14,31852.0,47.7
2015,5,15,33694.0,47.3
2015,5,16,32612.0,46.4
2015,5,17,11443.0,44.4
2015,5,18,21632.0,48.1
2015,5,19,33675.0,46.3
2015,5,20,38444.0,44.3
2015,5,21,29796.0,46.7
2015,5,22,27651.0,48.6
2015,5,23,31264.0,48.7
2015,5,24,10825.0,49.3
2015,5,25,19680.0,48.0
2015,5,26,29608.0,48.2
2015,5,27,34400.0,47.8
2015,5,28,29402.5,48.2
2015,5,29,31782.0,47.3
2015,5,30,33381.0,47.9
2015,5,31,12355.0,43.6
2015,6,1,20220.0,48.0
2015,6,2,31875.0,45.9
2015,6,3,34143.0,46.8
2015,6,4,33659.5,45.4
2015,6,5,37330.0,45.2
2015,6,6,38191.0,44.0
2015,6,7,15926.0,40.9
2015,6,8,20595.0,48.0
2015,6,9,38606.0,43.8
2015,6,10,40530.0,43.0
2015,6,11,39786.0,42.4
2015,6,12,36082.0,43.6
2015,6,13,35133.0,44.2
2015,6,14,12321.0,38.3
2015,6,15,20733.0,47.8
2015,6,16,34438.0,46.0
2015,6,17,37604.0,45.3
2015,6,18,35470.0,43.7
2015,6,19,37526.0,44.1
2015,6,20,16490.0,34.2
2015,6,21,16490.0,34.2
2015,6,22,20890.0,47.9
2015,6,23,33590.0,43.9
2015,6,24,36495.0,44.5
2015,6,25,31001.0,43.4
2015,6,26,36668.0,42.0
2015,6,27,37345.0,41.8
2015,6,28,13830.0,36.2
2015,6,29,20102.0,47.7
2015,6,30,36327.0,44.0
2015,7,1,33786.0,43.4
2015,7,2,30648.0,42.8
2015,7,3,30000.0,43.6
2015,7,4,31405.0,43.2
2015,7,5,11830.0,36.7
2015,7,6,20847.0,47.9
2015,7,7,35370.0,44.8
2015,7,8,33340.0,45.4
2015,7,9,32457.0,43.4
2015,7,10,28940.0,43.0
2015,7,11,30086.0,43.5
2015,7,12,10633.0,36.9
2015,7,13,19106.0,47.9
2015,7,14,31203.0,44.7
2015,7,15,32023.0,44.1
2015,7,16,30795.0,43.2
2015,7,17,30645.0,43.3
2015,7,18,33414.0,43.6
2015,7,19,15645.0,36.2
2015,7,20,19219.0,47.9
2015,7,21,30884.0,44.7
2015,7,22,33815.0,44.2
2015,7,23,31327.0,44.1
2015,7,24,31681.0,44.5
2015,7,25,33868.5,43.9
2015,7,26,14042.0,39.7
2015,7,27,20110.5,47.7
2015,7,28,35897.0,44.1
2015,7,29,34121.0,44.7
2015,7,30,32469.0,44.1
2015,7,31,33985.0,43.7
2015,8,1,37347.0,43.2
2015,8,2,13105.0,42.5
2015,8,3,19020.0,48.0
2015,8,4,37466.0,44.0
2015,8,5,39856.5,44.8
2015,8,6,39928.5,45.1
2015,8,7,38391.0,44.6
2015,8,8,8921.0,42.0
2015,8,9,5256.0,48.1
2015,8,10,26803.5,46.7
2015,8,11,48230.0,43.9
2015,8,12,45960.0,42.4
2015,8,13,44080.5,41.3
