year,month,day,weight,price
2015,1,1,3460.0,31.2
2015,1,2,3500.0,30.8
2015,1,3,3750.0,31.0
2015,1,4,2710.0,31.9
2015,1,5,2710.0,31.9
2015,1,6,3090.0,30.3
2015,1,7,2660.0,30.8
2015,1,8,3215.0,30.4
2015,1,9,3350.0,31.2
2015,1,10,3240.0,29.6
2015,1,11,2900.0,28.1
2015,1,12,2900.0,28.1
2015,1,13,3170.0,29.8
2015,1,14,3270.0,29.3
2015,1,15,3370.0,30.3
2015,1,16,2937.0,29.8
2015,1,17,3400.0,28.4
2015,1,18,2410.0,27.7
2015,1,19,2410.0,27.7
2015,1,20,3150.0,29.1
2015,1,21,3168.0,28.8
2015,1,22,2590.0,27.3
2015,1,23,3013.0,30.4
2015,1,24,2600.0,26.9
2015,1,25,2840.0,28.1
2015,1,26,2840.0,28.1
2015,1,27,2545.0,29.4
2015,1,28,2030.0,29.8
2015,1,29,1890.0,30.2
2015,1,30,2650.0,30.1
2015,1,31,1960.0,28.3
2015,2,1,1690.0,34.1
2015,2,2,1690.0,34.1
2015,2,3,3360.0,29.0
2015,2,4,1900.0,29.3
2015,2,5,2486.0,30.6
2015,2,6,3390.0,28.4
2015,2,7,2530.0,28.8
2015,2,8,2500.0,31.0
2015,2,9,2500.0,31.0
2015,2,10,2870.0,30.4
2015,2,11,2740.0,27.7
2015,2,12,2310.0,29.8
2015,2,13,3360.0,28.3
2015,2,14,3540.0,29.7
2015,2,15,3820.0,28.2
2015,2,16,4760.0,23.7
2015,2,17,4010.0,24.1
2015,2,18,1815.0,25.2
2015,2,19,1815.0,25.2
2015,2,20,1815.0,25.2
2015,2,21,1815.0,25.2
2015,2,22,1815.0,25.2
2015,2,23,1815.0,25.2
2015,2,24,2820.0,30.2
2015,2,25,3480.0,25.7
2015,2,26,2630.0,31.1
2015,2,27,775.0,33.1
2015,2,28,3013.0,27.9
2015,3,1,2650.0,30.2
2015,3,2,2650.0,30.2
2015,3,3,3310.0,29.8
2015,3,4,2910.0,29.9
2015,3,5,2105.0,27.5
2015,3,6,3630.0,26.6
2015,3,7,3630.0,26.6
2015,3,8,3630.0,26.6
2015,3,9,3630.0,26.6
2015,3,10,3790.0,24.2
2015,3,11,3750.0,26.0
2015,3,12,2580.0,23.4
2015,3,13,3160.0,27.0
2015,3,14,3117.0,26.3
2015,3,15,2880.0,25.6
2015,3,16,2880.0,25.6
2015,3,17,3550.0,28.3
2015,3,18,2300.0,28.2
2015,3,19,2207.0,26.4
2015,3,20,2950.0,29.5
2015,3,21,3800.0,23.9
2015,3,22,4200.0,23.9
2015,3,23,4200.0,23.9
2015,3,24,4580.0,24.0
2015,3,25,4190.0,22.6
2015,3,26,4060.0,23.4
2015,3,27,4500.0,23.5
2015,3,28,3700.0,24.5
2015,3,29,4530.0,24.8
2015,3,30,4530.0,24.8
2015,3,31,3550.0,26.6
2015,4,1,4017.0,25.8
2015,4,2,3610.0,26.9
2015,4,3,4090.0,27.2
2015,4,4,3670.0,26.0
2015,4,5,720.0,34.8
2015,4,6,720.0,34.8
2015,4,7,3340.0,26.5
2015,4,8,3860.0,27.8
2015,4,9,3160.0,24.3
2015,4,10,3416.0,27.4
2015,4,11,2840.0,26.6
2015,4,12,2800.0,26.4
2015,4,13,2800.0,26.4
2015,4,14,3780.0,27.5
2015,4,15,5120.0,27.2
2015,4,16,3870.0,25.5
2015,4,17,3350.0,25.4
2015,4,18,5960.0,26.6
2015,4,19,4440.0,26.2
2015,4,20,4440.0,26.2
2015,4,21,3360.0,25.2
2015,4,22,3590.0,25.9
2015,4,23,3460.0,25.3
2015,4,24,3210.0,26.6
2015,4,25,4650.0,27.3
2015,4,26,4854.0,24.8
2015,4,27,4854.0,24.8
2015,4,28,2260.0,28.0
2015,4,29,3020.0,24.0
2015,4,30,4220.0,24.8
2015,5,1,3750.0,27.0
2015,5,2,2880.0,25.9
2015,5,3,3590.0,26.4
2015,5,4,3590.0,26.4
2015,5,5,4090.0,26.5
2015,5,6,2850.0,26.0
2015,5,7,3100.0,24.7
2015,5,8,3800.0,24.7
2015,5,9,6060.0,25.5
2015,5,10,4150.0,23.3
2015,5,11,4150.0,23.3
2015,5,12,3200.0,25.6
2015,5,13,5130.0,26.8
2015,5,14,4900.0,23.2
2015,5,15,2850.0,23.2
2015,5,16,3300.0,24.8
2015,5,17,2930.0,23.7
2015,5,18,2930.0,23.7
2015,5,19,3860.0,24.0
2015,5,20,3450.0,24.5
2015,5,21,3550.0,24.9
2015,5,22,3040.0,23.8
2015,5,23,3550.0,23.0
2015,5,24,3870.0,23.3
2015,5,25,3870.0,23.3
2015,5,26,3860.0,23.2
2015,5,27,4610.0,23.9
2015,5,28,4100.0,22.1
2015,5,29,4560.0,20.1
2015,5,30,3550.0,22.0
2015,5,31,2630.0,24.4
2015,6,1,2630.0,24.4
2015,6,2,4230.0,25.1
2015,6,3,4210.0,24.3
2015,6,4,4080.0,25.7
2015,6,5,3680.0,23.3
2015,6,6,3550.0,24.5
2015,6,7,3360.0,24.5
2015,6,8,3360.0,24.5
2015,6,9,4680.0,24.2
2015,6,10,3690.0,25.8
2015,6,11,3390.0,22.5
2015,6,12,3800.0,26.2
2015,6,13,3160.0,23.9
2015,6,14,2810.0,22.1
2015,6,15,2810.0,22.1
2015,6,16,3740.0,23.7
2015,6,17,2680.0,23.8
2015,6,18,3180.0,23.8
2015,6,19,2500.0,27.9
2015,6,20,2590.0,27.4
2015,6,21,2590.0,27.4
2015,6,22,2590.0,27.4
2015,6,23,1740.0,30.9
2015,6,24,2390.0,28.6
2015,6,25,2370.0,25.3
2015,6,26,2660.0,27.2
2015,6,27,1730.0,30.4
2015,6,28,1340.0,28.4
2015,6,29,1340.0,28.4
2015,6,30,3163.0,26.3
2015,7,1,1770.0,29.0
2015,7,2,2100.0,30.5
2015,7,3,1410.0,32.9
2015,7,4,2110.0,31.1
2015,7,5,2150.0,28.2
2015,7,6,2150.0,28.2
2015,7,7,2402.0,31.4
2015,7,8,2330.0,31.1
2015,7,9,2060.0,26.3
2015,7,10,2440.0,29.1
2015,7,11,2320.0,27.8
2015,7,12,3510.0,25.8
2015,7,13,3510.0,25.8
2015,7,14,1550.0,31.3
2015,7,15,2480.0,30.6
2015,7,16,1490.0,30.2
2015,7,17,1634.0,30.8
2015,7,18,2830.0,28.3
2015,7,19,1640.0,32.5
2015,7,20,1640.0,32.5
2015,7,21,1757.0,31.8
2015,7,22,3260.0,30.0
2015,7,23,2626.0,26.2
2015,7,24,3520.0,26.8
2015,7,25,2530.0,28.7
2015,7,26,1890.0,27.8
2015,7,27,1890.0,27.8
2015,7,28,3460.0,30.1
2015,7,29,2620.0,27.1
2015,7,30,1890.0,29.2
2015,7,31,2340.0,30.1
2015,8,1,2123.0,32.5
2015,8,2,2940.0,30.7
2015,8,3,2940.0,30.7
2015,8,4,2920.0,31.5
2015,8,5,3550.0,30.8
2015,8,6,3010.0,30.2
2015,8,7,3560.0,28.9
2015,8,8,2830.0,27.8
2015,8,9,1550.0,27.8
2015,8,10,1550.0,27.8
2015,8,11,4290.0,31.0
2015,8,12,2980.0,30.5
2015,8,13,3410.0,28.8
2015,8,14,2612.0,30.8
2015,8,15,3635.0,31.3
2015,8,16,3318.0,30.1
2015,8,17,3318.0,30.1
2015,8,18,3738.0,29.1
2015,8,19,5515.0,30.1
2015,8,20,5050.0,31.1
2015,8,21,4510.0,29.0
2015,8,22,4920.0,32.0
2015,8,23,4301.0,30.8
2015,8,24,4301.0,30.8
2015,8,25,4585.0,30.1
2015,8,26,4885.0,31.2
2015,8,27,4352.0,26.9
2015,8,28,5890.0,31.4
2015,8,29,5890.0,31.4
2015,8,30,5890.0,31.4
2015,8,31,5890.0,31.4
2015,9,1,6100.0,32.4
2015,9,2,5080.0,31.4
2015,9,3,4870.0,32.1
2015,9,4,5680.0,32.7
2015,9,5,5660.0,30.7
2015,9,6,7482.0,29.1
2015,9,7,7482.0,29.1
2015,9,8,6130.0,31.2
2015,9,9,7150.0,32.3
2015,9,10,7660.0,27.9
2015,9,11,7300.0,29.7
2015,9,12,7940.0,28.9
2015,9,13,6210.0,27.8
2015,9,14,6210.0,27.8
2015,9,15,8490.0,28.0
2015,9,16,7000.0,28.4
2015,9,17,7443.0,27.5
2015,9,18,5580.0,26.4
2015,9,19,5460.0,26.9
2015,9,20,5753.0,24.8
2015,9,21,5753.0,24.8
2015,9,22,5423.0,25.9
2015,9,23,6080.0,28.3
2015,9,24,4680.0,25.4
2015,9,25,4330.0,24.6
2015,9,26,4170.0,24.2
2015,9,27,4520.0,26.7
2015,9,28,4520.0,26.7
2015,9,29,4520.0,26.7
2015,9,30,4200.0,30.0
2015,10,1,2653.0,31.4
2015,10,2,3400.0,25.7
2015,10,3,3023.0,29.6
2015,10,4,3830.0,31.2
2015,10,5,3830.0,31.2
2015,10,6,4003.0,32.1
2015,10,7,4230.0,32.4
2015,10,8,3255.0,30.7
2015,10,9,4840.0,32.3
2015,10,10,5170.0,30.0
2015,10,11,4485.0,31.2
2015,10,12,4485.0,31.2
2015,10,13,5650.0,32.2
2015,10,14,5510.0,32.4
2015,10,15,3835.0,32.3
2015,10,16,4850.0,32.1
2015,10,17,7220.0,32.1
2015,10,18,6440.0,32.6
2015,10,19,6440.0,32.6
2015,10,20,5840.0,30.7
2015,10,21,5890.0,30.8
2015,10,22,7110.0,29.5
2015,10,23,3660.0,28.3
2015,10,24,4020.0,28.3
2015,10,25,3480.0,29.0
2015,10,26,3480.0,29.0
2015,10,27,5930.0,29.5
2015,10,28,4470.0,31.1
2015,10,29,3240.0,28.2
2015,10,30,3630.0,31.3
2015,10,31,5280.0,32.1
2015,11,1,3440.0,32.6
2015,11,2,3440.0,32.6
2015,11,3,4190.0,31.4
2015,11,4,3280.0,31.8
2015,11,5,2870.0,32.7
2015,11,6,3100.0,32.6
2015,11,7,3030.0,31.1
2015,11,8,3950.0,31.0
2015,11,9,3950.0,31.0
2015,11,10,4790.0,32.1
2015,11,11,3880.0,31.6
2015,11,12,2610.0,32.9
2015,11,13,3230.0,33.0
2015,11,14,3240.0,32.3
2015,11,15,3750.0,30.7
2015,11,16,3750.0,30.7
2015,11,17,5025.0,32.1
2015,11,18,4213.0,30.2
2015,11,19,3870.0,33.4
2015,11,20,2513.0,30.1
2015,11,21,3952.0,29.7
2015,11,22,2260.0,30.9
2015,11,23,2260.0,30.9
2015,11,24,4620.0,29.7
2015,11,25,3950.0,32.2
2015,11,26,2470.0,31.4
2015,11,27,3413.0,33.1
2015,11,28,3000.0,31.5
2015,11,29,3057.0,33.0
2015,11,30,3057.0,33.0
2015,12,1,4420.0,31.5
2015,12,2,2340.0,33.3
2015,12,3,3420.0,33.1
2015,12,4,3650.0,33.2
2015,12,5,2860.0,31.8
2015,12,6,3360.0,31.6
2015,12,7,3360.0,31.6
2015,12,8,3740.0,32.2
2015,12,9,3216.0,31.7
2015,12,10,2880.0,31.2
2015,12,11,2920.0,31.5
2015,12,12,3180.0,30.9
2015,12,13,3094.0,29.1
2015,12,14,3094.0,29.1
2015,12,15,3430.0,30.5
2015,12,16,3580.0,31.5
2015,12,17,2620.0,30.5
2015,12,18,2030.0,30.0
2015,12,19,3100.0,32.3
2015,12,20,3100.0,32.5
2015,12,21,3100.0,32.5
2015,12,22,3690.0,29.4
2015,12,23,2690.0,29.1
2015,12,24,3260.0,29.7
2015,12,25,3168.0,29.8
2015,12,26,2870.0,30.7
2015,12,27,2753.0,31.3
2015,12,28,2753.0,31.3
2015,12,29,3540.0,30.3
2015,12,30,2650.0,32.4
2015,12,31,1850.0,31.6
2016,1,1,2012.0,30.2
2016,1,2,2200.0,31.9
2016,1,3,2180.0,33.5
2016,1,4,2180.0,33.5
2016,1,5,3930.0,33.3
2016,1,6,3713.0,33.7
2016,1,7,2390.0,33.4
2016,1,8,2050.0,32.4
2016,1,9,2170.0,33.4
