year,month,day,weight,price
2015,1,1,100767.0,12.5
2015,1,2,77166.0,11.6
2015,1,3,86251.0,11.9
2015,1,4,49138.0,12.4
2015,1,5,34677.0,11.1
2015,1,6,112675.0,12.0
2015,1,7,106931.0,10.8
2015,1,8,109681.0,11.3
2015,1,9,89154.0,11.1
2015,1,10,108778.0,10.6
2015,1,11,51524.0,11.4
2015,1,12,35896.0,11.1
2015,1,13,103532.0,11.0
2015,1,14,102877.0,11.0
2015,1,15,73414.0,12.0
2015,1,16,83657.0,12.3
2015,1,17,89465.0,11.7
2015,1,18,44813.0,11.5
2015,1,19,34380.0,11.4
2015,1,20,101577.0,12.4
2015,1,21,94663.0,10.8
2015,1,22,96419.0,11.1
2015,1,23,89884.0,11.5
2015,1,24,76385.0,12.0
2015,1,25,52468.0,12.0
2015,1,26,31530.0,11.4
2015,1,27,89129.0,12.1
2015,1,28,77770.0,11.8
2015,1,29,85878.0,11.6
2015,1,30,86586.0,10.5
2015,1,31,107203.0,10.8
2015,2,1,51103.0,9.8
2015,2,2,31740.0,11.4
2015,2,3,100818.0,10.3
2015,2,4,100723.0,9.6
2015,2,5,88008.0,10.6
2015,2,6,89518.0,9.8
2015,2,7,87974.0,9.6
2015,2,8,38637.0,9.3
2015,2,9,31500.0,11.4
2015,2,10,96375.0,10.1
2015,2,11,83152.0,11.0
2015,2,12,80112.0,11.1
2015,2,13,71122.0,11.4
2015,2,14,87024.0,11.1
2015,2,15,76153.0,10.7
2015,2,16,62691.0,10.6
2015,2,17,50768.0,9.8
2015,2,18,9892.0,12.3
2015,2,19,9892.0,12.3
2015,2,20,9892.0,12.3
2015,2,21,9892.0,12.3
2015,2,22,9892.0,12.3
2015,2,23,35733.0,9.9
2015,2,24,84921.0,11.1
2015,2,25,77440.0,10.7
2015,2,26,89998.0,10.2
2015,2,27,40051.0,11.4
2015,2,28,93691.0,10.3
2015,3,1,49651.0,9.9
2015,3,2,37140.0,9.7
2015,3,3,98153.0,10.3
2015,3,4,94573.0,10.0
2015,3,5,83309.0,10.3
2015,3,6,74684.0,10.5
2015,3,7,37520.0,9.8
2015,3,8,1224.0,10.3
2015,3,9,37477.0,9.8
2015,3,10,131903.0,9.9
2015,3,11,108652.0,9.9
2015,3,12,94333.0,9.1
2015,3,13,93521.0,10.2
2015,3,14,99546.0,9.3
2015,3,15,49334.0,9.8
2015,3,16,35130.0,9.9
2015,3,17,84455.0,10.1
2015,3,18,104455.0,9.8
2015,3,19,88561.0,10.8
2015,3,20,85965.0,9.8
2015,3,21,85244.0,10.0
2015,3,22,38470.0,11.4
2015,3,23,31732.0,9.9
2015,3,24,89438.0,10.0
2015,3,25,74763.0,9.8
2015,3,26,72546.0,10.5
2015,3,27,79956.0,9.8
2015,3,28,84037.0,10.4
2015,3,29,50480.0,9.9
2015,3,30,32074.0,9.9
2015,3,31,91182.0,10.1
2015,4,1,78272.0,10.4
2015,4,2,80225.5,10.7
2015,4,3,78368.0,10.2
2015,4,4,91848.0,9.6
2015,4,5,6704.0,13.9
2015,4,6,30510.0,9.9
2015,4,7,74355.0,9.7
2015,4,8,98079.0,9.6
2015,4,9,81102.0,9.6
2015,4,10,82641.0,9.2
2015,4,11,96325.0,8.7
2015,4,12,48363.0,9.6
2015,4,13,30866.0,9.6
