year,month,day,weight,price
2015,1,1,8691.0,69.0
2015,1,2,8141.0,71.1
2015,1,3,7874.0,76.6
2015,1,4,9199.0,73.0
2015,1,5,9199.0,73.0
2015,1,6,8491.0,77.9
2015,1,7,7586.0,74.1
2015,1,8,7475.0,69.6
2015,1,9,7870.0,68.3
2015,1,10,8185.0,75.0
2015,1,11,7217.0,75.7
2015,1,12,7217.0,75.7
2015,1,13,7627.0,75.1
2015,1,14,6897.0,72.8
2015,1,15,5597.0,72.7
2015,1,16,5119.0,79.7
2015,1,17,6542.0,80.8
2015,1,18,5769.0,86.1
2015,1,19,5769.0,86.1
2015,1,20,7217.0,77.5
2015,1,21,5429.0,74.6
2015,1,22,5639.0,77.3
2015,1,23,4922.0,77.6
2015,1,24,6381.0,78.2
2015,1,25,5872.0,76.4
2015,1,26,5872.0,76.4
2015,1,27,6471.0,75.1
2015,1,28,6067.0,73.4
2015,1,29,4958.0,78.8
2015,1,30,5552.0,74.6
2015,1,31,5856.0,76.5
2015,2,1,5963.0,77.7
2015,2,2,5963.0,77.7
2015,2,3,5829.0,79.2
2015,2,4,6163.0,72.8
2015,2,5,4566.0,72.6
2015,2,6,4423.0,73.4
2015,2,7,5855.0,73.7
2015,2,8,5596.0,73.4
2015,2,9,5596.0,73.4
2015,2,10,4532.0,81.2
2015,2,11,4415.0,82.4
2015,2,12,4271.0,84.1
2015,2,13,4283.0,93.3
2015,2,14,5973.0,101.3
2015,2,15,6819.0,101.1
2015,2,16,5864.0,102.4
2015,2,17,10286.0,90.8
2015,2,18,5486.0,61.3
2015,2,19,5486.0,61.3
2015,2,20,5486.0,61.3
2015,2,21,5486.0,61.3
2015,2,22,5486.0,61.3
2015,2,23,5486.0,61.3
2015,2,24,9850.0,66.9
2015,2,25,7585.0,57.3
2015,2,26,7513.0,60.2
2015,2,27,2162.0,66.7
2015,2,28,7313.0,66.0
2015,3,1,5553.0,69.3
2015,3,2,5553.0,69.3
2015,3,3,8586.0,67.9
2015,3,4,8247.0,66.0
2015,3,5,7734.0,67.7
2015,3,6,8328.0,68.0
2015,3,7,658.0,50.0
2015,3,8,298.0,84.2
2015,3,9,298.0,84.2
2015,3,10,11747.0,63.7
2015,3,11,6998.0,65.0
2015,3,12,5660.0,67.2
2015,3,13,5426.0,74.0
2015,3,14,7975.0,70.5
2015,3,15,5992.0,78.4
2015,3,16,5992.0,78.4
2015,3,17,5931.0,85.3
2015,3,18,6162.0,86.5
2015,3,19,7616.0,75.9
2015,3,20,7190.0,77.0
2015,3,21,6912.0,75.7
2015,3,22,6080.0,79.0
2015,3,23,6080.0,79.0
2015,3,24,9748.0,75.9
2015,3,25,7762.0,73.1
2015,3,26,7505.0,71.6
2015,3,27,7434.0,71.0
2015,3,28,8883.0,73.5
2015,3,29,8325.0,75.5
2015,3,30,8325.0,75.5
2015,3,31,10041.0,79.4
2015,4,1,7634.0,81.0
2015,4,2,8736.0,82.5
2015,4,3,11511.0,84.5
2015,4,4,13671.0,83.5
2015,4,5,2168.0,77.8
2015,4,6,2168.0,77.8
2015,4,7,7891.0,87.4
2015,4,8,11663.0,74.9
2015,4,9,11281.0,67.4
2015,4,10,13262.0,66.2
2015,4,11,14906.0,65.4
2015,4,12,15541.0,66.8
2015,4,13,15541.0,66.8
2015,4,14,17410.0,66.6
2015,4,15,14628.0,67.9
2015,4,16,12805.0,69.4
2015,4,17,14967.0,70.7
2015,4,18,16202.0,72.8
2015,4,19,18669.0,70.7
2015,4,20,18669.0,70.7
2015,4,21,22527.0,66.3
2015,4,22,21757.0,63.1
2015,4,23,19222.0,60.6
2015,4,24,21189.0,62.1
2015,4,25,27134.0,57.6
2015,4,26,32399.0,52.2
2015,4,27,32399.0,52.2
2015,4,28,33979.0,52.6
2015,4,29,30419.0,48.9
2015,4,30,27633.0,47.2
2015,5,1,25536.0,52.4
2015,5,2,28093.0,53.2
2015,5,3,26966.0,52.2
2015,5,4,26966.0,52.2
2015,5,5,31248.0,50.3
2015,5,6,26342.0,48.2
2015,5,7,22413.0,53.6
2015,5,8,24170.0,55.8
2015,5,9,30088.0,55.5
2015,5,10,28857.0,54.3
2015,5,11,28857.0,54.3
2015,5,12,30994.0,52.4
2015,5,13,31889.0,49.7
2015,5,14,31157.0,46.7
2015,5,15,27782.0,48.0
2015,5,16,31168.0,49.4
2015,5,17,31329.0,47.9
2015,5,18,31329.0,47.9
2015,5,19,29777.0,53.2
2015,5,20,23174.0,55.9
2015,5,21,25145.0,53.3
2015,5,22,25770.0,54.9
2015,5,23,30378.0,56.2
2015,5,24,29016.0,55.4
2015,5,25,29016.0,55.4
2015,5,26,28365.0,60.9
2015,5,27,26947.0,59.3
2015,5,28,22003.0,64.2
2015,5,29,20384.0,66.1
2015,5,30,24251.0,66.7
2015,5,31,24216.0,68.5
2015,6,1,24216.0,68.5
2015,6,2,23453.0,76.0
2015,6,3,23569.0,71.6
2015,6,4,22490.0,70.1
2015,6,5,22587.0,68.2
2015,6,6,24692.0,68.9
2015,6,7,25025.0,68.4
2015,6,8,25025.0,68.4
2015,6,9,26889.0,70.2
2015,6,10,22441.0,67.7
2015,6,11,21663.0,64.4
2015,6,12,18677.0,64.9
2015,6,13,21402.0,67.9
2015,6,14,20993.0,69.8
2015,6,15,20993.0,69.8
2015,6,16,21904.0,72.3
2015,6,17,19031.0,69.2
2015,6,18,20510.0,69.6
2015,6,19,25219.0,68.4
2015,6,20,22755.0,74.0
2015,6,21,22755.0,74.0
2015,6,22,22755.0,74.0
2015,6,23,19988.0,67.6
2015,6,24,17235.0,65.2
2015,6,25,15920.0,63.5
2015,6,26,15891.0,66.1
2015,6,27,18368.0,66.8
2015,6,28,19522.0,67.2
2015,6,29,19522.0,67.2
2015,6,30,19622.0,68.0
2015,7,1,15589.0,63.5
2015,7,2,14479.0,64.9
2015,7,3,14141.0,63.8
2015,7,4,15124.0,67.9
2015,7,5,15237.0,69.6
2015,7,6,15237.0,69.6
2015,7,7,15960.0,77.1
2015,7,8,12549.0,75.1
2015,7,9,12536.0,72.3
2015,7,10,14738.0,73.7
2015,7,11,12430.0,74.4
2015,7,12,10574.0,74.8
2015,7,13,10574.0,74.8
2015,7,14,11559.0,77.1
2015,7,15,8269.0,78.1
2015,7,16,7037.0,80.6
2015,7,17,7828.0,87.7
