year,month,day,weight,price
2015,1,1,3581.0,168.5
2015,1,2,1133.0,194.7
2015,1,3,2133.0,240.3
2015,1,4,1237.0,221.8
2015,1,5,1237.0,221.8
2015,1,6,4978.0,119.1
2015,1,7,1294.0,210.6
2015,1,8,2786.0,153.0
2015,1,9,1852.0,157.0
2015,1,10,2732.0,150.1
2015,1,11,2491.0,110.3
2015,1,12,2491.0,110.3
2015,1,13,3825.0,123.2
2015,1,14,2474.0,124.0
2015,1,15,1776.0,151.9
2015,1,16,1580.0,148.1
2015,1,17,2630.0,160.6
2015,1,18,1112.0,188.8
2015,1,19,1112.0,188.8
2015,1,20,3680.0,148.5
2015,1,21,3350.0,128.0
2015,1,22,2429.0,151.2
2015,1,23,3058.0,117.7
2015,1,24,3357.0,124.4
2015,1,25,1691.0,126.0
2015,1,26,1691.0,126.0
2015,1,27,2854.0,135.9
2015,1,28,1773.0,133.0
2015,1,29,4983.0,104.3
2015,1,30,1967.0,143.0
2015,1,31,4027.0,143.0
2015,2,1,2612.0,158.8
2015,2,2,2612.0,158.8
2015,2,3,10104.0,96.5
2015,2,4,4272.0,106.1
2015,2,5,5099.0,105.1
2015,2,6,3900.0,105.4
2015,2,7,5919.0,107.4
2015,2,8,3308.0,119.0
2015,2,9,3308.0,119.0
2015,2,10,5135.0,112.4
2015,2,11,2457.0,135.7
2015,2,12,3609.0,139.1
2015,2,13,3637.5,140.4
2015,2,14,4687.0,158.9
2015,2,15,4435.0,160.5
2015,2,16,6253.0,155.2
2015,2,17,11682.0,141.4
2015,2,18,4918.0,157.5
2015,2,19,4918.0,157.5
2015,2,20,4918.0,157.5
2015,2,21,4918.0,157.5
2015,2,22,4918.0,157.5
2015,2,23,4918.0,157.5
2015,2,24,8544.0,99.2
2015,2,25,6767.0,94.4
2015,2,26,9586.0,90.2
2015,2,27,1673.0,85.7
2015,2,28,11883.0,93.8
2015,3,1,9442.0,95.9
2015,3,2,9442.0,95.9
2015,3,3,13092.0,86.3
2015,3,4,9110.0,88.4
2015,3,5,11961.0,80.2
2015,3,6,10427.0,93.3
2015,3,7,81.0,82.0
2015,3,8,81.0,82.0
2015,3,9,81.0,82.0
2015,3,10,7633.0,102.6
2015,3,11,7446.0,89.6
2015,3,12,5544.0,96.8
2015,3,13,6770.0,100.4
2015,3,14,6024.0,106.5
2015,3,15,5965.0,112.0
2015,3,16,5965.0,112.0
2015,3,17,8286.0,116.0
2015,3,18,5399.0,108.8
2015,3,19,8094.0,93.6
2015,3,20,6621.0,106.9
2015,3,21,6540.0,116.7
2015,3,22,5737.0,116.3
2015,3,23,5737.0,116.3
2015,3,24,7440.0,111.9
2015,3,25,6220.0,104.8
2015,3,26,6126.0,109.3
2015,3,27,4126.0,115.6
2015,3,28,6130.0,120.6
2015,3,29,8305.0,103.9
2015,3,30,8305.0,103.9
2015,3,31,9580.0,112.2
2015,4,1,3690.0,136.8
2015,4,2,7384.0,123.7
2015,4,3,5415.0,144.2
2015,4,4,5268.0,149.3
2015,4,5,520.0,147.7
2015,4,6,520.0,147.7
2015,4,7,7401.0,125.2
2015,4,8,8757.0,106.5
2015,4,9,5180.0,121.5
2015,4,10,4281.0,137.0
2015,4,11,4927.0,131.8
2015,4,12,5020.0,121.7
2015,4,13,5020.0,121.7
2015,4,14,8742.0,117.5
2015,4,15,3726.0,149.2
2015,4,16,5790.0,132.9
2015,4,17,5258.0,140.3
2015,4,18,4983.0,155.6
2015,4,19,4849.0,149.3
2015,4,20,4849.0,149.3
2015,4,21,11857.0,113.2
2015,4,22,5319.0,129.5
2015,4,23,6265.0,120.2
2015,4,24,4165.0,142.2
2015,4,25,7213.0,129.6
2015,4,26,5536.0,128.3
2015,4,27,5536.0,128.3
2015,4,28,10596.0,114.3
2015,4,29,11635.0,95.1
2015,4,30,9098.0,99.3
