year,month,day,weight,price
2015,1,1,48032.0,12.9
2015,1,2,47643.0,13.5
2015,1,3,52554.0,14.1
2015,1,4,44308.0,13.5
2015,1,5,20337.0,13.7
2015,1,6,54720.0,13.7
2015,1,7,67758.0,13.1
2015,1,8,53448.0,12.7
2015,1,9,55718.0,12.3
2015,1,10,72408.0,11.8
2015,1,11,46539.0,12.4
2015,1,12,22622.0,11.8
2015,1,13,61812.0,12.9
2015,1,14,67306.0,12.1
2015,1,15,54560.0,12.5
2015,1,16,57118.0,12.0
2015,1,17,60057.0,12.3
2015,1,18,41922.0,12.2
2015,1,19,23725.0,11.5
2015,1,20,69566.0,12.0
2015,1,21,63237.0,11.6
2015,1,22,60921.0,11.1
2015,1,23,66875.0,10.6
2015,1,24,73544.0,9.7
2015,1,25,43648.0,10.1
2015,1,26,27996.0,9.0
2015,1,27,56945.0,10.0
2015,1,28,69375.0,9.2
2015,1,29,72257.0,8.7
2015,1,30,78482.0,7.9
2015,1,31,76807.0,8.0
2015,2,1,45921.0,8.5
2015,2,2,45713.0,7.4
2015,2,3,77322.0,7.7
2015,2,4,75605.0,6.8
2015,2,5,65300.0,7.1
2015,2,6,61929.0,7.3
2015,2,7,64703.0,7.8
2015,2,8,46474.0,8.0
2015,2,9,35933.0,6.2
2015,2,10,68597.0,8.0
2015,2,11,74620.0,7.6
2015,2,12,89045.0,7.9
2015,2,13,83316.0,7.3
2015,2,14,107731.0,6.8
2015,2,15,103006.0,6.7
2015,2,16,110420.0,6.3
2015,2,17,94567.0,7.3
2015,2,18,25210.0,6.9
2015,2,19,25210.0,6.9
2015,2,20,2163.0,7.5
2015,2,21,2637.0,7.0
2015,2,22,3713.0,8.8
2015,2,23,30671.0,6.3
2015,2,24,82133.0,6.3
2015,2,25,103952.0,5.7
2015,2,26,107203.0,5.1
2015,2,27,59122.0,6.0
2015,2,28,106472.0,4.8
2015,3,1,52577.0,4.9
2015,3,2,51934.0,4.8
2015,3,3,74576.0,5.4
2015,3,4,81855.0,5.1
2015,3,5,83881.0,5.2
2015,3,6,87204.0,5.1
2015,3,7,48616.0,4.2
2015,3,8,20881.0,3.8
2015,3,9,46741.0,4.2
2015,3,10,99433.0,4.9
2015,3,11,85688.0,4.7
2015,3,12,91411.0,4.7
2015,3,13,77734.0,5.1
2015,3,14,85222.0,5.2
2015,3,15,45246.0,5.5
2015,3,16,52581.0,4.3
2015,3,17,70640.0,5.3
2015,3,18,75675.0,5.3
2015,3,19,82208.0,4.6
2015,3,20,70083.0,4.9
2015,3,21,78529.0,4.9
2015,3,22,44744.0,4.5
2015,3,23,37365.0,4.7
2015,3,24,64411.0,5.4
2015,3,25,57527.0,5.5
2015,3,26,55956.0,5.8
2015,3,27,60414.0,6.4
2015,3,28,55368.0,7.3
2015,3,29,32639.0,7.7
2015,3,30,22644.0,8.6
2015,3,31,47914.0,9.3
2015,4,1,48606.0,9.2
2015,4,2,56141.0,8.8
2015,4,3,56680.0,8.3
2015,4,4,64147.0,7.7
2015,4,5,12178.0,10.0
2015,4,6,20723.0,10.5
2015,4,7,38483.0,9.2
2015,4,8,40048.0,9.5
2015,4,9,33704.0,9.8
2015,4,10,31848.0,9.7
2015,4,11,32710.0,10.0
2015,4,12,12841.0,11.1
2015,4,13,23805.0,10.5
