year,month,day,FB,FC,FE,FF,FG,FH,FI,FJ,FK,FL,FM,FN,FP,FQ,FT,FV,FW,FY,FZ,LA,LB,LC,LD,LF,LG,LH,LI,LJ,LK,LM,LN,LO,LP,LS,LX,MA,MB,MC,MD,ME,MI,MJ,SA,SB,SC,SD,SE,SF,SG,SJ,SM,SO,SP,SQ,SV,SW
2015,1,1,31.0,30.5,8.5,38.2,39.2,21.9,32.5,26.6,33.7,79.9,57.7,73.5,47.5,66.3,14.5,36.9,206.6,27.6,57.6,13.6,24.2,12.9,23.4,48.6,23.6,27.2,32.0,18.6,31.8,51.7,14.7,36.6,38.4,35.0,76.8,100.8,103.6,74.2,116.4,75.9,78.4,91.4,11.8,11.7,28.6,17.5,32.3,32.9,61.1,36.6,31.2,12.5,73.4,69.0,168.5,12.9
2015,1,2,31.2,33.4,9.1,39.7,42.3,21.2,33.5,28.6,36.5,82.5,60.5,80.3,50.5,75.0,15.0,40.5,178.4,29.7,57.7,15.1,23.8,13.9,22.2,49.4,24.0,26.8,33.4,17.9,33.8,53.1,16.5,36.8,38.3,33.1,87.9,93.1,103.6,72.7,116.9,76.6,80.0,91.1,12.3,11.8,28.7,17.6,33.3,32.9,62.5,36.8,30.8,11.6,74.6,71.1,194.7,13.5
2015,1,3,30.9,31.4,8.9,39.0,42.6,22.7,35.5,28.8,39.3,81.2,57.2,83.6,52.6,71.8,15.2,43.0,203.1,30.4,58.0,16.1,23.2,13.6,22.3,48.2,24.5,27.6,35.2,19.7,33.7,53.3,18.5,39.0,44.2,33.9,100.1,97.7,92.9,78.0,115.5,75.3,72.7,92.6,13.0,12.4,28.8,17.4,34.5,33.9,65.7,37.2,31.0,11.9,76.7,76.6,240.3,14.1
2015,1,4,33.8,30.6,9.1,37.9,45.1,19.5,36.1,29.9,42.7,78.5,56.9,72.4,51.4,73.7,18.5,40.8,184.7,29.7,57.6,17.5,25.5,13.3,23.8,51.9,27.0,33.4,37.1,21.5,35.3,50.2,19.0,40.3,51.1,42.7,101.9,95.0,107.7,74.7,118.3,72.3,104.0,97.1,14.9,11.8,29.9,17.1,38.5,39.1,64.7,37.3,31.9,12.4,72.3,73.0,221.8,13.5
2015,1,5,21.1,36.2,9.7,46.2,54.0,22.1,38.0,23.5,34.1,79.1,64.0,110.0,51.4,73.7,16.8,45.0,184.7,25.8,57.6,14.1,20.4,11.2,23.5,55.4,25.7,24.4,32.8,15.8,23.4,55.2,19.1,40.3,62.5,36.7,64.8,95.0,107.7,74.7,118.3,72.3,104.0,97.1,12.4,14.5,27.5,19.0,30.7,27.8,68.7,36.9,31.9,11.1,81.6,73.0,221.8,13.7
2015,1,6,27.1,30.8,10.1,35.4,47.1,21.5,36.3,27.8,41.6,71.8,60.6,78.0,55.3,75.7,18.4,42.0,184.7,29.5,61.5,15.7,25.6,13.0,23.9,46.3,27.2,29.5,35.3,20.2,31.1,55.2,18.6,43.7,47.6,39.0,92.7,92.0,99.8,70.8,121.1,77.0,77.8,89.1,14.6,12.9,28.6,17.4,34.2,37.5,63.2,38.1,30.3,12.0,74.2,77.9,119.1,13.7
2015,1,7,25.1,30.5,9.8,32.1,47.2,21.1,34.4,27.4,41.0,62.6,53.7,73.4,51.0,75.2,17.9,42.1,177.6,28.6,56.3,15.0,24.5,12.1,21.2,47.1,25.4,28.4,30.4,20.1,28.1,50.2,15.7,41.2,40.6,35.1,89.4,81.2,100.5,71.7,122.4,75.6,90.4,93.8,14.4,12.3,27.7,17.4,31.3,38.1,59.9,37.8,30.8,10.8,74.4,74.1,210.6,13.1
2015,1,8,22.9,29.6,9.9,26.3,45.1,20.8,32.2,26.0,40.5,56.9,56.8,73.1,48.9,77.0,16.7,41.0,216.6,29.2,58.6,15.3,22.1,11.2,19.4,41.8,26.3,27.3,26.7,18.2,24.9,46.1,14.5,39.4,40.3,34.7,77.9,82.7,98.4,66.8,124.3,78.5,76.2,92.4,14.6,11.7,27.4,17.1,28.8,36.6,52.7,36.9,30.4,11.3,76.3,69.6,153.0,12.7
2015,1,9,24.1,28.7,9.9,26.7,49.1,21.5,29.5,25.8,38.2,57.9,57.5,70.2,48.6,78.9,17.4,43.0,169.4,27.9,56.5,14.8,20.0,10.8,18.1,40.9,25.7,25.9,24.8,17.6,23.0,42.7,14.1,38.1,39.3,35.0,80.0,76.5,106.6,62.9,118.9,77.6,64.5,97.1,14.9,11.2,27.6,17.0,28.2,37.1,51.6,36.9,31.2,11.1,76.6,68.3,157.0,12.3
2015,1,10,23.7,27.6,10.4,26.9,48.3,19.7,27.9,25.5,37.7,55.8,54.2,67.5,49.4,79.7,17.0,40.4,185.3,27.9,60.9,15.4,17.6,10.2,16.9,39.1,26.7,24.7,22.2,16.6,22.8,39.3,12.6,37.5,44.5,32.1,74.9,85.9,110.8,65.7,122.9,77.8,73.3,96.5,15.1,11.3,27.3,16.8,27.6,36.4,44.7,37.0,29.6,10.6,77.2,75.0,150.1,11.8
