name,lat,lng
新山水庫,25.1334699,121.709076
翡翠水庫,24.9091718,121.5778113
石門水庫,24.8105609,121.2419783
永和山水庫,24.6611159,120.9205893
寶山水庫,24.749314,121.0408793
寶山第二水庫,24.7193572,121.0416507
明德水庫,24.5845901,120.8845911
鯉魚潭水庫,24.3404898,120.7820763
德基水庫,24.2552829,121.1653113
石岡壩,24.2828659,120.7667833
日月潭水庫,23.8523405,120.9009427
霧社水庫,23.9808379,121.1369783
仁義潭水庫,23.4610049,120.5000613
蘭潭水庫,23.4722538,120.4808723
白河水庫,23.3509769,120.47
曾文水庫,23.2900981,120.5827115
烏山頭水庫,23.1966675,120.3759466
南化水庫,23.0894489,120.5355893
阿公店水庫,22.8125049,120.3489223
牡丹水庫,22.1289291,120.7829336
